common_name,scientific_name,resolution,map_url
Striated Heron,Butorides-striata,4,maps/Butorides-striata_4.html
Striated Heron,Butorides-striata,5,maps/Butorides-striata_5.html
Striated Heron,Butorides-striata,2,maps/Butorides-striata_2.html
Striated Heron,Butorides-striata,3,maps/Butorides-striata_3.html
Brant,Branta-bernicla,3,maps/Branta-bernicla_3.html
Yellow-rumped Warbler,Setophaga-coronata,3,maps/Setophaga-coronata_3.html
Red-tailed Hawk,Buteo-jamaicensis,4,maps/Buteo-jamaicensis_4.html
White-crowned Sparrow,Zonotrichia-leucophrys,3,maps/Zonotrichia-leucophrys_3.html
Eastern Meadowlark,Sturnella-magna,5,maps/Sturnella-magna_5.html
Red Crossbill,Loxia-curvirostra,3,maps/Loxia-curvirostra_3.html
Eurasian Jay,Garrulus-glandarius,4,maps/Garrulus-glandarius_4.html
Eurasian Jay,Garrulus-glandarius,5,maps/Garrulus-glandarius_5.html
Red Crossbill,Loxia-curvirostra,2,maps/Loxia-curvirostra_2.html
Eastern Meadowlark,Sturnella-magna,4,maps/Sturnella-magna_4.html
White-crowned Sparrow,Zonotrichia-leucophrys,2,maps/Zonotrichia-leucophrys_2.html
Red-tailed Hawk,Buteo-jamaicensis,5,maps/Buteo-jamaicensis_5.html
Yellow-rumped Warbler,Setophaga-coronata,2,maps/Setophaga-coronata_2.html
Brant,Branta-bernicla,2,maps/Branta-bernicla_2.html
Eastern Meadowlark,Sturnella-magna,3,maps/Sturnella-magna_3.html
Red Crossbill,Loxia-curvirostra,5,maps/Loxia-curvirostra_5.html
Eurasian Jay,Garrulus-glandarius,2,maps/Garrulus-glandarius_2.html
Brant,Branta-bernicla,5,maps/Branta-bernicla_5.html
Yellow-rumped Warbler,Setophaga-coronata,5,maps/Setophaga-coronata_5.html
Red-tailed Hawk,Buteo-jamaicensis,2,maps/Buteo-jamaicensis_2.html
White-crowned Sparrow,Zonotrichia-leucophrys,5,maps/Zonotrichia-leucophrys_5.html
White-crowned Sparrow,Zonotrichia-leucophrys,4,maps/Zonotrichia-leucophrys_4.html
Red-tailed Hawk,Buteo-jamaicensis,3,maps/Buteo-jamaicensis_3.html
Yellow-rumped Warbler,Setophaga-coronata,4,maps/Setophaga-coronata_4.html
Brant,Branta-bernicla,4,maps/Branta-bernicla_4.html
Eurasian Jay,Garrulus-glandarius,3,maps/Garrulus-glandarius_3.html
Red Crossbill,Loxia-curvirostra,4,maps/Loxia-curvirostra_4.html
Eastern Meadowlark,Sturnella-magna,2,maps/Sturnella-magna_2.html
