cell_id,Accipiter rufiventris,Accipiter rufiventris perspicillaris,Accipiter rufiventris rufiventris
835280fffffffff,1.0,0.0,0.0
835286fffffffff,3.0,0.0,0.0
835299fffffffff,13.0,3.0,0.0
83529bfffffffff,2.0,2.0,0.0
836a5afffffffff,1.0,0.0,0.0
836ac0fffffffff,2.0,0.0,0.0
836ac1fffffffff,1.0,0.0,0.0
836ac8fffffffff,1.0,0.0,1.0
836acefffffffff,2.0,0.0,0.0
836adcfffffffff,28.0,0.0,2.0
836adefffffffff,4.0,0.0,0.0
836aeefffffffff,2.0,0.0,0.0
837a45fffffffff,24.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0
837a65fffffffff,2.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0
837a6dfffffffff,3.0,0.0,0.0
837a6efffffffff,7.0,0.0,0.0
837ac1fffffffff,1.0,0.0,0.0
837ac8fffffffff,2.0,0.0,0.0
837acbfffffffff,1.0,0.0,0.0
837accfffffffff,39.0,19.0,0.0
837acdfffffffff,3.0,3.0,0.0
837acefffffffff,2.0,0.0,0.0
837ad9fffffffff,13.0,6.0,0.0
837adafffffffff,1.0,0.0,0.0
837ae9fffffffff,4.0,0.0,0.0
837aeafffffffff,2.0,0.0,0.0
837b4bfffffffff,4.0,0.0,0.0
839692fffffffff,15.0,0.0,0.0
839693fffffffff,12.0,0.0,0.0
8396a5fffffffff,14.0,0.0,2.0
839702fffffffff,14.0,0.0,0.0
839703fffffffff,3.0,0.0,0.0
83971cfffffffff,1.0,0.0,0.0
83972dfffffffff,19.0,0.0,0.0
83978bfffffffff,2.0,0.0,0.0
83ad32fffffffff,7.0,0.0,3.0
83ad36fffffffff,213.0,0.0,45.0
83bc19fffffffff,4.0,0.0,0.0
83bc1bfffffffff,1.0,0.0,1.0
83bc40fffffffff,1.0,0.0,0.0
83bc41fffffffff,1.0,0.0,1.0
83bc44fffffffff,1.0,0.0,0.0
83bc45fffffffff,1.0,0.0,1.0
83bc49fffffffff,1.0,0.0,0.0
83bc4bfffffffff,1.0,0.0,0.0
83bc4dfffffffff,12.0,0.0,3.0
83bc50fffffffff,1.0,0.0,0.0
83bc51fffffffff,1.0,0.0,1.0
83bc52fffffffff,1.0,0.0,0.0
83bc54fffffffff,2.0,0.0,1.0
83bc5cfffffffff,2.0,0.0,0.0
83bc5dfffffffff,1.0,0.0,1.0
83bc68fffffffff,2.0,0.0,0.0
83bc69fffffffff,13.0,0.0,1.0
83bc6afffffffff,9.0,0.0,0.0
83bc6bfffffffff,10.0,0.0,0.0
83bc72fffffffff,1.0,0.0,0.0
83bcc4fffffffff,5.0,0.0,0.0
83bcc5fffffffff,1.0,0.0,0.0
83bcc6fffffffff,7.0,0.0,2.0
83bcd0fffffffff,10.0,0.0,2.0
83bcd1fffffffff,5.0,0.0,0.0
83bcd3fffffffff,3.0,0.0,0.0
83bcd4fffffffff,9.0,0.0,0.0
83bcd6fffffffff,2.0,0.0,0.0
83bcd8fffffffff,2.0,0.0,0.0
83bce2fffffffff,16.0,0.0,1.0
83bce3fffffffff,1.0,0.0,0.0
83bce6fffffffff,12.0,0.0,1.0
83bcf1fffffffff,1.0,0.0,0.0
83bcf3fffffffff,7.0,0.0,0.0
83bcf5fffffffff,29.0,0.0,12.0
83bcf6fffffffff,2.0,0.0,0.0
