cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
830c42fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
830c71fffffffff,66.0,0.0,19.0,0.0,0.0,0.0,0.0
830c73fffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0
830c74fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830d56fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830d59fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830d62fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830eccfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830eeafffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
831254fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
831259fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8312b5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312b6fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
8312c1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8312c9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8312cbfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8312cdfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8312ebfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831382fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
831383fffffffff,254.0,0.0,0.0,0.0,0.0,0.0,0.0
831386fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
831394fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83139efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8313b2fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8313b3fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
831aa0fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
831aa3fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
831ab0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8322d0fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8322dbfffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
832602fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83260efffffffff,19.0,0.0,19.0,0.0,0.0,0.0,0.0
832611fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832613fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832616fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832621fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832623fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832626fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83262bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83262cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83262dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832633fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832634fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832636fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832640fffffffff,4.0,0.0,1.0,0.0,0.0,0.0,0.0
832641fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
832642fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832644fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832646fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832648fffffffff,25.0,0.0,6.0,0.0,0.0,0.0,0.0
832649fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83264afffffffff,13.0,0.0,2.0,0.0,0.0,0.0,0.0
83264bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83264cfffffffff,14.0,0.0,9.0,0.0,0.0,0.0,0.0
83264dfffffffff,20.0,0.0,5.0,0.0,0.0,0.0,0.0
83264efffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
832651fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832653fffffffff,8.0,0.0,2.0,0.0,0.0,0.0,0.0
832654fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832655fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
832656fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832658fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832659fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83265bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83265cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83265dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832661fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832662fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832663fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832664fffffffff,73.0,0.0,7.0,0.0,0.0,0.0,0.0
832665fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832666fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832668fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
