cell_id,Adelomyia melanogenys,Adelomyia melanogenys [melanogenys Group],Adelomyia melanogenys maculata,Adelomyia melanogenys inornata
836601fffffffff,4.0,0.0,0.0,0.0
836608fffffffff,630.0,5.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0,0.0
83660afffffffff,14.0,0.0,0.0,0.0
83660bfffffffff,367.0,0.0,0.0,0.0
83660cfffffffff,51.0,0.0,0.0,0.0
83660dfffffffff,36.0,0.0,0.0,0.0
836618fffffffff,326.0,2.0,0.0,0.0
836619fffffffff,724.0,0.0,0.0,0.0
83661bfffffffff,2376.0,40.0,0.0,0.0
83661dfffffffff,42.0,0.0,0.0,0.0
836621fffffffff,157.0,0.0,0.0,0.0
836629fffffffff,153.0,5.0,0.0,0.0
83662bfffffffff,10.0,0.0,0.0,0.0
83662dfffffffff,1.0,0.0,0.0,0.0
8366c0fffffffff,330.0,0.0,0.0,0.0
8366c2fffffffff,461.0,0.0,0.0,0.0
8366c4fffffffff,163.0,0.0,0.0,0.0
8366c6fffffffff,945.0,0.0,0.0,0.0
8366d0fffffffff,108.0,0.0,0.0,0.0
8366d1fffffffff,68.0,0.0,0.0,0.0
8366d3fffffffff,5264.0,0.0,493.0,0.0
8366d5fffffffff,122.0,9.0,0.0,0.0
8366dafffffffff,34.0,0.0,0.0,0.0
8366defffffffff,5092.0,348.0,0.0,0.0
8366e0fffffffff,923.0,3.0,0.0,0.0
8366e2fffffffff,39.0,0.0,0.0,0.0
8366e3fffffffff,23.0,0.0,0.0,0.0
8366e4fffffffff,151.0,0.0,0.0,0.0
8366e5fffffffff,223.0,0.0,0.0,0.0
8366e6fffffffff,4772.0,93.0,0.0,0.0
8366f0fffffffff,18.0,0.0,0.0,0.0
8366f1fffffffff,2964.0,20.0,0.0,0.0
8366f3fffffffff,14.0,0.0,0.0,0.0
8366f5fffffffff,520.0,0.0,0.0,0.0
836741fffffffff,323.0,15.0,0.0,0.0
836742fffffffff,6.0,0.0,0.0,0.0
836743fffffffff,56.0,0.0,0.0,0.0
83674cfffffffff,60.0,2.0,0.0,0.0
83674efffffffff,311.0,4.0,0.0,0.0
836751fffffffff,43.0,0.0,0.0,0.0
83675afffffffff,89.0,4.0,0.0,0.0
83675cfffffffff,49.0,0.0,0.0,0.0
83675efffffffff,49.0,1.0,0.0,0.0
838b20fffffffff,52.0,0.0,0.0,0.0
838b21fffffffff,15.0,0.0,0.0,0.0
838b22fffffffff,10.0,0.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0,0.0
838b2cfffffffff,68.0,0.0,0.0,0.0
838b2dfffffffff,11.0,0.0,0.0,0.0
838b61fffffffff,1044.0,54.0,0.0,0.0
838b6cfffffffff,528.0,6.0,0.0,0.0
838b75fffffffff,33.0,0.0,0.0,0.0
838e61fffffffff,6.0,0.0,0.0,0.0
838e64fffffffff,285.0,0.0,0.0,0.0
838e65fffffffff,53.0,0.0,0.0,0.0
838e6cfffffffff,18.0,0.0,0.0,0.0
838e6dfffffffff,1.0,0.0,0.0,0.0
838f09fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,67.0,0.0,10.0,0.0
838f29fffffffff,58.0,0.0,0.0,0.0
838f2afffffffff,11.0,0.0,0.0,0.0
838f2bfffffffff,62.0,0.0,0.0,0.0
838f2dfffffffff,29.0,0.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0,0.0
838f42fffffffff,139.0,2.0,0.0,0.0
838f43fffffffff,35.0,0.0,0.0,0.0
838f46fffffffff,432.0,0.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0
838f4afffffffff,45.0,0.0,0.0,0.0
838f50fffffffff,28.0,0.0,0.0,0.0
838f51fffffffff,150.0,0.0,0.0,0.0
838f54fffffffff,110.0,0.0,0.0,0.0
838f55fffffffff,226.0,2.0,0.0,0.0
838f59fffffffff,21.0,0.0,0.0,0.0
838f5cfffffffff,8.0,0.0,0.0,0.0
838f5dfffffffff,19.0,0.0,0.0,0.0
838f70fffffffff,93.0,8.0,0.0,0.0
838f72fffffffff,708.0,15.0,35.0,0.0
838f73fffffffff,520.0,3.0,0.0,0.0
838f74fffffffff,7.0,0.0,0.0,0.0
838f76fffffffff,184.0,0.0,2.0,0.0
83b321fffffffff,5.0,0.0,0.0,0.0
83b324fffffffff,6.0,0.0,0.0,0.0
83b325fffffffff,53.0,0.0,0.0,0.0
83b342fffffffff,256.0,0.0,0.0,0.0
83b344fffffffff,2.0,0.0,0.0,0.0
83b346fffffffff,10.0,0.0,0.0,0.0
83b351fffffffff,28.0,0.0,0.0,0.0
83b358fffffffff,2.0,0.0,0.0,0.0
83b35cfffffffff,34.0,0.0,0.0,0.0
83b35efffffffff,8.0,0.0,0.0,0.0
