cell_id,Aegithalos iouschistos,Aegithalos iouschistos iouschistos,Aegithalos iouschistos sharpei,Aegithalos iouschistos bonvaloti/obscuratus
833c00fffffffff,10.0,0.0,0.0,0.0
833c02fffffffff,8.0,2.0,0.0,0.0
833c03fffffffff,1.0,0.0,0.0,0.0
833c06fffffffff,24.0,6.0,0.0,0.0
833c0afffffffff,330.0,171.0,0.0,0.0
833c0bfffffffff,186.0,109.0,0.0,0.0
833c0efffffffff,16.0,10.0,0.0,0.0
833c1dfffffffff,127.0,62.0,0.0,0.0
833c31fffffffff,1.0,0.0,0.0,0.0
833c34fffffffff,1.0,0.0,0.0,0.0
833c42fffffffff,26.0,10.0,0.0,4.0
833c43fffffffff,32.0,15.0,0.0,15.0
833c4afffffffff,1.0,0.0,0.0,0.0
833c51fffffffff,2.0,0.0,0.0,0.0
833c52fffffffff,255.0,165.0,0.0,0.0
833c56fffffffff,4.0,3.0,0.0,0.0
833c59fffffffff,124.0,0.0,0.0,60.0
833c5cfffffffff,6.0,1.0,0.0,0.0
833c5dfffffffff,1.0,1.0,0.0,0.0
833cd8fffffffff,74.0,0.0,61.0,0.0
833cd9fffffffff,2.0,0.0,2.0,0.0
833cddfffffffff,9.0,0.0,3.0,0.0
833ce4fffffffff,1.0,0.0,0.0,0.0
833ce5fffffffff,89.0,33.0,0.0,0.0
834040fffffffff,5.0,0.0,0.0,4.0
834043fffffffff,62.0,0.0,0.0,27.0
834044fffffffff,34.0,0.0,0.0,18.0
834045fffffffff,3.0,0.0,0.0,2.0
83404cfffffffff,8.0,0.0,0.0,8.0
83404dfffffffff,3.0,0.0,0.0,3.0
83404efffffffff,12.0,0.0,0.0,5.0
834058fffffffff,20.0,0.0,0.0,12.0
834059fffffffff,7.0,0.0,0.0,5.0
83405bfffffffff,13.0,0.0,0.0,1.0
83405cfffffffff,30.0,0.0,0.0,12.0
83405dfffffffff,9.0,0.0,0.0,8.0
83405efffffffff,2.0,0.0,0.0,1.0
834071fffffffff,1.0,0.0,0.0,1.0
834073fffffffff,2.0,0.0,0.0,2.0
8340c4fffffffff,1.0,0.0,0.0,0.0
8340c5fffffffff,70.0,0.0,0.0,35.0
8340c6fffffffff,2.0,0.0,0.0,2.0
8340e1fffffffff,31.0,0.0,0.0,19.0
8340e3fffffffff,4.0,0.0,0.0,4.0
8340e8fffffffff,1.0,0.0,0.0,0.0
8340ecfffffffff,31.0,0.0,0.0,20.0
8340eefffffffff,32.0,0.0,0.0,28.0
