cell_id,Aegolius funereus,Aegolius funereus [funereus Group],Aegolius funereus richardsoni
820887fffffffff,3.0,3.0,0.0
8209a7fffffffff,3.0,0.0,0.0
820c47fffffffff,1.0,0.0,0.0
820c57fffffffff,6.0,0.0,0.0
820c5ffffffffff,16.0,0.0,0.0
820c77fffffffff,4.0,0.0,4.0
820e4ffffffffff,1.0,0.0,0.0
820e6ffffffffff,2.0,0.0,0.0
820ecffffffffff,54.0,0.0,0.0
820eeffffffffff,15.0,0.0,0.0
821137fffffffff,2.0,0.0,0.0
82125ffffffffff,2.0,0.0,0.0
8212c7fffffffff,5.0,0.0,1.0
8212cffffffffff,34.0,0.0,0.0
8212d7fffffffff,9.0,0.0,0.0
8212dffffffffff,25.0,0.0,0.0
821387fffffffff,19.0,0.0,0.0
82138ffffffffff,1.0,0.0,0.0
821397fffffffff,1.0,0.0,0.0
821aa7fffffffff,11.0,0.0,0.0
821ab7fffffffff,1.0,0.0,0.0
821b87fffffffff,2.0,0.0,0.0
821b9ffffffffff,1.0,0.0,0.0
821e07fffffffff,2.0,0.0,0.0
821e0ffffffffff,6.0,2.0,0.0
821e1ffffffffff,2.0,0.0,0.0
821e27fffffffff,5.0,0.0,0.0
821e37fffffffff,7.0,0.0,0.0
821eaffffffffff,1.0,0.0,0.0
821ec7fffffffff,2.0,2.0,0.0
821f1ffffffffff,1.0,0.0,0.0
821f27fffffffff,1.0,0.0,0.0
821f37fffffffff,5.0,0.0,0.0
821f8ffffffffff,4.0,4.0,0.0
821faffffffffff,4.0,4.0,0.0
8220e7fffffffff,3.0,0.0,0.0
8222dffffffffff,13.0,0.0,5.0
82248ffffffffff,1.0,0.0,0.0
822627fffffffff,6.0,0.0,0.0
822687fffffffff,258.0,0.0,9.0
82268ffffffffff,18.0,0.0,2.0
822697fffffffff,68.0,0.0,24.0
82269ffffffffff,76.0,0.0,0.0
8226b7fffffffff,4.0,0.0,0.0
822707fffffffff,4.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0
82271ffffffffff,7.0,0.0,0.0
822757fffffffff,17.0,0.0,0.0
822767fffffffff,15.0,0.0,0.0
82276ffffffffff,3.0,0.0,0.0
822777fffffffff,5.0,0.0,0.0
822887fffffffff,1.0,0.0,0.0
82288ffffffffff,4.0,0.0,0.0
822897fffffffff,21.0,0.0,1.0
82289ffffffffff,24.0,0.0,2.0
8228affffffffff,8.0,0.0,0.0
8228d7fffffffff,59.0,0.0,0.0
8228dffffffffff,5.0,0.0,0.0
8228f7fffffffff,6.0,0.0,0.0
822a17fffffffff,12.0,0.0,0.0
822a37fffffffff,5.0,0.0,0.0
822ab7fffffffff,4.0,0.0,0.0
822b17fffffffff,57.0,0.0,0.0
822b27fffffffff,8.0,0.0,0.0
822b2ffffffffff,1.0,0.0,0.0
822b37fffffffff,3.0,0.0,0.0
822b87fffffffff,75.0,0.0,2.0
822b97fffffffff,9.0,0.0,0.0
822b9ffffffffff,211.0,0.0,1.0
822ba7fffffffff,21.0,0.0,0.0
822baffffffffff,318.0,0.0,0.0
822bb7fffffffff,21.0,0.0,0.0
822d37fffffffff,7.0,0.0,0.0
823967fffffffff,4.0,0.0,0.0
823977fffffffff,7.0,0.0,0.0
823d37fffffffff,3.0,0.0,0.0
