cell_id,Aerodramus brevirostris,Aerodramus brevirostris brevirostris/innominatus,Aerodramus brevirostris rogersi
833083fffffffff,3.0,0.0,0.0
83309bfffffffff,19.0,0.0,0.0
8330a3fffffffff,2.0,0.0,0.0
833188fffffffff,2.0,0.0,0.0
83318dfffffffff,5.0,0.0,0.0
833c00fffffffff,2.0,2.0,0.0
833c02fffffffff,41.0,7.0,0.0
833c06fffffffff,11.0,11.0,0.0
833c0afffffffff,15.0,11.0,0.0
833c0bfffffffff,2.0,0.0,0.0
833c15fffffffff,1.0,1.0,0.0
833c19fffffffff,16.0,13.0,0.0
833c1cfffffffff,3.0,0.0,0.0
833c1dfffffffff,13.0,10.0,0.0
833c33fffffffff,3.0,3.0,0.0
833c52fffffffff,16.0,16.0,0.0
833c58fffffffff,19.0,19.0,0.0
833c5afffffffff,8.0,4.0,0.0
833c5bfffffffff,1.0,1.0,0.0
833c83fffffffff,1.0,0.0,0.0
833c92fffffffff,2.0,0.0,0.0
833cc0fffffffff,2.0,0.0,0.0
833cc2fffffffff,1.0,0.0,0.0
833cc5fffffffff,4.0,0.0,0.0
833cd1fffffffff,46.0,0.0,0.0
833cdefffffffff,4.0,0.0,0.0
833ce2fffffffff,9.0,0.0,0.0
833ce3fffffffff,2.0,0.0,0.0
833ce4fffffffff,1.0,0.0,0.0
833ce5fffffffff,16.0,0.0,0.0
833ce8fffffffff,6.0,0.0,0.0
833ce9fffffffff,10.0,10.0,0.0
833cecfffffffff,7.0,2.0,0.0
833cf2fffffffff,1.0,0.0,0.0
833d02fffffffff,2.0,0.0,0.0
833d06fffffffff,8.0,0.0,0.0
833d10fffffffff,18.0,17.0,0.0
833d11fffffffff,2.0,0.0,0.0
833d13fffffffff,5.0,5.0,0.0
833d15fffffffff,6.0,6.0,0.0
833d1afffffffff,2.0,0.0,0.0
833d1efffffffff,9.0,9.0,0.0
833d30fffffffff,5.0,5.0,0.0
833d33fffffffff,2.0,2.0,0.0
833dadfffffffff,36.0,36.0,0.0
83402dfffffffff,2.0,0.0,0.0
8340c5fffffffff,3.0,3.0,0.0
8340e1fffffffff,37.0,37.0,0.0
8340e3fffffffff,2.0,2.0,0.0
8340e8fffffffff,1.0,1.0,0.0
8340eefffffffff,1.0,1.0,0.0
83411cfffffffff,10.0,0.0,0.0
83414bfffffffff,2.0,0.0,0.0
83414cfffffffff,2.0,0.0,0.0
834171fffffffff,1.0,0.0,0.0
834173fffffffff,1.0,0.0,0.0
834191fffffffff,2.0,0.0,0.0
8341b2fffffffff,7.0,0.0,0.0
836416fffffffff,2.0,0.0,0.0
836432fffffffff,5.0,0.0,0.0
836480fffffffff,3.0,0.0,0.0
836482fffffffff,57.0,0.0,0.0
83648cfffffffff,2.0,2.0,0.0
836491fffffffff,58.0,0.0,0.0
836498fffffffff,1.0,1.0,0.0
83649bfffffffff,2.0,2.0,0.0
8364a1fffffffff,2.0,0.0,0.0
8364a3fffffffff,3.0,0.0,0.0
8364b0fffffffff,2.0,0.0,0.0
8364b5fffffffff,2.0,0.0,0.0
836500fffffffff,3.0,0.0,0.0
836505fffffffff,1.0,0.0,0.0
83651cfffffffff,4.0,0.0,0.0
83651dfffffffff,1.0,0.0,0.0
836580fffffffff,9.0,0.0,7.0
83658efffffffff,2.0,0.0,0.0
836592fffffffff,1.0,0.0,1.0
836599fffffffff,1.0,1.0,0.0
8365b1fffffffff,1.0,0.0,0.0
