cell_id,Aethopyga gouldiae,Aethopyga gouldiae gouldiae/isolata,Aethopyga gouldiae dabryii,Aethopyga gouldiae annamensis
843c029ffffffff,1.0,0.0,0.0,0.0
843c02dffffffff,5.0,0.0,0.0,0.0
843c0a5ffffffff,1.0,0.0,0.0,0.0
843c0a9ffffffff,1.0,0.0,0.0,0.0
843c521ffffffff,3.0,3.0,0.0,0.0
843c587ffffffff,1.0,0.0,0.0,0.0
843cc03ffffffff,2.0,0.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0,0.0
843cc41ffffffff,2.0,0.0,0.0,0.0
843cd8bffffffff,3.0,3.0,0.0,0.0
843cdd5ffffffff,2.0,0.0,0.0,0.0
843ce4dffffffff,6.0,0.0,0.0,0.0
843ce57ffffffff,1.0,0.0,0.0,0.0
843ce85ffffffff,2.0,0.0,0.0,0.0
843cea1ffffffff,8.0,0.0,0.0,0.0
843cebdffffffff,3.0,0.0,0.0,0.0
843d139ffffffff,2.0,2.0,0.0,0.0
84401dbffffffff,4.0,0.0,0.0,0.0
8440c59ffffffff,1.0,0.0,1.0,0.0
8440e13ffffffff,1.0,0.0,1.0,0.0
8440ea9ffffffff,1.0,0.0,1.0,0.0
8440ec5ffffffff,1.0,0.0,1.0,0.0
8440ee5ffffffff,1.0,0.0,1.0,0.0
844118bffffffff,2.0,0.0,0.0,0.0
84411c9ffffffff,1.0,0.0,0.0,0.0
84411cbffffffff,22.0,0.0,0.0,0.0
84414c3ffffffff,8.0,0.0,0.0,0.0
8441659ffffffff,2.0,0.0,0.0,0.0
8441b61ffffffff,2.0,0.0,0.0,0.0
844ba03ffffffff,1.0,0.0,0.0,0.0
844ba09ffffffff,14.0,0.0,2.0,0.0
846482bffffffff,2.0,0.0,0.0,0.0
8464843ffffffff,2.0,0.0,0.0,0.0
8464a35ffffffff,2.0,0.0,2.0,0.0
8464b0bffffffff,5.0,0.0,2.0,0.0
8465b61ffffffff,2.0,0.0,0.0,2.0
8469345ffffffff,1.0,0.0,1.0,0.0
