cell_id,Aethopyga nipalensis,Aethopyga nipalensis [nipalensis Group],Aethopyga nipalensis angkanensis
843c00dffffffff,8.0,0.0,0.0
843c021ffffffff,2.0,0.0,0.0
843c029ffffffff,172.0,4.0,0.0
843c02bffffffff,7.0,0.0,0.0
843c02dffffffff,168.0,2.0,0.0
843c031ffffffff,2.0,0.0,0.0
843c033ffffffff,3.0,0.0,0.0
843c063ffffffff,37.0,0.0,0.0
843c065ffffffff,1.0,0.0,0.0
843c067ffffffff,9.0,0.0,0.0
843c06bffffffff,3.0,0.0,0.0
843c0a3ffffffff,46.0,5.0,0.0
843c0a5ffffffff,975.0,0.0,0.0
843c0a7ffffffff,1.0,0.0,0.0
843c0a9ffffffff,134.0,0.0,0.0
843c0adffffffff,256.0,2.0,0.0
843c0b5ffffffff,250.0,29.0,0.0
843c0b7ffffffff,241.0,59.0,0.0
843c0bdffffffff,18.0,2.0,0.0
843c0e7ffffffff,22.0,0.0,0.0
843c199ffffffff,151.0,0.0,0.0
843c1d1ffffffff,121.0,0.0,0.0
843c1d3ffffffff,602.0,0.0,0.0
843c1d7ffffffff,6.0,0.0,0.0
843c1dbffffffff,94.0,0.0,0.0
843c1ddffffffff,1.0,0.0,0.0
843c307ffffffff,5.0,0.0,0.0
843c315ffffffff,39.0,0.0,0.0
843c317ffffffff,15.0,0.0,0.0
843c33bffffffff,21.0,0.0,0.0
843c341ffffffff,2.0,0.0,0.0
843c437ffffffff,62.0,0.0,0.0
843c521ffffffff,507.0,0.0,0.0
843c525ffffffff,44.0,0.0,0.0
843c527ffffffff,1427.0,0.0,0.0
843c529ffffffff,9.0,0.0,0.0
843c52dffffffff,37.0,0.0,0.0
843c533ffffffff,37.0,0.0,0.0
843c537ffffffff,2.0,0.0,0.0
843c567ffffffff,18.0,0.0,0.0
843c581ffffffff,1020.0,0.0,0.0
843c583ffffffff,2.0,0.0,0.0
843c587ffffffff,48.0,0.0,0.0
843c589ffffffff,6.0,0.0,0.0
843c58dffffffff,2.0,0.0,0.0
843c595ffffffff,121.0,0.0,0.0
843c5b9ffffffff,2.0,0.0,0.0
843c5bbffffffff,8.0,0.0,0.0
843c5c1ffffffff,2.0,0.0,0.0
843c5c5ffffffff,3.0,0.0,0.0
843c5cbffffffff,76.0,0.0,0.0
843c5d1ffffffff,1.0,0.0,0.0
843c5d5ffffffff,7.0,0.0,0.0
