cell_id,Aethopyga siparaja,Aethopyga siparaja [seheriae Group],Aethopyga siparaja [siparaja Group],Aethopyga siparaja flavostriata/beccarii
843c0a5ffffffff,6.0,1.0,0.0,0.0
843c159ffffffff,8.0,8.0,0.0,0.0
843c199ffffffff,11.0,0.0,0.0,0.0
843c19bffffffff,3.0,0.0,2.0,0.0
843c33bffffffff,8.0,8.0,0.0,0.0
843c5bdffffffff,15.0,0.0,0.0,0.0
843c5e1ffffffff,2.0,0.0,0.0,0.0
843c8edffffffff,4.0,0.0,0.0,0.0
843c909ffffffff,14.0,0.0,0.0,0.0
843c929ffffffff,30.0,0.0,0.0,0.0
843c92dffffffff,32.0,0.0,0.0,0.0
843c943ffffffff,14.0,0.0,0.0,0.0
843c947ffffffff,3.0,0.0,0.0,0.0
843c967ffffffff,43.0,0.0,0.0,0.0
843ca85ffffffff,3.0,0.0,0.0,0.0
843ca87ffffffff,2.0,0.0,0.0,0.0
843cab1ffffffff,12.0,0.0,0.0,0.0
843cab5ffffffff,1.0,0.0,0.0,0.0
843cab9ffffffff,2.0,0.0,0.0,0.0
843cb5dffffffff,2.0,0.0,0.0,0.0
843cc15ffffffff,2.0,0.0,0.0,0.0
843ce15ffffffff,2.0,0.0,0.0,0.0
843ce4dffffffff,4.0,0.0,2.0,0.0
843ce57ffffffff,3.0,1.0,0.0,0.0
843ce89ffffffff,1.0,0.0,0.0,0.0
843cea1ffffffff,5.0,0.0,0.0,0.0
843cec1ffffffff,2.0,0.0,0.0,0.0
843d139ffffffff,2.0,0.0,0.0,0.0
843d141ffffffff,10.0,0.0,0.0,0.0
843d147ffffffff,5.0,0.0,0.0,0.0
843d149ffffffff,1.0,0.0,0.0,0.0
843d14dffffffff,2.0,0.0,0.0,0.0
843d305ffffffff,1.0,0.0,0.0,0.0
843d323ffffffff,5.0,0.0,0.0,0.0
843d9b7ffffffff,12.0,0.0,0.0,0.0
843dad1ffffffff,2.0,2.0,0.0,0.0
843daddffffffff,5.0,5.0,0.0,0.0
84411cbffffffff,1.0,0.0,0.0,0.0
84416b1ffffffff,4.0,0.0,0.0,0.0
8460965ffffffff,2.0,0.0,0.0,0.0
84619a5ffffffff,7.0,0.0,0.0,0.0
846428bffffffff,49.0,0.0,0.0,0.0
846429dffffffff,62.0,0.0,0.0,0.0
84642d7ffffffff,9.0,0.0,0.0,0.0
8464a3dffffffff,3.0,0.0,0.0,0.0
8465029ffffffff,5.0,0.0,0.0,0.0
8465033ffffffff,4.0,0.0,0.0,0.0
8465037ffffffff,2.0,0.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0,0.0
8465069ffffffff,2.0,0.0,0.0,0.0
846518bffffffff,5.0,0.0,0.0,0.0
846519dffffffff,8.0,0.0,0.0,0.0
84651d1ffffffff,3.0,0.0,0.0,0.0
84651d9ffffffff,11.0,0.0,0.0,0.0
84651dbffffffff,47.0,0.0,0.0,0.0
846520dffffffff,95.0,0.0,0.0,0.0
8465227ffffffff,1.0,0.0,0.0,0.0
8465263ffffffff,12.0,0.0,0.0,0.0
84658b5ffffffff,2.0,0.0,0.0,0.0
846818dffffffff,2.0,0.0,0.0,0.0
84681c3ffffffff,4.0,0.0,4.0,0.0
8468ddbffffffff,1.0,0.0,0.0,1.0
