cell_id,Agelaius phoeniceus,Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus gubernator
820c17fffffffff,4.0,0.0,0.0,0.0
820c47fffffffff,80.0,2.0,0.0,0.0
820c57fffffffff,7.0,0.0,0.0,0.0
820c67fffffffff,17.0,0.0,0.0,0.0
820c77fffffffff,8.0,0.0,0.0,0.0
820d07fffffffff,3.0,0.0,0.0,0.0
820d0ffffffffff,2.0,0.0,0.0,0.0
820d5ffffffffff,8.0,0.0,0.0,0.0
820e4ffffffffff,10.0,0.0,0.0,0.0
820e6ffffffffff,12.0,0.0,0.0,0.0
820ec7fffffffff,21.0,0.0,0.0,0.0
820ecffffffffff,14.0,0.0,0.0,0.0
820edffffffffff,1.0,0.0,0.0,0.0
820ee7fffffffff,2.0,1.0,0.0,0.0
820eeffffffffff,76.0,0.0,0.0,0.0
820ef7fffffffff,2.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0
82124ffffffffff,5.0,0.0,0.0,0.0
821257fffffffff,10.0,10.0,0.0,0.0
82125ffffffffff,14.0,3.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0
8212b7fffffffff,24.0,0.0,0.0,0.0
8212c7fffffffff,13.0,0.0,0.0,0.0
8212cffffffffff,58.0,1.0,0.0,0.0
8212dffffffffff,13.0,6.0,0.0,0.0
8212e7fffffffff,2.0,0.0,0.0,0.0
8212effffffffff,7.0,2.0,0.0,0.0
8212f7fffffffff,1.0,0.0,0.0,0.0
821387fffffffff,46.0,0.0,0.0,0.0
82138ffffffffff,10.0,0.0,0.0,0.0
82139ffffffffff,12.0,1.0,0.0,0.0
8213b7fffffffff,3.0,0.0,0.0,0.0
82192ffffffffff,1.0,0.0,0.0,0.0
821aa7fffffffff,114.0,0.0,0.0,0.0
821b9ffffffffff,40.0,0.0,0.0,0.0
821bb7fffffffff,2.0,0.0,0.0,0.0
821d27fffffffff,4.0,0.0,0.0,0.0
8222dffffffffff,2.0,0.0,0.0,0.0
822607fffffffff,50.0,23.0,0.0,0.0
82260ffffffffff,51.0,40.0,0.0,0.0
822617fffffffff,26.0,4.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0,0.0
822627fffffffff,52.0,8.0,0.0,0.0
82262ffffffffff,5.0,0.0,0.0,0.0
822637fffffffff,15.0,1.0,0.0,0.0
822647fffffffff,67.0,1.0,0.0,0.0
82264ffffffffff,284.0,156.0,0.0,0.0
822657fffffffff,64.0,4.0,0.0,0.0
82265ffffffffff,172.0,86.0,0.0,0.0
822667fffffffff,87.0,2.0,0.0,0.0
82266ffffffffff,44.0,2.0,0.0,0.0
822677fffffffff,24.0,4.0,0.0,0.0
822687fffffffff,237.0,7.0,0.0,0.0
82268ffffffffff,355.0,9.0,0.0,0.0
822697fffffffff,123.0,37.0,0.0,0.0
82269ffffffffff,128.0,7.0,0.0,0.0
8226a7fffffffff,2.0,0.0,0.0,0.0
