cell_id,Agricola pallidus,Agricola pallidus [pallidus Group],Agricola pallidus bafirawari,Agricola pallidus subalaris/erlangeri
82529ffffffffff,5.0,0.0,0.0,0.0
82541ffffffffff,11.0,0.0,0.0,0.0
825457fffffffff,2.0,2.0,0.0,0.0
8254affffffffff,5.0,0.0,0.0,0.0
8254e7fffffffff,20.0,0.0,0.0,0.0
825897fffffffff,3.0,0.0,0.0,0.0
8258a7fffffffff,1.0,0.0,0.0,0.0
8258cffffffffff,4.0,0.0,0.0,0.0
8258dffffffffff,11.0,0.0,0.0,0.0
8258e7fffffffff,28.0,0.0,0.0,0.0
8258effffffffff,1.0,0.0,0.0,0.0
8258f7fffffffff,1.0,0.0,0.0,0.0
82599ffffffffff,16.0,0.0,0.0,0.0
826a47fffffffff,2.0,0.0,0.0,0.0
826a5ffffffffff,45.0,0.0,0.0,0.0
826a67fffffffff,4.0,0.0,0.0,0.0
826a6ffffffffff,11.0,1.0,0.0,0.0
826ac7fffffffff,21.0,0.0,0.0,0.0
826acffffffffff,50.0,0.0,0.0,0.0
826adffffffffff,89.0,0.0,0.0,0.0
826aeffffffffff,153.0,0.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0,0.0
82750ffffffffff,146.0,10.0,0.0,0.0
827527fffffffff,90.0,9.0,0.0,0.0
82752ffffffffff,38.0,1.0,0.0,0.0
827537fffffffff,5.0,0.0,0.0,0.0
827a47fffffffff,184.0,0.0,0.0,0.0
827a4ffffffffff,152.0,0.0,0.0,0.0
827a57fffffffff,4.0,0.0,0.0,0.0
827a67fffffffff,88.0,0.0,0.0,0.0
827a6ffffffffff,422.0,2.0,0.0,2.0
827a77fffffffff,13.0,0.0,12.0,0.0
827acffffffffff,32.0,4.0,0.0,0.0
827adffffffffff,19.0,0.0,0.0,0.0
827aeffffffffff,39.0,9.0,0.0,0.0
827b4ffffffffff,56.0,0.0,0.0,1.0
827b5ffffffffff,114.0,0.0,0.0,0.0
827b6ffffffffff,8.0,0.0,0.0,4.0
8282a7fffffffff,7.0,0.0,0.0,0.0
828317fffffffff,1.0,0.0,0.0,0.0
828327fffffffff,2.0,0.0,0.0,0.0
828337fffffffff,12.0,8.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0,0.0
8283a7fffffffff,2.0,0.0,0.0,0.0
829607fffffffff,19.0,2.0,0.0,0.0
82960ffffffffff,21.0,1.0,0.0,0.0
829617fffffffff,7.0,3.0,0.0,0.0
82961ffffffffff,1.0,0.0,0.0,0.0
829627fffffffff,33.0,4.0,0.0,0.0
82962ffffffffff,22.0,6.0,0.0,0.0
829637fffffffff,6.0,0.0,0.0,0.0
829657fffffffff,2.0,0.0,0.0,0.0
829677fffffffff,6.0,0.0,0.0,0.0
829697fffffffff,98.0,2.0,0.0,0.0
82969ffffffffff,5.0,0.0,0.0,0.0
8296a7fffffffff,7.0,0.0,0.0,0.0
8296affffffffff,1.0,1.0,0.0,0.0
8296b7fffffffff,129.0,6.0,0.0,0.0
829707fffffffff,34.0,0.0,0.0,0.0
82970ffffffffff,2.0,0.0,0.0,0.0
829717fffffffff,76.0,0.0,0.0,0.0
82971ffffffffff,19.0,2.0,0.0,0.0
829727fffffffff,18.0,0.0,0.0,0.0
82972ffffffffff,29.0,6.0,0.0,0.0
829737fffffffff,11.0,0.0,0.0,0.0
829747fffffffff,17.0,0.0,0.0,0.0
82974ffffffffff,167.0,30.0,0.0,0.0
829757fffffffff,51.0,3.0,0.0,0.0
82975ffffffffff,37.0,3.0,0.0,0.0
829777fffffffff,1.0,0.0,0.0,0.0
82978ffffffffff,7.0,0.0,0.0,0.0
82979ffffffffff,10.0,0.0,0.0,0.0
8297affffffffff,4.0,0.0,0.0,0.0
82ac8ffffffffff,2.0,0.0,0.0,0.0
82ac97fffffffff,46.0,4.0,0.0,0.0
82bc8ffffffffff,78.0,17.0,0.0,0.0
82bc9ffffffffff,31.0,0.0,0.0,0.0
82bcc7fffffffff,5.0,0.0,0.0,0.0
82bcd7fffffffff,145.0,25.0,0.0,0.0
82bcdffffffffff,53.0,11.0,0.0,0.0
82bcf7fffffffff,524.0,126.0,0.0,0.0
