cell_id,Amazilia rutila,Amazilia rutila graysoni,Amazilia rutila [rutila Group]
834520fffffffff,18.0,0.0,0.0
834521fffffffff,1.0,0.0,0.0
834525fffffffff,2.0,0.0,0.0
834526fffffffff,3.0,0.0,0.0
83452efffffffff,4.0,0.0,0.0
834572fffffffff,1.0,0.0,0.0
834833fffffffff,3.0,0.0,3.0
834836fffffffff,6.0,0.0,1.0
8349a8fffffffff,1.0,0.0,1.0
8349b3fffffffff,2.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
83679afffffffff,2.0,0.0,0.0
836d04fffffffff,1.0,0.0,1.0
836d05fffffffff,1.0,0.0,1.0
836d15fffffffff,16.0,0.0,0.0
836d25fffffffff,10.0,0.0,0.0
836d2bfffffffff,12.0,0.0,9.0
836d2dfffffffff,41.0,0.0,18.0
836d65fffffffff,11.0,0.0,0.0
836d68fffffffff,17.0,0.0,6.0
836d69fffffffff,33.0,0.0,33.0
836d6bfffffffff,2.0,0.0,0.0
836d6dfffffffff,28.0,0.0,0.0
