cell_id,Amazona autumnalis,Amazona autumnalis autumnalis/salvini,Amazona autumnalis lilacina,Amazona autumnalis diadema
832836fffffffff,24.0,0.0,0.0,0.0
832912fffffffff,5.0,0.0,0.0,0.0
8329a0fffffffff,30.0,4.0,0.0,0.0
8329a1fffffffff,17.0,0.0,0.0,0.0
8329a4fffffffff,36.0,2.0,0.0,0.0
8344a1fffffffff,6.0,0.0,0.0,0.0
834501fffffffff,3.0,0.0,0.0,0.0
834505fffffffff,6.0,0.0,0.0,0.0
834509fffffffff,4.0,0.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0,0.0
834521fffffffff,8.0,0.0,0.0,0.0
834524fffffffff,2.0,0.0,0.0,0.0
834525fffffffff,5.0,2.0,0.0,0.0
834526fffffffff,1.0,0.0,0.0,0.0
83452afffffffff,22.0,1.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,38.0,1.0,0.0,0.0
834531fffffffff,4.0,0.0,0.0,0.0
834533fffffffff,8.0,0.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0,0.0
834564fffffffff,1.0,0.0,0.0,0.0
834814fffffffff,2.0,0.0,0.0,0.0
83484afffffffff,2.0,0.0,0.0,0.0
834880fffffffff,19.0,8.0,0.0,0.0
8348a0fffffffff,10.0,0.0,0.0,0.0
8348a2fffffffff,2.0,0.0,0.0,0.0
8348b2fffffffff,203.0,28.0,0.0,0.0
8348b3fffffffff,86.0,3.0,0.0,0.0
834980fffffffff,51.0,0.0,3.0,0.0
834983fffffffff,11.0,0.0,0.0,0.0
834985fffffffff,2.0,0.0,0.0,0.0
83498efffffffff,7.0,0.0,0.0,0.0
834990fffffffff,34.0,0.0,0.0,0.0
834994fffffffff,16.0,0.0,0.0,0.0
834995fffffffff,24.0,0.0,0.0,0.0
834996fffffffff,16.0,3.0,0.0,0.0
83499cfffffffff,3.0,0.0,0.0,0.0
8349a8fffffffff,6.0,0.0,0.0,0.0
8349b3fffffffff,16.0,0.0,0.0,0.0
83660afffffffff,6.0,0.0,0.0,0.0
836610fffffffff,13.0,0.0,0.0,0.0
836611fffffffff,12.0,0.0,0.0,0.0
836613fffffffff,31.0,0.0,0.0,0.0
836616fffffffff,7.0,2.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0,0.0
83661cfffffffff,20.0,0.0,0.0,0.0
83661efffffffff,11.0,0.0,0.0,0.0
836620fffffffff,2.0,0.0,0.0,0.0
836684fffffffff,3.0,0.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0,0.0
8366a3fffffffff,3.0,0.0,0.0,0.0
8366a5fffffffff,39.0,0.0,0.0,0.0
8366a6fffffffff,9.0,0.0,0.0,0.0
8366b0fffffffff,44.0,9.0,0.0,0.0
8366b4fffffffff,15.0,0.0,0.0,0.0
8366b5fffffffff,4.0,0.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0,0.0
8366d0fffffffff,20.0,2.0,0.0,0.0
8366d3fffffffff,3.0,3.0,0.0,0.0
836732fffffffff,4.0,0.0,0.0,0.0
836746fffffffff,2.0,0.0,0.0,0.0
83679afffffffff,69.0,5.0,0.0,0.0
83679bfffffffff,3.0,0.0,0.0,0.0
836d20fffffffff,6.0,4.0,0.0,0.0
836d21fffffffff,6.0,2.0,0.0,0.0
836d23fffffffff,12.0,5.0,0.0,0.0
836d2cfffffffff,5.0,4.0,0.0,0.0
836d30fffffffff,12.0,1.0,0.0,0.0
836d31fffffffff,10.0,0.0,0.0,0.0
836d32fffffffff,4.0,0.0,0.0,0.0
836d35fffffffff,3.0,3.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0,0.0
836d61fffffffff,1.0,0.0,0.0,0.0
836d64fffffffff,3.0,0.0,0.0,0.0
836d65fffffffff,12.0,0.0,0.0,0.0
836d68fffffffff,18.0,0.0,0.0,0.0
836d69fffffffff,50.0,20.0,0.0,0.0
836d6bfffffffff,3.0,0.0,0.0,0.0
836d6cfffffffff,64.0,0.0,0.0,0.0
836d6dfffffffff,6.0,0.0,0.0,0.0
836d74fffffffff,3.0,0.0,0.0,0.0
838f2afffffffff,2.0,0.0,0.0,0.0
838f2bfffffffff,4.0,0.0,0.0,0.0
838f2cfffffffff,1.0,1.0,0.0,0.0
