cell_id,Amblycercus holosericeus,Amblycercus holosericeus holosericeus/flavirostris,Amblycercus holosericeus australis
83450afffffffff,7.0,2.0,0.0
834520fffffffff,6.0,0.0,0.0
834523fffffffff,3.0,0.0,0.0
834525fffffffff,6.0,6.0,0.0
834526fffffffff,1.0,0.0,0.0
834528fffffffff,5.0,5.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,2.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834996fffffffff,1.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0
8366a0fffffffff,5.0,0.0,0.0
8366a5fffffffff,2.0,0.0,0.0
8366b0fffffffff,4.0,2.0,0.0
8366b4fffffffff,4.0,2.0,0.0
8366d3fffffffff,29.0,5.0,0.0
836741fffffffff,1.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0
83679afffffffff,4.0,0.0,0.0
836d05fffffffff,3.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,5.0,0.0,0.0
836d28fffffffff,6.0,6.0,0.0
836d29fffffffff,2.0,2.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d2cfffffffff,2.0,2.0,0.0
836d2dfffffffff,1.0,0.0,0.0
836d30fffffffff,2.0,2.0,0.0
836d34fffffffff,6.0,0.0,0.0
836d68fffffffff,1.0,0.0,0.0
836d69fffffffff,32.0,2.0,0.0
836d6dfffffffff,1.0,0.0,0.0
838f2cfffffffff,5.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0
