cell_id,Amblycercus holosericeus,Amblycercus holosericeus holosericeus/flavirostris,Amblycercus holosericeus australis
824507fffffffff,612.0,7.0,0.0
82450ffffffffff,3244.0,360.0,0.0
82451ffffffffff,14.0,10.0,0.0
824527fffffffff,4445.0,17.0,0.0
82452ffffffffff,10604.0,238.0,0.0
824537fffffffff,415.0,0.0,0.0
824577fffffffff,81.0,27.0,0.0
824997fffffffff,190.0,43.0,0.0
82499ffffffffff,74.0,0.0,0.0
82660ffffffffff,41.0,0.0,0.0
826617fffffffff,130.0,8.0,0.0
82661ffffffffff,82.0,3.0,0.0
826627fffffffff,257.0,0.0,15.0
82662ffffffffff,13.0,0.0,3.0
826637fffffffff,1.0,0.0,0.0
8266a7fffffffff,883.0,43.0,0.0
8266b7fffffffff,2124.0,0.0,0.0
8266c7fffffffff,14.0,0.0,0.0
8266d7fffffffff,37.0,0.0,0.0
8266dffffffffff,167.0,0.0,12.0
8266e7fffffffff,1148.0,0.0,12.0
8266f7fffffffff,59.0,0.0,0.0
826747fffffffff,42.0,0.0,0.0
82674ffffffffff,6.0,0.0,0.0
826797fffffffff,108.0,0.0,0.0
82679ffffffffff,168.0,0.0,0.0
8267b7fffffffff,2.0,0.0,0.0
826d07fffffffff,116.0,18.0,0.0
826d27fffffffff,491.0,118.0,0.0
826d2ffffffffff,4250.0,1195.0,0.0
826d37fffffffff,1528.0,72.0,0.0
826d67fffffffff,1627.0,0.0,0.0
826d6ffffffffff,3773.0,0.0,0.0
826d77fffffffff,239.0,0.0,0.0
828b27fffffffff,3.0,0.0,0.0
828b2ffffffffff,15.0,0.0,0.0
828b67fffffffff,70.0,0.0,0.0
828b6ffffffffff,58.0,0.0,0.0
828e67fffffffff,14.0,0.0,0.0
828f0ffffffffff,60.0,1.0,6.0
828f27fffffffff,2.0,0.0,0.0
828f2ffffffffff,133.0,8.0,0.0
828f47fffffffff,25.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,43.0,8.0,0.0
828f5ffffffffff,37.0,0.0,0.0
828f77fffffffff,177.0,5.0,16.0
82b327fffffffff,8.0,0.0,0.0
