cell_id,Ammospiza maritima,Ammospiza maritima maritima/macgillivraii,Ammospiza maritima nigrescens,Ammospiza maritima [sennetti Group],Ammospiza maritima mirabilis
842a065ffffffff,4.0,0.0,0.0,0.0,0.0
842a101ffffffff,1.0,0.0,0.0,0.0,0.0
842a103ffffffff,277.0,0.0,0.0,0.0,0.0
842a107ffffffff,354.0,8.0,0.0,0.0,0.0
842a109ffffffff,179.0,39.0,0.0,0.0,0.0
842a10bffffffff,447.0,0.0,0.0,0.0,0.0
842a133ffffffff,4625.0,490.0,0.0,0.0,0.0
842a139ffffffff,31.0,3.0,0.0,0.0,0.0
842a13bffffffff,271.0,30.0,0.0,0.0,0.0
842a143ffffffff,50.0,2.0,0.0,0.0,0.0
842a151ffffffff,40.0,0.0,0.0,0.0,0.0
842a157ffffffff,476.0,0.0,0.0,0.0,0.0
842a159ffffffff,152.0,5.0,0.0,0.0,0.0
842a15dffffffff,793.0,21.0,0.0,0.0,0.0
842a1a5ffffffff,84.0,15.0,0.0,0.0,0.0
842a301ffffffff,76.0,0.0,0.0,0.0,0.0
842a311ffffffff,69.0,0.0,0.0,0.0,0.0
842a313ffffffff,2.0,0.0,0.0,0.0,0.0
842a317ffffffff,6.0,0.0,0.0,0.0,0.0
842a333ffffffff,284.0,23.0,0.0,0.0,0.0
842a33bffffffff,155.0,30.0,0.0,0.0,0.0
842aa81ffffffff,24.0,4.0,0.0,0.0,0.0
842aa83ffffffff,201.0,45.0,0.0,0.0,0.0
842aa89ffffffff,2.0,0.0,0.0,0.0,0.0
842aa8bffffffff,32.0,5.0,0.0,0.0,0.0
842aa8dffffffff,17.0,2.0,0.0,0.0,0.0
842aa91ffffffff,791.0,267.0,0.0,0.0,0.0
842aa93ffffffff,221.0,30.0,0.0,0.0,0.0
842aa95ffffffff,162.0,19.0,0.0,0.0,0.0
842aa97ffffffff,208.0,18.0,0.0,0.0,0.0
842aa99ffffffff,31.0,3.0,0.0,0.0,0.0
842aa9bffffffff,978.0,101.0,0.0,0.0,0.0
842aa9dffffffff,355.0,38.0,0.0,0.0,0.0
842aab9ffffffff,1.0,0.0,0.0,0.0,0.0
842aad1ffffffff,2915.0,153.0,0.0,0.0,0.0
842aad3ffffffff,390.0,2.0,0.0,0.0,0.0
842aad5ffffffff,1605.0,0.0,0.0,0.0,0.0
842aad7ffffffff,8.0,0.0,0.0,0.0,0.0
842aad9ffffffff,1496.0,142.0,0.0,0.0,0.0
842aadbffffffff,892.0,176.0,0.0,0.0,0.0
842aaddffffffff,467.0,44.0,0.0,0.0,0.0
842ac6dffffffff,29.0,0.0,0.0,0.0,0.0
842ad03ffffffff,90.0,0.0,0.0,0.0,0.0
842ad0bffffffff,9.0,0.0,0.0,0.0,0.0
842ad15ffffffff,224.0,0.0,0.0,0.0,0.0
842ad31ffffffff,97.0,0.0,0.0,0.0,0.0
842ad35ffffffff,3.0,0.0,0.0,0.0,0.0
842ad37ffffffff,362.0,18.0,0.0,0.0,0.0
842ad39ffffffff,79.0,0.0,0.0,0.0,0.0
842ad4bffffffff,2.0,0.0,0.0,0.0,0.0
842ad51ffffffff,26.0,0.0,0.0,0.0,0.0
842ad55ffffffff,37.0,0.0,0.0,0.0,0.0
842ad57ffffffff,31.0,0.0,0.0,0.0,0.0
842ad59ffffffff,197.0,0.0,0.0,0.0,0.0
842ad5bffffffff,36.0,0.0,0.0,0.0,0.0
842af01ffffffff,4.0,0.0,0.0,0.0,0.0
842af03ffffffff,45.0,0.0,0.0,0.0,0.0
842af05ffffffff,5.0,0.0,0.0,0.0,0.0
842af07ffffffff,4.0,0.0,0.0,0.0,0.0
842af0dffffffff,32.0,2.0,0.0,0.0,0.0
842af15ffffffff,842.0,0.0,0.0,0.0,0.0
842af17ffffffff,16.0,0.0,0.0,0.0,0.0
842af31ffffffff,2.0,0.0,0.0,0.0,0.0
842af33ffffffff,49.0,0.0,0.0,0.0,0.0
842af37ffffffff,31.0,0.0,0.0,0.0,0.0
842af39ffffffff,4.0,0.0,0.0,0.0,0.0
842af45ffffffff,9.0,1.0,0.0,0.0,0.0
842af61ffffffff,346.0,15.0,0.0,0.0,0.0
842af63ffffffff,165.0,37.0,0.0,0.0,0.0
842af67ffffffff,3.0,0.0,0.0,0.0,0.0
842af69ffffffff,102.0,5.0,0.0,0.0,0.0
842af6bffffffff,209.0,41.0,0.0,0.0,0.0
842af6dffffffff,14.0,0.0,0.0,0.0,0.0
844412dffffffff,131.0,0.0,0.0,0.0,127.0
84441a3ffffffff,23.0,0.0,0.0,5.0,0.0
84441abffffffff,26.0,0.0,0.0,7.0,0.0
84441b3ffffffff,5.0,0.0,0.0,0.0,0.0
84441b5ffffffff,81.0,0.0,0.0,6.0,0.0
84441b7ffffffff,83.0,0.0,0.0,4.0,0.0
8444441ffffffff,2.0,0.0,0.0,0.0,0.0
844444bffffffff,28.0,0.0,0.0,0.0,0.0
844444dffffffff,3.0,0.0,0.0,0.0,0.0
8444459ffffffff,41.0,0.0,0.0,0.0,0.0
8444465ffffffff,31.0,0.0,0.0,0.0,0.0
8444469ffffffff,2.0,0.0,0.0,0.0,0.0
844446dffffffff,1.0,0.0,0.0,0.0,0.0
8444509ffffffff,386.0,0.0,0.0,21.0,0.0
844450dffffffff,299.0,0.0,0.0,42.0,0.0
8444543ffffffff,3.0,0.0,0.0,0.0,0.0
8444551ffffffff,102.0,0.0,0.0,11.0,0.0
8444555ffffffff,854.0,0.0,0.0,28.0,0.0
8444557ffffffff,3.0,0.0,0.0,0.0,0.0
8444559ffffffff,29.0,0.0,0.0,0.0,0.0
844455bffffffff,84.0,0.0,0.0,0.0,0.0
844455dffffffff,53.0,0.0,0.0,0.0,0.0
8444633ffffffff,477.0,0.0,0.0,0.0,0.0
8444637ffffffff,34.0,0.0,0.0,0.0,0.0
84446c1ffffffff,37.0,0.0,0.0,0.0,0.0
84446c5ffffffff,2397.0,0.0,0.0,124.0,0.0
84446c9ffffffff,250.0,0.0,0.0,8.0,0.0
84446cdffffffff,647.0,0.0,0.0,30.0,0.0
84446e1ffffffff,10.0,0.0,0.0,0.0,0.0
84446e5ffffffff,328.0,0.0,0.0,0.0,0.0
84446e9ffffffff,394.0,0.0,0.0,7.0,0.0
84446ebffffffff,3.0,0.0,0.0,0.0,0.0
84446edffffffff,367.0,0.0,0.0,17.0,0.0
8444711ffffffff,18.0,0.0,0.0,0.0,0.0
8444713ffffffff,27.0,0.0,0.0,0.0,0.0
8444715ffffffff,81.0,0.0,0.0,0.0,0.0
8444717ffffffff,120.0,0.0,0.0,0.0,0.0
8444731ffffffff,95.0,0.0,0.0,0.0,0.0
8444733ffffffff,67.0,0.0,0.0,0.0,0.0
8444737ffffffff,6.0,0.0,0.0,0.0,0.0
844473bffffffff,1280.0,0.0,0.0,0.0,0.0
8444d01ffffffff,218.0,27.0,0.0,0.0,0.0
8444d03ffffffff,8.0,0.0,0.0,0.0,0.0
8444d07ffffffff,370.0,14.0,0.0,0.0,0.0
8444d09ffffffff,47.0,2.0,0.0,0.0,0.0
8444d0bffffffff,78.0,0.0,0.0,0.0,0.0
8444d23ffffffff,59.0,0.0,0.0,0.0,0.0
8444d2bffffffff,157.0,0.0,0.0,0.0,0.0
8444d3dffffffff,24.0,0.0,0.0,0.0,0.0
8444d51ffffffff,5.0,0.0,0.0,0.0,0.0
8444d55ffffffff,38.0,0.0,0.0,0.0,0.0
8444d57ffffffff,10.0,0.0,0.0,0.0,0.0
8444d5dffffffff,280.0,8.0,0.0,0.0,0.0
8444e41ffffffff,2.0,0.0,0.0,0.0,0.0
8444e43ffffffff,2.0,0.0,0.0,2.0,0.0
8444e47ffffffff,24.0,0.0,0.0,0.0,0.0
8444e63ffffffff,620.0,0.0,0.0,66.0,0.0
8444e65ffffffff,9.0,0.0,0.0,2.0,0.0
8444e67ffffffff,18.0,0.0,0.0,2.0,0.0
8444e6bffffffff,1.0,0.0,0.0,0.0,0.0
8444f05ffffffff,84.0,8.0,0.0,0.0,0.0
8444f07ffffffff,165.0,20.0,0.0,0.0,0.0
8444f31ffffffff,246.0,17.0,0.0,0.0,0.0
8444f35ffffffff,286.0,90.0,0.0,0.0,0.0
8444f37ffffffff,325.0,24.0,0.0,0.0,0.0
8444f3dffffffff,191.0,9.0,0.0,0.0,0.0
8444f4bffffffff,4.0,0.0,0.0,0.0,0.0
8444f59ffffffff,33.0,0.0,0.0,0.0,0.0
8444f63ffffffff,188.0,0.0,0.0,0.0,0.0
8448901ffffffff,5.0,0.0,0.0,2.0,0.0
8448903ffffffff,102.0,0.0,0.0,1.0,0.0
8448907ffffffff,612.0,0.0,0.0,2.0,0.0
844890bffffffff,393.0,0.0,0.0,29.0,0.0
844891dffffffff,3.0,0.0,0.0,0.0,0.0
