cell_id,Ammospiza nelsoni,Ammospiza nelsoni nelsoni/altera,Ammospiza nelsoni subvirgata
830e49fffffffff,21.0,0.0,0.0
830e4dfffffffff,37.0,0.0,0.0
830ec1fffffffff,89.0,0.0,0.0
830ec5fffffffff,5.0,0.0,0.0
830ec8fffffffff,1.0,0.0,0.0
830ec9fffffffff,2.0,0.0,0.0
830eccfffffffff,33.0,0.0,0.0
830ee2fffffffff,1.0,0.0,0.0
830ee8fffffffff,53.0,0.0,0.0
830eeafffffffff,201.0,0.0,0.0
830eebfffffffff,190.0,3.0,0.0
83121bfffffffff,1.0,0.0,0.0
831259fffffffff,2.0,0.0,0.0
83125afffffffff,1.0,0.0,0.0
8312c1fffffffff,17.0,4.0,0.0
8312c8fffffffff,7.0,0.0,0.0
8312ccfffffffff,29.0,4.0,0.0
831aa0fffffffff,2.0,0.0,0.0
831aa2fffffffff,2.0,0.0,0.0
831aa3fffffffff,6.0,0.0,0.0
831b9afffffffff,1.0,0.0,0.0
832600fffffffff,1.0,0.0,0.0
832603fffffffff,4.0,0.0,0.0
832604fffffffff,2.0,0.0,0.0
83260afffffffff,2.0,0.0,0.0
83260bfffffffff,2.0,0.0,0.0
83260dfffffffff,2.0,0.0,0.0
83261dfffffffff,1.0,0.0,0.0
832624fffffffff,2.0,0.0,0.0
832625fffffffff,1.0,0.0,0.0
83262bfffffffff,8.0,2.0,0.0
83262cfffffffff,4.0,0.0,0.0
832634fffffffff,2.0,0.0,0.0
832640fffffffff,4.0,0.0,0.0
832646fffffffff,19.0,0.0,0.0
832648fffffffff,26.0,0.0,0.0
83264afffffffff,8.0,0.0,0.0
83264cfffffffff,11.0,2.0,0.0
83264dfffffffff,20.0,0.0,0.0
83264efffffffff,17.0,0.0,0.0
832652fffffffff,1.0,1.0,0.0
832653fffffffff,1.0,0.0,0.0
832654fffffffff,2.0,0.0,0.0
832655fffffffff,22.0,0.0,0.0
832659fffffffff,15.0,0.0,0.0
83265bfffffffff,18.0,0.0,0.0
832660fffffffff,8.0,0.0,0.0
832661fffffffff,3.0,0.0,0.0
832662fffffffff,2.0,0.0,0.0
832663fffffffff,3.0,0.0,0.0
832664fffffffff,115.0,2.0,0.0
832665fffffffff,2.0,0.0,0.0
832666fffffffff,11.0,0.0,0.0
832668fffffffff,7.0,3.0,0.0
83266afffffffff,23.0,4.0,0.0
83266bfffffffff,3.0,0.0,0.0
83266cfffffffff,2.0,1.0,0.0
83266dfffffffff,7.0,0.0,0.0
83266efffffffff,5.0,0.0,0.0
832671fffffffff,6.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0
832688fffffffff,10.0,0.0,0.0
83268cfffffffff,97.0,2.0,0.0
832696fffffffff,10.0,6.0,0.0
8326c8fffffffff,3.0,0.0,0.0
8326c9fffffffff,1.0,0.0,0.0
8326cbfffffffff,3.0,0.0,0.0
8326cdfffffffff,2.0,0.0,0.0
8326d2fffffffff,4.0,0.0,0.0
8326e2fffffffff,2.0,2.0,0.0
8326e5fffffffff,22.0,10.0,0.0
8326e6fffffffff,2.0,0.0,0.0
8326e9fffffffff,3.0,0.0,0.0
8326ecfffffffff,3.0,0.0,0.0
8326edfffffffff,12.0,0.0,0.0
832702fffffffff,6.0,0.0,0.0
832709fffffffff,2.0,0.0,0.0
83270bfffffffff,2.0,0.0,0.0
83270efffffffff,3.0,0.0,0.0
832711fffffffff,3.0,0.0,0.0
832713fffffffff,3.0,0.0,0.0
832719fffffffff,6.0,0.0,0.0
832744fffffffff,3.0,0.0,0.0
832748fffffffff,7.0,0.0,0.0
832749fffffffff,11.0,0.0,0.0
83274afffffffff,1.0,0.0,0.0
83274dfffffffff,65.0,0.0,0.0
83274efffffffff,4.0,0.0,0.0
832752fffffffff,11.0,0.0,0.0
832754fffffffff,1.0,0.0,0.0
832756fffffffff,5.0,2.0,0.0
832758fffffffff,168.0,4.0,0.0
832759fffffffff,25.0,2.0,0.0
83275dfffffffff,20.0,0.0,0.0
83275efffffffff,3.0,2.0,0.0
832763fffffffff,2.0,0.0,0.0
83276dfffffffff,13.0,0.0,0.0
832771fffffffff,2.0,2.0,0.0
832785fffffffff,17.0,8.0,0.0
832786fffffffff,11.0,0.0,0.0
832788fffffffff,2.0,0.0,0.0
83278dfffffffff,7.0,0.0,0.0
8327a0fffffffff,3.0,0.0,0.0
8327a2fffffffff,1.0,0.0,0.0
8327a3fffffffff,1.0,0.0,0.0
8327a6fffffffff,4.0,0.0,0.0
8327aafffffffff,4.0,0.0,0.0
8327abfffffffff,2.0,0.0,0.0
8327aefffffffff,4.0,2.0,0.0
8327b0fffffffff,1.0,0.0,0.0
8327b2fffffffff,8.0,0.0,0.0
8327b6fffffffff,2.0,0.0,0.0
832802fffffffff,33.0,0.0,0.0
832830fffffffff,230.0,3.0,0.0
