cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
8415901ffffffff,3.0,0.0,0.0
8415903ffffffff,3.0,0.0,0.0
8415909ffffffff,2.0,0.0,0.0
8415913ffffffff,3.0,0.0,0.0
8415915ffffffff,1.0,0.0,0.0
8415917ffffffff,2.0,0.0,0.0
8415921ffffffff,1.0,0.0,0.0
8415925ffffffff,1.0,0.0,0.0
8415927ffffffff,11.0,0.0,0.0
8415929ffffffff,24.0,0.0,0.0
841592bffffffff,13.0,0.0,0.0
8415939ffffffff,2.0,0.0,0.0
8415b07ffffffff,21.0,0.0,0.0
8415b31ffffffff,2.0,0.0,0.0
8415b33ffffffff,5.0,0.0,0.0
8415b39ffffffff,2.0,0.0,0.0
8415b65ffffffff,2.0,0.0,0.0
8418443ffffffff,12.0,0.0,0.0
8418447ffffffff,13.0,0.0,0.0
8418451ffffffff,4.0,0.0,0.0
8418453ffffffff,1.0,0.0,0.0
841845dffffffff,3.0,0.0,0.0
8418461ffffffff,6.0,2.0,0.0
841849dffffffff,1.0,0.0,0.0
84184bdffffffff,9.0,0.0,0.0
84184c3ffffffff,1.0,0.0,0.0
84184d5ffffffff,2.0,0.0,0.0
84184ddffffffff,5.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0
84185bbffffffff,5.0,0.0,0.0
8418605ffffffff,1.0,0.0,0.0
841860dffffffff,5.0,2.0,0.0
8418625ffffffff,2.0,0.0,0.0
841863dffffffff,3.0,0.0,0.0
8418655ffffffff,7.0,7.0,0.0
841865dffffffff,2.0,2.0,0.0
84186a1ffffffff,7.0,0.0,0.0
84186a3ffffffff,1.0,0.0,0.0
84186a5ffffffff,7.0,0.0,0.0
84186a7ffffffff,23.0,0.0,0.0
84186c3ffffffff,1.0,0.0,0.0
8418717ffffffff,3.0,0.0,0.0
841948bffffffff,5.0,0.0,0.0
84194b9ffffffff,21.0,4.0,0.0
84194bbffffffff,5.0,0.0,0.0
84194d9ffffffff,3.0,0.0,0.0
8419683ffffffff,2.0,0.0,0.0
8419689ffffffff,1.0,0.0,0.0
8419697ffffffff,5.0,0.0,0.0
84196b1ffffffff,5.0,0.0,0.0
84196b3ffffffff,3.0,0.0,0.0
84196d5ffffffff,3.0,0.0,0.0
84196ddffffffff,5.0,0.0,0.0
841e025ffffffff,25.0,7.0,0.0
841e02dffffffff,77.0,17.0,0.0
841e0a9ffffffff,9.0,0.0,0.0
841e0adffffffff,4.0,0.0,0.0
841e0e3ffffffff,3.0,0.0,0.0
841e0e7ffffffff,14.0,0.0,0.0
841e0e9ffffffff,2.0,0.0,0.0
841e125ffffffff,26.0,0.0,0.0
841e153ffffffff,1.0,0.0,0.0
841e1cbffffffff,2.0,0.0,0.0
841e1d7ffffffff,2.0,0.0,0.0
841e1ddffffffff,23.0,0.0,0.0
841e495ffffffff,2.0,0.0,0.0
841e497ffffffff,2.0,0.0,0.0
841e4b1ffffffff,7.0,0.0,0.0
841e4b3ffffffff,3.0,0.0,0.0
841e4bbffffffff,5.0,0.0,0.0
841e58dffffffff,3.0,0.0,0.0
841e593ffffffff,2.0,0.0,0.0
841e5a5ffffffff,16.0,0.0,0.0
841e5adffffffff,1.0,0.0,0.0
841e5d3ffffffff,4.0,0.0,0.0
841e5d9ffffffff,21.0,0.0,0.0
841e5dbffffffff,11.0,0.0,0.0
841e5ddffffffff,5.0,0.0,0.0
841e813ffffffff,4.0,0.0,0.0
841e831ffffffff,4.0,2.0,0.0
841e833ffffffff,3.0,0.0,0.0
841e83dffffffff,6.0,0.0,0.0
841e863ffffffff,21.0,0.0,0.0
841e869ffffffff,4.0,0.0,0.0
841e881ffffffff,2.0,0.0,0.0
841e8b1ffffffff,4.0,0.0,0.0
841e8b9ffffffff,2.0,0.0,0.0
841e8bbffffffff,1.0,0.0,0.0
