cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
820127fffffffff,34.0,5.0,0.0,0.0
820137fffffffff,259.0,96.0,0.0,0.0
820157fffffffff,9.0,3.0,0.0,0.0
82015ffffffffff,13.0,13.0,0.0,0.0
8202cffffffffff,2.0,0.0,0.0,0.0
82041ffffffffff,35.0,0.0,0.0,0.0
8204cffffffffff,5.0,0.0,0.0,0.0
8204effffffffff,4.0,0.0,0.0,0.0
82058ffffffffff,20.0,20.0,0.0,0.0
820747fffffffff,945.0,540.0,0.0,0.0
82074ffffffffff,4.0,4.0,0.0,0.0
820757fffffffff,98.0,67.0,0.0,0.0
82075ffffffffff,903.0,360.0,0.0,0.0
820767fffffffff,187.0,113.0,0.0,0.0
820777fffffffff,651.0,529.0,0.0,0.0
820807fffffffff,78.0,6.0,0.0,0.0
820817fffffffff,188.0,55.0,0.0,0.0
82081ffffffffff,15.0,7.0,0.0,0.0
82082ffffffffff,3.0,0.0,0.0,0.0
820837fffffffff,8.0,1.0,0.0,0.0
820887fffffffff,517.0,334.0,0.0,0.0
82088ffffffffff,205.0,113.0,0.0,0.0
820897fffffffff,80.0,48.0,0.0,0.0
82089ffffffffff,1253.0,457.0,0.0,0.0
8208a7fffffffff,67.0,31.0,0.0,0.0
8208affffffffff,5.0,3.0,0.0,0.0
8208b7fffffffff,245.0,96.0,0.0,0.0
8208c7fffffffff,50.0,12.0,0.0,0.0
8208cffffffffff,165.0,54.0,0.0,0.0
8208d7fffffffff,213.0,70.0,0.0,0.0
8208dffffffffff,154.0,83.0,0.0,0.0
8208e7fffffffff,12.0,9.0,0.0,0.0
8208effffffffff,57.0,7.0,0.0,0.0
8208f7fffffffff,34.0,4.0,0.0,0.0
820937fffffffff,5.0,1.0,0.0,0.0
82094ffffffffff,7.0,3.0,0.0,0.0
82095ffffffffff,24.0,2.0,0.0,0.0
820987fffffffff,127.0,10.0,0.0,0.0
82098ffffffffff,52.0,24.0,0.0,0.0
820997fffffffff,276.0,42.0,0.0,0.0
82099ffffffffff,151.0,76.0,0.0,0.0
8209a7fffffffff,169.0,141.0,0.0,0.0
820a37fffffffff,3.0,0.0,0.0,0.0
820a97fffffffff,2.0,2.0,0.0,0.0
820bb7fffffffff,5.0,2.0,0.0,0.0
820c07fffffffff,34.0,0.0,0.0,0.0
820c0ffffffffff,12.0,0.0,0.0,0.0
820c17fffffffff,3546.0,0.0,1019.0,0.0
