cell_id,Anas georgica,Anas georgica georgica,Anas georgica spinicauda/niceforoi
841f83dffffffff,4.0,0.0,0.0
8466c27ffffffff,3.0,0.0,0.0
8466d05ffffffff,4.0,0.0,0.0
8466d0dffffffff,5.0,0.0,1.0
8466d1dffffffff,18.0,0.0,2.0
8466d33ffffffff,39.0,0.0,5.0
8466de5ffffffff,5.0,0.0,5.0
8466f11ffffffff,6.0,0.0,0.0
848b2cdffffffff,1.0,0.0,0.0
848b61bffffffff,1.0,0.0,1.0
848e607ffffffff,2.0,0.0,0.0
848e621ffffffff,7.0,0.0,0.0
848e623ffffffff,2.0,0.0,0.0
848e62dffffffff,2.0,0.0,0.0
848e663ffffffff,2.0,0.0,0.0
848e6e5ffffffff,2.0,0.0,0.0
848e759ffffffff,9.0,0.0,0.0
848e75bffffffff,1.0,0.0,0.0
848f095ffffffff,6.0,0.0,0.0
848f0bbffffffff,8.0,0.0,3.0
848f0ddffffffff,2.0,0.0,0.0
848f2a7ffffffff,1.0,0.0,0.0
848f2bbffffffff,11.0,0.0,0.0
848f2cdffffffff,2.0,0.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f501ffffffff,6.0,0.0,0.0
848f505ffffffff,14.0,0.0,2.0
848f513ffffffff,1.0,0.0,1.0
848f597ffffffff,5.0,0.0,0.0
848f769ffffffff,3.0,0.0,1.0
84a8101ffffffff,2.0,0.0,0.0
84a9401ffffffff,3.0,0.0,0.0
84a9497ffffffff,1.0,0.0,0.0
84a962dffffffff,2.0,0.0,0.0
84a964bffffffff,2.0,0.0,0.0
84a96a5ffffffff,3.0,0.0,0.0
84a96adffffffff,4.0,0.0,0.0
84b2437ffffffff,1.0,0.0,1.0
84b248bffffffff,2.0,0.0,0.0
84b2491ffffffff,4.0,0.0,0.0
84b2499ffffffff,3.0,0.0,0.0
84b249dffffffff,7.0,0.0,0.0
84b24abffffffff,1.0,0.0,0.0
84b24b3ffffffff,3.0,0.0,0.0
84b24b9ffffffff,3.0,0.0,0.0
84b24c1ffffffff,2.0,0.0,0.0
84b24d1ffffffff,28.0,0.0,0.0
84b24d3ffffffff,19.0,0.0,0.0
84b24d7ffffffff,16.0,0.0,0.0
84b24dbffffffff,16.0,0.0,0.0
84b2527ffffffff,1.0,0.0,0.0
84b2583ffffffff,4.0,0.0,4.0
84b2595ffffffff,7.0,0.0,7.0
84b259bffffffff,1.0,0.0,1.0
84b259dffffffff,5.0,0.0,5.0
84b25b9ffffffff,9.0,0.0,9.0
84b25d7ffffffff,5.0,0.0,5.0
84b261bffffffff,2.0,0.0,0.0
84b268bffffffff,1.0,0.0,0.0
