cell_id,Anisognathus igniventris,Anisognathus igniventris [lunulatus Group],Anisognathus igniventris igniventris
82660ffffffffff,3.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
8266c7fffffffff,39.0,0.0,0.0
8266d7fffffffff,67.0,5.0,0.0
8266dffffffffff,13.0,12.0,0.0
8266e7fffffffff,79.0,0.0,2.0
8266f7fffffffff,24.0,0.0,0.0
828b27fffffffff,1.0,0.0,1.0
828b2ffffffffff,5.0,0.0,5.0
828b67fffffffff,6.0,0.0,6.0
828b6ffffffffff,5.0,0.0,5.0
828e67fffffffff,5.0,0.0,4.0
828e6ffffffffff,4.0,0.0,4.0
828f57fffffffff,2.0,0.0,0.0
828f77fffffffff,10.0,6.0,0.0
82b327fffffffff,6.0,0.0,6.0
