cell_id,Anisognathus somptuosus,Anisognathus somptuosus [somptuosus Group],Anisognathus somptuosus flavinucha
82660ffffffffff,283.0,3.0,0.0
82661ffffffffff,4514.0,49.0,0.0
8266c7fffffffff,1305.0,9.0,0.0
8266d7fffffffff,7410.0,483.0,0.0
8266dffffffffff,1969.0,173.0,0.0
8266e7fffffffff,4779.0,102.0,0.0
8266f7fffffffff,4810.0,30.0,0.0
826747fffffffff,293.0,3.0,0.0
82674ffffffffff,92.0,0.0,0.0
82675ffffffffff,24.0,0.0,0.0
828b27fffffffff,173.0,0.0,36.0
828b2ffffffffff,128.0,0.0,16.0
828b67fffffffff,81.0,0.0,0.0
828b6ffffffffff,33.0,0.0,0.0
828b77fffffffff,45.0,0.0,0.0
828e67fffffffff,194.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
828f0ffffffffff,49.0,0.0,0.0
828f2ffffffffff,290.0,9.0,0.0
828f47fffffffff,207.0,4.0,0.0
828f4ffffffffff,55.0,0.0,0.0
828f57fffffffff,59.0,0.0,0.0
828f5ffffffffff,59.0,0.0,0.0
828f77fffffffff,744.0,15.0,0.0
82b327fffffffff,74.0,0.0,9.0
