cell_id,Anous minutus,Anous minutus americanus,Anous minutus melanogenys,Anous minutus [minutus Group]
82460ffffffffff,45.0,0.0,0.0,0.0
824637fffffffff,85.0,0.0,0.0,0.0
824647fffffffff,26.0,0.0,0.0,0.0
82464ffffffffff,739.0,0.0,213.0,0.0
824657fffffffff,13.0,0.0,0.0,0.0
82465ffffffffff,4.0,0.0,0.0,0.0
8247a7fffffffff,147.0,0.0,0.0,0.0
8247affffffffff,3.0,0.0,0.0,0.0
824e47fffffffff,3.0,0.0,0.0,0.0
824e57fffffffff,2.0,0.0,0.0,0.0
824e5ffffffffff,1.0,0.0,0.0,0.0
824e77fffffffff,1.0,0.0,0.0,0.0
824f4ffffffffff,189.0,0.0,0.0,0.0
824f5ffffffffff,1.0,0.0,0.0,0.0
825aeffffffffff,1.0,0.0,0.0,0.0
825d17fffffffff,2083.0,0.0,792.0,0.0
826747fffffffff,3.0,0.0,0.0,0.0
826757fffffffff,9.0,0.0,0.0,0.0
82680ffffffffff,2.0,0.0,0.0,0.0
827067fffffffff,25.0,0.0,0.0,0.0
82706ffffffffff,2.0,0.0,0.0,0.0
827237fffffffff,1.0,0.0,0.0,0.0
82724ffffffffff,1.0,0.0,0.0,0.0
8272a7fffffffff,3.0,0.0,0.0,0.0
8272cffffffffff,6.0,0.0,0.0,0.0
82731ffffffffff,1913.0,0.0,0.0,0.0
82738ffffffffff,2.0,0.0,0.0,0.0
82739ffffffffff,19.0,0.0,0.0,0.0
8273affffffffff,8.0,0.0,0.0,0.0
827687fffffffff,2.0,0.0,0.0,0.0
82769ffffffffff,15.0,0.0,0.0,0.0
8276b7fffffffff,9.0,0.0,0.0,0.0
82770ffffffffff,1.0,0.0,0.0,0.0
827737fffffffff,7.0,0.0,0.0,0.0
827757fffffffff,1.0,0.0,0.0,0.0
82775ffffffffff,2.0,0.0,0.0,0.0
827777fffffffff,1.0,0.0,0.0,0.0
827797fffffffff,2.0,0.0,0.0,0.0
82779ffffffffff,4.0,0.0,0.0,0.0
82789ffffffffff,3.0,0.0,0.0,0.0
827db7fffffffff,2.0,0.0,0.0,0.0
8280b7fffffffff,54.0,0.0,0.0,0.0
8282c7fffffffff,2.0,0.0,0.0,0.0
82881ffffffffff,3.0,0.0,0.0,0.0
828927fffffffff,13.0,0.0,0.0,0.0
828937fffffffff,38.0,0.0,0.0,0.0
829417fffffffff,133.0,0.0,0.0,0.0
8294affffffffff,4.0,0.0,0.0,0.0
82980ffffffffff,9.0,0.0,0.0,0.0
82981ffffffffff,2.0,0.0,0.0,0.0
8298e7fffffffff,2.0,0.0,0.0,0.0
8299a7fffffffff,6.0,0.0,0.0,0.0
829a17fffffffff,6.0,0.0,0.0,0.0
829af7fffffffff,1.0,0.0,0.0,0.0
829b0ffffffffff,2.0,0.0,0.0,0.0
829b1ffffffffff,4.0,0.0,0.0,0.0
829b47fffffffff,6.0,0.0,0.0,0.0
829b4ffffffffff,2.0,0.0,0.0,0.0
829b5ffffffffff,6.0,0.0,0.0,0.0
829b6ffffffffff,19.0,0.0,0.0,0.0
829b77fffffffff,3.0,0.0,0.0,0.0
829b8ffffffffff,3.0,0.0,0.0,0.0
829c07fffffffff,18.0,0.0,0.0,0.0
829c1ffffffffff,17.0,0.0,0.0,0.0
829c27fffffffff,174.0,0.0,0.0,0.0
829c87fffffffff,3.0,0.0,0.0,0.0
829c97fffffffff,50.0,0.0,0.0,0.0
829c9ffffffffff,1.0,0.0,0.0,0.0
829ca7fffffffff,2.0,0.0,0.0,0.0
829caffffffffff,2.0,0.0,0.0,0.0
829cb7fffffffff,1.0,0.0,0.0,0.0
829cf7fffffffff,4.0,0.0,0.0,0.0
829d07fffffffff,4.0,0.0,0.0,0.0
829d0ffffffffff,1.0,0.0,0.0,0.0
829d27fffffffff,297.0,0.0,0.0,0.0
829d97fffffffff,1.0,0.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0,0.0
829e0ffffffffff,1.0,0.0,0.0,0.0
829e8ffffffffff,1.0,0.0,0.0,0.0
829ed7fffffffff,1.0,0.0,0.0,0.0
829ee7fffffffff,2.0,0.0,0.0,0.0
829f57fffffffff,29.0,0.0,0.0,0.0
82a027fffffffff,4.0,0.0,0.0,0.0
82a04ffffffffff,53.0,0.0,0.0,0.0
82a057fffffffff,1.0,0.0,0.0,0.0
82a05ffffffffff,1.0,0.0,0.0,0.0
82a0dffffffffff,14.0,0.0,0.0,0.0
82a117fffffffff,8.0,0.0,0.0,0.0
82a11ffffffffff,2.0,0.0,0.0,0.0
82a167fffffffff,5.0,0.0,0.0,0.0
82a16ffffffffff,4.0,0.0,0.0,0.0
82a1a7fffffffff,3.0,0.0,0.0,0.0
82b14ffffffffff,6.0,0.0,0.0,0.0
82b4b7fffffffff,2.0,0.0,0.0,0.0
82b4cffffffffff,5.0,0.0,0.0,0.0
82b4effffffffff,2.0,0.0,0.0,0.0
82ba1ffffffffff,42.0,0.0,0.0,0.0
82ba67fffffffff,1.0,0.0,0.0,0.0
82ba6ffffffffff,357.0,0.0,0.0,0.0
82baf7fffffffff,40.0,0.0,0.0,0.0
82be1ffffffffff,3.0,0.0,0.0,0.0
82be8ffffffffff,19.0,0.0,0.0,0.0
82beaffffffffff,51.0,0.0,0.0,0.0
82bf8ffffffffff,122.0,0.0,0.0,0.0
