cell_id,Anthus bogotensis,Anthus bogotensis meridae,Anthus bogotensis [bogotensis Group]
8466089ffffffff,1.0,0.0,0.0
846608bffffffff,2.0,0.0,0.0
846609dffffffff,2.0,0.0,0.0
84660b1ffffffff,4.0,0.0,0.0
84660b9ffffffff,11.0,0.0,0.0
84660bbffffffff,8.0,0.0,0.0
84660c3ffffffff,8.0,0.0,0.0
84660d5ffffffff,8.0,0.0,0.0
8466291ffffffff,2.0,0.0,0.0
8466299ffffffff,42.0,0.0,0.0
84662b1ffffffff,1.0,0.0,0.0
84662d3ffffffff,2.0,0.0,0.0
8466d11ffffffff,2.0,0.0,0.0
8466d15ffffffff,9.0,0.0,0.0
8466d1dffffffff,4.0,0.0,0.0
8466d31ffffffff,81.0,0.0,0.0
8466d33ffffffff,197.0,0.0,0.0
8466d39ffffffff,2.0,0.0,0.0
8466d3bffffffff,13.0,0.0,0.0
8466de5ffffffff,866.0,0.0,33.0
8466dedffffffff,12.0,0.0,0.0
8466e01ffffffff,2.0,0.0,0.0
8466e09ffffffff,134.0,0.0,1.0
8466e41ffffffff,1.0,0.0,0.0
8466e43ffffffff,4.0,0.0,0.0
8466e55ffffffff,14.0,0.0,0.0
8466e6dffffffff,9.0,0.0,0.0
848b29bffffffff,1.0,0.0,0.0
848b2c1ffffffff,3.0,0.0,0.0
848b2cdffffffff,2.0,0.0,0.0
848b603ffffffff,3.0,0.0,0.0
848b611ffffffff,30.0,0.0,0.0
848b613ffffffff,1.0,0.0,0.0
848b617ffffffff,10.0,0.0,0.0
848b651ffffffff,1.0,0.0,0.0
848b65dffffffff,1.0,0.0,0.0
848b6c9ffffffff,8.0,0.0,0.0
848b6cdffffffff,186.0,0.0,4.0
848e60bffffffff,1.0,0.0,0.0
848e60dffffffff,1.0,0.0,0.0
848e645ffffffff,1.0,0.0,0.0
848e647ffffffff,1.0,0.0,0.0
848e649ffffffff,3.0,0.0,0.0
848e655ffffffff,15.0,0.0,0.0
848e663ffffffff,5.0,0.0,0.0
848e66bffffffff,19.0,0.0,0.0
848e6c1ffffffff,3.0,0.0,0.0
848e6c5ffffffff,1.0,0.0,0.0
848e6cdffffffff,3.0,0.0,0.0
848e6d1ffffffff,5.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,0.0
848e6ddffffffff,5.0,0.0,0.0
848f291ffffffff,6.0,0.0,0.0
848f297ffffffff,8.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0
848f2d7ffffffff,2.0,0.0,0.0
848f2d9ffffffff,17.0,0.0,1.0
848f2dbffffffff,2.0,0.0,0.0
848f2ddffffffff,2.0,0.0,0.0
848f425ffffffff,13.0,0.0,0.0
848f42dffffffff,1.0,0.0,0.0
848f4a5ffffffff,44.0,0.0,0.0
848f511ffffffff,2.0,0.0,0.0
848f519ffffffff,72.0,0.0,0.0
848f51dffffffff,5.0,0.0,0.0
848f54dffffffff,9.0,0.0,0.0
848f553ffffffff,28.0,0.0,0.0
848f557ffffffff,2.0,0.0,0.0
848f559ffffffff,2.0,0.0,0.0
848f55bffffffff,1.0,0.0,0.0
848f55dffffffff,2.0,0.0,0.0
848f581ffffffff,1.0,0.0,0.0
848f58bffffffff,1.0,0.0,0.0
848f58dffffffff,3.0,0.0,0.0
848f599ffffffff,4.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0
848f5b9ffffffff,3.0,0.0,0.0
848f5c3ffffffff,2.0,0.0,0.0
848f5cdffffffff,3.0,0.0,0.0
848f5ddffffffff,2.0,0.0,0.0
848f5e9ffffffff,1.0,0.0,0.0
848f725ffffffff,4.0,0.0,0.0
848f727ffffffff,3.0,0.0,0.0
848f761ffffffff,3.0,0.0,0.0
848f765ffffffff,82.0,0.0,0.0
848f767ffffffff,8.0,0.0,0.0
848f769ffffffff,12.0,0.0,0.0
848f76dffffffff,67.0,0.0,6.0
84b3203ffffffff,2.0,0.0,0.0
84b3209ffffffff,1.0,0.0,0.0
84b3219ffffffff,3.0,0.0,0.0
84b3241ffffffff,2.0,0.0,0.0
84b3257ffffffff,5.0,0.0,0.0
