cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
8401225ffffffff,2.0,0.0,0.0
840123dffffffff,1.0,0.0,0.0
840130bffffffff,158.0,0.0,23.0
8401319ffffffff,10.0,0.0,0.0
840131dffffffff,9.0,0.0,2.0
8401351ffffffff,29.0,0.0,6.0
8401353ffffffff,4.0,0.0,0.0
8401355ffffffff,24.0,0.0,0.0
8401357ffffffff,1.0,0.0,0.0
8401359ffffffff,2.0,0.0,2.0
840135bffffffff,1.0,0.0,0.0
8408057ffffffff,4.0,0.0,0.0
8408065ffffffff,7.0,0.0,0.0
840806dffffffff,1.0,0.0,0.0
8408107ffffffff,2.0,0.0,0.0
8408151ffffffff,3.0,0.0,0.0
840815bffffffff,13.0,0.0,0.0
8408281ffffffff,1.0,0.0,0.0
840829bffffffff,1.0,0.0,0.0
84082abffffffff,1.0,0.0,0.0
84082bdffffffff,1.0,0.0,0.0
84082dbffffffff,1.0,0.0,0.0
8408305ffffffff,5.0,0.0,0.0
8408317ffffffff,1.0,0.0,1.0
8408333ffffffff,3.0,0.0,0.0
8408339ffffffff,3.0,0.0,0.0
840833bffffffff,1.0,0.0,0.0
840833dffffffff,1.0,0.0,0.0
8408361ffffffff,6.0,0.0,0.0
8408365ffffffff,7.0,0.0,0.0
840836dffffffff,45.0,0.0,0.0
8408803ffffffff,3.0,0.0,0.0
840880bffffffff,9.0,0.0,0.0
8408837ffffffff,4.0,0.0,0.0
8408839ffffffff,2.0,0.0,0.0
840883dffffffff,2.0,0.0,0.0
8408863ffffffff,1.0,0.0,0.0
8408867ffffffff,3.0,0.0,0.0
840886bffffffff,1.0,0.0,0.0
8408889ffffffff,27.0,0.0,2.0
840888dffffffff,7.0,0.0,0.0
84088e1ffffffff,2.0,0.0,0.0
8408901ffffffff,2.0,0.0,0.0
840890dffffffff,4.0,0.0,0.0
8408937ffffffff,2.0,0.0,0.0
8408949ffffffff,2.0,0.0,0.0
8408959ffffffff,3.0,0.0,0.0
8408965ffffffff,3.0,0.0,0.0
840898bffffffff,6.0,0.0,0.0
84089a5ffffffff,1.0,0.0,0.0
84089b1ffffffff,2.0,0.0,0.0
84089c3ffffffff,2.0,0.0,0.0
84089cbffffffff,14.0,0.0,0.0
84089e5ffffffff,1.0,0.0,0.0
84089ebffffffff,2.0,0.0,0.0
8408a35ffffffff,1.0,0.0,0.0
8408b11ffffffff,4.0,0.0,0.0
8408b3dffffffff,2.0,0.0,0.0
8408b4dffffffff,2.0,0.0,0.0
8408d5dffffffff,7.0,0.0,0.0
8408edbffffffff,3.0,0.0,0.0
8408f29ffffffff,2.0,0.0,0.0
84094b5ffffffff,2.0,0.0,0.0
8409585ffffffff,3.0,0.0,0.0
8409587ffffffff,2.0,0.0,0.0
8409599ffffffff,6.0,0.0,0.0
84095a9ffffffff,3.0,0.0,0.0
84095abffffffff,2.0,0.0,0.0
84095adffffffff,1.0,0.0,0.0
8409805ffffffff,45.0,0.0,0.0
8409811ffffffff,2.0,0.0,0.0
8409819ffffffff,8.0,0.0,0.0
8409821ffffffff,15.0,0.0,0.0
8409825ffffffff,8.0,0.0,0.0
8409829ffffffff,15.0,0.0,2.0
840982bffffffff,46.0,0.0,4.0
840982dffffffff,27.0,0.0,0.0
84098adffffffff,3.0,0.0,0.0
84098d1ffffffff,2.0,0.0,0.0
8409911ffffffff,57.0,0.0,2.0
8409917ffffffff,25.0,0.0,0.0
840991bffffffff,273.0,0.0,0.0
8409927ffffffff,1.0,0.0,0.0
8409935ffffffff,4.0,0.0,0.0
8409937ffffffff,18.0,0.0,1.0
8409963ffffffff,1.0,0.0,0.0
8409981ffffffff,20.0,0.0,0.0
8409983ffffffff,2.0,0.0,0.0
8409987ffffffff,2.0,0.0,1.0
8409995ffffffff,2.0,0.0,0.0
84099a3ffffffff,2.0,0.0,0.0
84099a7ffffffff,5.0,0.0,0.0
84099b9ffffffff,6.0,0.0,4.0
84099bdffffffff,15.0,0.0,2.0
84099e3ffffffff,2.0,0.0,0.0
84099e9ffffffff,10.0,0.0,0.0
84099ebffffffff,3.0,0.0,0.0
8409a09ffffffff,85.0,0.0,0.0
8409a41ffffffff,24.0,2.0,0.0
8409a43ffffffff,8.0,2.0,0.0
8409a45ffffffff,35.0,2.0,0.0
8409a47ffffffff,40.0,4.0,0.0
8409a4dffffffff,35.0,4.0,0.0
8409a55ffffffff,35.0,6.0,0.0
8409a69ffffffff,99.0,12.0,2.0
8409a6bffffffff,65.0,14.0,0.0
8409ab1ffffffff,1.0,0.0,0.0
8411265ffffffff,2.0,0.0,0.0
841126dffffffff,6.0,0.0,0.0
8418011ffffffff,31.0,0.0,0.0
8418013ffffffff,16.0,0.0,0.0
8418019ffffffff,41.0,2.0,0.0
841801bffffffff,4.0,0.0,0.0
841801dffffffff,27.0,4.0,0.0
841804bffffffff,16.0,0.0,0.0
8418053ffffffff,201.0,70.0,0.0
8418057ffffffff,13.0,0.0,0.0
8418059ffffffff,60.0,5.0,0.0
841805bffffffff,64.0,3.0,0.0
841805dffffffff,5.0,0.0,0.0
84180c9ffffffff,7.0,0.0,0.0
84180cdffffffff,56.0,3.0,0.0
8418201ffffffff,2.0,0.0,0.0
8418203ffffffff,17.0,2.0,0.0
8418209ffffffff,1.0,0.0,0.0
8418223ffffffff,8.0,2.0,0.0
8418231ffffffff,2.0,0.0,0.0
8418233ffffffff,2.0,2.0,0.0
8418235ffffffff,97.0,9.0,0.0
8418237ffffffff,36.0,0.0,0.0
8418239ffffffff,6.0,0.0,0.0
841823bffffffff,2.0,0.0,0.0
841823dffffffff,24.0,24.0,0.0
8418243ffffffff,12.0,0.0,0.0
8418251ffffffff,5.0,0.0,0.0
8418255ffffffff,3.0,0.0,0.0
8418259ffffffff,71.0,5.0,0.0
841825dffffffff,4.0,0.0,0.0
8418281ffffffff,18.0,1.0,0.0
8418287ffffffff,3.0,0.0,0.0
841828bffffffff,91.0,11.0,0.0
8418299ffffffff,78.0,6.0,0.0
84182a3ffffffff,26.0,0.0,0.0
84182a7ffffffff,8.0,0.0,0.0
84182abffffffff,29.0,4.0,0.0
84182adffffffff,5.0,0.0,0.0
