cell_id,Apalis flavida,Apalis flavida flavocincta/viridiceps,Apalis flavida [flavida Group]
83541bfffffffff,4.0,0.0,0.0
8354a9fffffffff,148.0,0.0,4.0
8354e2fffffffff,1.0,0.0,0.0
8354e4fffffffff,6.0,0.0,0.0
8354e5fffffffff,14.0,0.0,5.0
8354f4fffffffff,14.0,0.0,6.0
835886fffffffff,2.0,0.0,0.0
835888fffffffff,1.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358cdfffffffff,1.0,0.0,0.0
8358defffffffff,4.0,0.0,0.0
8358e2fffffffff,7.0,0.0,0.0
8358f1fffffffff,1.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0
836a4bfffffffff,5.0,0.0,0.0
836a58fffffffff,33.0,33.0,0.0
836a5afffffffff,17.0,5.0,0.0
836ac0fffffffff,2.0,0.0,0.0
836ac1fffffffff,4.0,0.0,0.0
836ac3fffffffff,34.0,0.0,0.0
836ac8fffffffff,27.0,0.0,3.0
836ac9fffffffff,32.0,0.0,0.0
836accfffffffff,2.0,0.0,0.0
836acdfffffffff,1.0,0.0,0.0
836acefffffffff,173.0,0.0,0.0
836ad8fffffffff,96.0,0.0,0.0
836ad9fffffffff,2.0,0.0,0.0
836adbfffffffff,2.0,0.0,0.0
836adcfffffffff,33.0,0.0,0.0
836addfffffffff,35.0,0.0,0.0
836adefffffffff,5.0,0.0,0.0
836ae0fffffffff,4.0,0.0,0.0
836ae8fffffffff,6.0,0.0,0.0
836aeafffffffff,33.0,0.0,0.0
836aebfffffffff,6.0,0.0,0.0
836aeefffffffff,4.0,0.0,0.0
837520fffffffff,156.0,0.0,16.0
837a40fffffffff,127.0,0.0,0.0
837a41fffffffff,193.0,16.0,0.0
837a43fffffffff,1.0,0.0,0.0
837a44fffffffff,10.0,0.0,0.0
837a45fffffffff,137.0,0.0,0.0
837a48fffffffff,14.0,0.0,0.0
837a4afffffffff,1.0,0.0,0.0
837a4bfffffffff,17.0,0.0,0.0
837a4cfffffffff,81.0,12.0,0.0
837a4dfffffffff,54.0,0.0,0.0
837a53fffffffff,4.0,0.0,0.0
837a55fffffffff,2.0,0.0,0.0
837a5afffffffff,5.0,5.0,0.0
837a60fffffffff,73.0,24.0,0.0
837a61fffffffff,61.0,0.0,0.0
837a63fffffffff,18.0,0.0,0.0
837a64fffffffff,50.0,16.0,0.0
837a65fffffffff,226.0,9.0,0.0
837a68fffffffff,313.0,0.0,0.0
837a69fffffffff,2.0,0.0,0.0
837a6afffffffff,286.0,0.0,0.0
837a6bfffffffff,15.0,0.0,0.0
837a6cfffffffff,7.0,0.0,0.0
837a6dfffffffff,151.0,2.0,0.0
837a6efffffffff,768.0,0.0,0.0
837a71fffffffff,2.0,0.0,0.0
837a74fffffffff,1.0,0.0,0.0
