cell_id,Aphelocoma wollweberi,Aphelocoma wollweberi [wollweberi Group],Aphelocoma wollweberi couchii,Aphelocoma wollweberi potosina
8329b6fffffffff,5.0,0.0,0.0,0.0
834814fffffffff,1.0,0.0,0.0,0.0
8348a2fffffffff,1.0,0.0,1.0,0.0
8348abfffffffff,57.0,0.0,53.0,0.0
8348c1fffffffff,13.0,2.0,0.0,0.0
8348c5fffffffff,26.0,8.0,0.0,0.0
8348ccfffffffff,21.0,15.0,0.0,0.0
8348cdfffffffff,193.0,46.0,0.0,0.0
8348e3fffffffff,25.0,23.0,0.0,0.0
8348e8fffffffff,77.0,15.0,0.0,0.0
8348eafffffffff,28.0,7.0,0.0,0.0
8348ebfffffffff,6.0,0.0,0.0,0.0
8348ecfffffffff,18.0,11.0,0.0,0.0
8348eefffffffff,40.0,6.0,0.0,0.0
834982fffffffff,4.0,0.0,0.0,0.0
834989fffffffff,3.0,0.0,0.0,0.0
834991fffffffff,4.0,0.0,0.0,1.0
834998fffffffff,1.0,0.0,1.0,0.0
83499bfffffffff,2.0,0.0,0.0,0.0
83499cfffffffff,3.0,0.0,0.0,0.0
