cell_id,Apus affinis,Apus affinis [affinis Group],Apus affinis bannermani,Apus affinis singalensis
821947fffffffff,7.0,0.0,0.0,0.0
821957fffffffff,2.0,0.0,0.0,0.0
82195ffffffffff,2.0,0.0,0.0,0.0
821fa7fffffffff,2.0,0.0,0.0,0.0
822c17fffffffff,4.0,0.0,0.0,0.0
822c97fffffffff,7.0,0.0,0.0,0.0
822d17fffffffff,2.0,0.0,0.0,0.0
822da7fffffffff,31.0,0.0,0.0,0.0
822daffffffffff,11.0,0.0,0.0,0.0
822db7fffffffff,31.0,3.0,0.0,0.0
823847fffffffff,1.0,0.0,0.0,0.0
823867fffffffff,1.0,0.0,0.0,0.0
823907fffffffff,10.0,0.0,0.0,0.0
823917fffffffff,23.0,0.0,0.0,0.0
82391ffffffffff,33.0,1.0,0.0,0.0
823927fffffffff,2.0,0.0,0.0,0.0
8239affffffffff,4.0,0.0,0.0,0.0
823c0ffffffffff,3.0,0.0,0.0,0.0
823c1ffffffffff,24.0,0.0,0.0,0.0
823c8ffffffffff,15.0,0.0,0.0,0.0
823c97fffffffff,11.0,0.0,0.0,0.0
823c9ffffffffff,3.0,0.0,0.0,0.0
823caffffffffff,7.0,0.0,0.0,0.0
823cb7fffffffff,5.0,0.0,0.0,0.0
823cf7fffffffff,61.0,0.0,0.0,6.0
823d17fffffffff,4.0,0.0,0.0,0.0
823d37fffffffff,9.0,0.0,0.0,0.0
823d87fffffffff,3.0,0.0,0.0,0.0
823da7fffffffff,11.0,5.0,0.0,3.0
823daffffffffff,5.0,0.0,0.0,0.0
823db7fffffffff,5.0,5.0,0.0,0.0
823e47fffffffff,3.0,0.0,0.0,0.0
823e5ffffffffff,1.0,0.0,0.0,0.0
823e6ffffffffff,3.0,1.0,0.0,0.0
823f4ffffffffff,1.0,0.0,0.0,0.0
82425ffffffffff,11.0,0.0,0.0,0.0
8242c7fffffffff,2.0,2.0,0.0,0.0
82431ffffffffff,2.0,0.0,0.0,0.0
824337fffffffff,3.0,0.0,0.0,0.0
8243a7fffffffff,3.0,0.0,0.0,0.0
8243affffffffff,2.0,0.0,0.0,0.0
82534ffffffffff,1.0,0.0,0.0,0.0
82536ffffffffff,2.0,0.0,0.0,0.0
8254affffffffff,2.0,2.0,0.0,0.0
8254f7fffffffff,2.0,0.0,0.0,0.0
825e77fffffffff,1.0,0.0,0.0,0.0
826007fffffffff,82.0,2.0,0.0,6.0
826017fffffffff,61.0,15.0,0.0,0.0
826027fffffffff,27.0,0.0,0.0,0.0
826037fffffffff,87.0,0.0,0.0,5.0
82608ffffffffff,63.0,0.0,0.0,0.0
826097fffffffff,11.0,3.0,0.0,0.0
82609ffffffffff,18.0,0.0,0.0,0.0
8260a7fffffffff,8.0,0.0,0.0,0.0
8260affffffffff,46.0,3.0,0.0,3.0
8260b7fffffffff,6.0,0.0,0.0,0.0
826147fffffffff,2.0,0.0,0.0,0.0
82618ffffffffff,35.0,0.0,0.0,0.0
827a47fffffffff,3.0,3.0,0.0,0.0
827a5ffffffffff,2.0,2.0,0.0,0.0
827a6ffffffffff,20.0,20.0,0.0,0.0
827b4ffffffffff,66.0,6.0,0.0,0.0
827b5ffffffffff,3.0,0.0,0.0,0.0
829717fffffffff,1.0,1.0,0.0,0.0
82972ffffffffff,2.0,0.0,0.0,0.0
82a237fffffffff,41.0,0.0,0.0,0.0
82ac87fffffffff,2.0,2.0,0.0,0.0
82adb7fffffffff,4.0,0.0,0.0,0.0
82bcc7fffffffff,4.0,0.0,0.0,0.0
82bcd7fffffffff,36.0,8.0,0.0,0.0
82bcdffffffffff,8.0,0.0,0.0,0.0
82bceffffffffff,2.0,0.0,0.0,0.0
