cell_id,Apus barbatus,Apus barbatus sladeniae,Apus barbatus [barbatus Group]
8358d3fffffffff,6.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0
8358defffffffff,3.0,0.0,0.0
836a5afffffffff,4.0,0.0,0.0
836ac0fffffffff,1.0,0.0,0.0
836ac1fffffffff,16.0,0.0,2.0
836ac3fffffffff,8.0,0.0,3.0
836acefffffffff,19.0,0.0,18.0
836ad8fffffffff,7.0,0.0,0.0
836adcfffffffff,62.0,0.0,9.0
836addfffffffff,5.0,0.0,0.0
836adefffffffff,2.0,0.0,0.0
836ae8fffffffff,3.0,0.0,0.0
836aeafffffffff,16.0,0.0,5.0
836aeefffffffff,3.0,0.0,0.0
837a40fffffffff,14.0,0.0,0.0
837a41fffffffff,3.0,0.0,0.0
837a45fffffffff,71.0,0.0,0.0
837a48fffffffff,9.0,0.0,0.0
837a49fffffffff,2.0,0.0,0.0
837a4bfffffffff,2.0,0.0,0.0
837a4cfffffffff,17.0,0.0,0.0
837a4efffffffff,2.0,0.0,0.0
837a60fffffffff,32.0,0.0,0.0
837a64fffffffff,3.0,0.0,0.0
837a65fffffffff,25.0,0.0,1.0
837a68fffffffff,39.0,0.0,2.0
837a6afffffffff,117.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0
837a6dfffffffff,31.0,0.0,4.0
837a6efffffffff,36.0,0.0,0.0
837b48fffffffff,5.0,0.0,0.0
837b4bfffffffff,24.0,0.0,0.0
8382a8fffffffff,3.0,0.0,0.0
8382d0fffffffff,2.0,2.0,0.0
839620fffffffff,3.0,0.0,0.0
839626fffffffff,2.0,0.0,2.0
83962dfffffffff,2.0,0.0,0.0
839636fffffffff,5.0,0.0,0.0
83968dfffffffff,2.0,0.0,0.0
839690fffffffff,22.0,0.0,0.0
839692fffffffff,99.0,0.0,22.0
839693fffffffff,85.0,0.0,18.0
83969afffffffff,5.0,0.0,0.0
8396a3fffffffff,2.0,0.0,0.0
8396b0fffffffff,1.0,0.0,0.0
8396b1fffffffff,8.0,0.0,2.0
8396b4fffffffff,1.0,0.0,1.0
8396b6fffffffff,3.0,0.0,1.0
839702fffffffff,25.0,0.0,8.0
839703fffffffff,27.0,0.0,1.0
839719fffffffff,3.0,0.0,0.0
83971cfffffffff,12.0,0.0,3.0
839728fffffffff,9.0,0.0,0.0
839729fffffffff,7.0,0.0,0.0
83972cfffffffff,14.0,0.0,1.0
83972dfffffffff,37.0,0.0,5.0
83972efffffffff,37.0,0.0,10.0
839741fffffffff,3.0,0.0,0.0
83974afffffffff,2.0,0.0,0.0
83974efffffffff,2.0,0.0,0.0
839750fffffffff,4.0,0.0,0.0
839751fffffffff,159.0,0.0,46.0
839755fffffffff,1.0,0.0,0.0
83975cfffffffff,2.0,0.0,0.0
8397a3fffffffff,2.0,0.0,0.0
8397a8fffffffff,6.0,0.0,0.0
8397abfffffffff,2.0,0.0,0.0
8397acfffffffff,1.0,0.0,0.0
83ad32fffffffff,149.0,0.0,56.0
83ad36fffffffff,535.0,0.0,195.0
83ada2fffffffff,2.0,0.0,2.0
83adb4fffffffff,3.0,0.0,0.0
83bc09fffffffff,3.0,0.0,0.0
83bc0bfffffffff,2.0,0.0,1.0
