cell_id,Arremon brunneinucha,Arremon brunneinucha apertus,Arremon brunneinucha [brunneinucha Group]
834990fffffffff,2.0,0.0,0.0
834991fffffffff,7.0,0.0,7.0
834996fffffffff,4.0,0.0,2.0
836613fffffffff,2.0,0.0,0.0
83661bfffffffff,1.0,0.0,1.0
8366b4fffffffff,15.0,0.0,7.0
8366c4fffffffff,42.0,0.0,0.0
8366d3fffffffff,18.0,0.0,1.0
8366defffffffff,1.0,0.0,1.0
8366e0fffffffff,1.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
83674efffffffff,3.0,0.0,1.0
836751fffffffff,1.0,0.0,0.0
83675cfffffffff,3.0,0.0,0.0
83675efffffffff,3.0,0.0,0.0
836d05fffffffff,3.0,0.0,3.0
836d23fffffffff,6.0,0.0,4.0
836d2afffffffff,1.0,0.0,0.0
836d30fffffffff,9.0,0.0,4.0
836d31fffffffff,6.0,0.0,0.0
836d32fffffffff,13.0,0.0,7.0
836d35fffffffff,5.0,5.0,0.0
836d36fffffffff,3.0,0.0,0.0
836d69fffffffff,26.0,0.0,21.0
836d6efffffffff,24.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0
838b6cfffffffff,3.0,0.0,3.0
838b6efffffffff,4.0,0.0,0.0
838f54fffffffff,4.0,0.0,0.0
838f72fffffffff,2.0,0.0,2.0
