cell_id,Arremon brunneinucha,Arremon brunneinucha apertus,Arremon brunneinucha [brunneinucha Group]
824527fffffffff,654.0,0.0,0.0
824537fffffffff,136.0,0.0,0.0
824997fffffffff,1060.0,0.0,309.0
82499ffffffffff,21.0,0.0,0.0
8249b7fffffffff,161.0,0.0,0.0
826607fffffffff,13.0,0.0,4.0
82660ffffffffff,779.0,0.0,15.0
826617fffffffff,133.0,0.0,21.0
82661ffffffffff,4188.0,0.0,112.0
826627fffffffff,348.0,0.0,0.0
82662ffffffffff,94.0,0.0,7.0
8266a7fffffffff,784.0,0.0,45.0
8266b7fffffffff,6215.0,0.0,109.0
8266c7fffffffff,1224.0,0.0,2.0
8266d7fffffffff,2882.0,0.0,385.0
8266dffffffffff,1152.0,0.0,75.0
8266e7fffffffff,3472.0,0.0,85.0
8266f7fffffffff,3513.0,0.0,65.0
826747fffffffff,234.0,0.0,3.0
82674ffffffffff,498.0,0.0,8.0
826757fffffffff,10.0,0.0,0.0
82675ffffffffff,99.0,0.0,0.0
826797fffffffff,8.0,0.0,0.0
82679ffffffffff,14.0,0.0,0.0
826d07fffffffff,45.0,0.0,9.0
826d17fffffffff,178.0,0.0,52.0
826d27fffffffff,192.0,0.0,42.0
826d2ffffffffff,3160.0,0.0,442.0
826d37fffffffff,1366.0,76.0,190.0
826d67fffffffff,1209.0,0.0,0.0
826d6ffffffffff,5052.0,0.0,0.0
826d77fffffffff,1.0,0.0,0.0
828b67fffffffff,58.0,0.0,0.0
828b6ffffffffff,340.0,0.0,2.0
828e67fffffffff,87.0,0.0,0.0
828e6ffffffffff,1.0,0.0,0.0
828f0ffffffffff,13.0,0.0,0.0
828f2ffffffffff,26.0,0.0,0.0
828f47fffffffff,103.0,0.0,0.0
828f4ffffffffff,35.0,0.0,0.0
828f57fffffffff,105.0,0.0,0.0
828f5ffffffffff,33.0,0.0,0.0
828f77fffffffff,438.0,0.0,57.0
