cell_id,Arremon flavirostris,Arremon flavirostris polionotus,Arremon flavirostris flavirostris
84a8133ffffffff,1.0,0.0,1.0
84a8353ffffffff,2.0,0.0,0.0
84a94ddffffffff,8.0,0.0,0.0
84a9533ffffffff,5.0,0.0,0.0
84a953bffffffff,3.0,1.0,0.0
84a95edffffffff,2.0,0.0,0.0
84a9611ffffffff,6.0,0.0,0.0
84a9613ffffffff,23.0,0.0,0.0
84a9617ffffffff,22.0,0.0,0.0
84a9619ffffffff,29.0,0.0,0.0
84a9653ffffffff,29.0,0.0,0.0
84a96c5ffffffff,1.0,0.0,0.0
84a96e9ffffffff,6.0,0.0,0.0
84b2691ffffffff,6.0,0.0,0.0
84b2699ffffffff,9.0,0.0,0.0
84b26d7ffffffff,8.0,0.0,0.0
84b3493ffffffff,1.0,0.0,0.0
84b349dffffffff,2.0,0.0,0.0
84b34b1ffffffff,1.0,0.0,0.0
84b34d7ffffffff,6.0,0.0,0.0
84c2cadffffffff,2.0,0.0,0.0
84c2cb1ffffffff,12.0,0.0,0.0
