cell_id,Asio otus,Asio otus wilsonianus/tuftsi,Asio otus otus/canariensis
830745fffffffff,2.0,0.0,0.0
830763fffffffff,2.0,0.0,0.0
830880fffffffff,2.0,0.0,0.0
830e49fffffffff,7.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0
830e5bfffffffff,2.0,0.0,0.0
830e80fffffffff,3.0,0.0,0.0
830ec9fffffffff,2.0,0.0,0.0
830edcfffffffff,2.0,0.0,0.0
830eeafffffffff,11.0,0.0,0.0
830eebfffffffff,4.0,0.0,0.0
831126fffffffff,2.0,0.0,2.0
831136fffffffff,1.0,0.0,1.0
831181fffffffff,1.0,0.0,1.0
83118cfffffffff,1.0,0.0,1.0
8311aafffffffff,1.0,0.0,1.0
8311abfffffffff,1.0,0.0,1.0
8311aefffffffff,5.0,0.0,5.0
83124bfffffffff,2.0,0.0,0.0
831251fffffffff,4.0,4.0,0.0
831259fffffffff,1.0,0.0,0.0
8312abfffffffff,2.0,0.0,0.0
8312c2fffffffff,1.0,0.0,0.0
8312ccfffffffff,11.0,0.0,0.0
8312ddfffffffff,2.0,0.0,0.0
8312f6fffffffff,9.0,0.0,0.0
83138cfffffffff,2.0,0.0,0.0
8314b2fffffffff,1.0,0.0,0.0
83165efffffffff,2.0,0.0,2.0
831849fffffffff,17.0,0.0,0.0
83184bfffffffff,3.0,0.0,0.0
83185bfffffffff,2.0,0.0,0.0
831862fffffffff,2.0,0.0,0.0
83194dfffffffff,2.0,0.0,0.0
831950fffffffff,7.0,0.0,0.0
831952fffffffff,1.0,0.0,0.0
831968fffffffff,1.0,0.0,0.0
831969fffffffff,14.0,0.0,0.0
83196bfffffffff,5.0,0.0,0.0
831aa3fffffffff,1.0,0.0,0.0
831e03fffffffff,4.0,0.0,4.0
831e04fffffffff,14.0,0.0,0.0
831e06fffffffff,21.0,0.0,0.0
831e0afffffffff,4.0,0.0,0.0
831e0efffffffff,9.0,0.0,0.0
831e19fffffffff,8.0,0.0,0.0
831e1bfffffffff,7.0,0.0,0.0
831e1dfffffffff,2.0,0.0,0.0
831e22fffffffff,3.0,0.0,0.0
831e23fffffffff,1.0,0.0,0.0
831e31fffffffff,2.0,0.0,0.0
831e33fffffffff,2.0,0.0,0.0
831e35fffffffff,5.0,0.0,0.0
831e59fffffffff,2.0,0.0,0.0
831e69fffffffff,4.0,0.0,0.0
831ea0fffffffff,4.0,0.0,0.0
831eb4fffffffff,7.0,0.0,0.0
831ec4fffffffff,2.0,0.0,0.0
831ec8fffffffff,1.0,0.0,0.0
831ecafffffffff,3.0,0.0,0.0
831ee3fffffffff,4.0,0.0,0.0
831f01fffffffff,1.0,0.0,0.0
831f03fffffffff,1.0,0.0,0.0
831f1afffffffff,1.0,0.0,0.0
831f26fffffffff,1.0,0.0,0.0
831f29fffffffff,1.0,0.0,0.0
831f33fffffffff,4.0,0.0,2.0
831f51fffffffff,4.0,0.0,4.0
831f72fffffffff,2.0,0.0,0.0
831f8dfffffffff,9.0,0.0,0.0
831f98fffffffff,2.0,0.0,0.0
83209bfffffffff,4.0,0.0,0.0
8320a6fffffffff,3.0,0.0,0.0
83240afffffffff,1.0,0.0,0.0
8324e4fffffffff,2.0,0.0,0.0
832512fffffffff,1.0,0.0,1.0
83255afffffffff,1.0,0.0,1.0
83264dfffffffff,1.0,0.0,0.0
83264efffffffff,1.0,0.0,0.0
83270efffffffff,4.0,0.0,0.0
83271cfffffffff,1.0,0.0,0.0
832721fffffffff,1.0,0.0,0.0
832761fffffffff,2.0,0.0,0.0
832763fffffffff,18.0,0.0,0.0
832769fffffffff,9.0,0.0,0.0
83276cfffffffff,2.0,0.0,0.0
83276dfffffffff,4.0,0.0,0.0
83276efffffffff,3.0,0.0,0.0
832770fffffffff,3.0,0.0,0.0
832776fffffffff,2.0,0.0,0.0
8327a0fffffffff,8.0,0.0,0.0
8327a6fffffffff,3.0,0.0,0.0
8327b3fffffffff,2.0,0.0,0.0
8327b5fffffffff,1.0,0.0,0.0
8328d6fffffffff,1.0,0.0,0.0
8328defffffffff,1.0,0.0,0.0
832a33fffffffff,1.0,0.0,0.0
832a85fffffffff,1.0,1.0,0.0
832aaafffffffff,1.0,0.0,0.0
832ab0fffffffff,17.0,0.0,0.0
832ab2fffffffff,160.0,1.0,0.0
832ab4fffffffff,80.0,0.0,0.0
832ab5fffffffff,24.0,0.0,0.0
832ab6fffffffff,48.0,1.0,0.0
832b00fffffffff,2.0,0.0,0.0
832b0afffffffff,15.0,0.0,0.0
832b0efffffffff,6.0,0.0,0.0
832b11fffffffff,2.0,0.0,0.0
832b12fffffffff,2.0,0.0,0.0
832b14fffffffff,6.0,0.0,0.0
832b16fffffffff,8.0,0.0,0.0
832b23fffffffff,1.0,0.0,0.0
832b30fffffffff,6.0,0.0,0.0
832b31fffffffff,1.0,0.0,0.0
832b33fffffffff,2.0,0.0,0.0
832b80fffffffff,11.0,0.0,0.0
832b81fffffffff,2.0,0.0,0.0
832b83fffffffff,101.0,0.0,0.0
832b85fffffffff,1.0,0.0,0.0
832b8afffffffff,2.0,0.0,0.0
832b8efffffffff,8.0,1.0,0.0
832b94fffffffff,14.0,0.0,0.0
832b98fffffffff,26.0,0.0,0.0
832b99fffffffff,2.0,0.0,0.0
832b9afffffffff,9.0,0.0,0.0
832b9bfffffffff,195.0,8.0,0.0
832b9cfffffffff,24.0,3.0,0.0
832b9dfffffffff,76.0,0.0,0.0
832b9efffffffff,9.0,0.0,0.0
832ba0fffffffff,9.0,0.0,0.0
832ba5fffffffff,16.0,0.0,0.0
832ba8fffffffff,10.0,0.0,0.0
832baafffffffff,272.0,2.0,0.0
832baefffffffff,2.0,0.0,0.0
832bb2fffffffff,4.0,0.0,0.0
832bb3fffffffff,1.0,0.0,0.0
832c18fffffffff,6.0,0.0,0.0
832c4cfffffffff,3.0,0.0,0.0
832c90fffffffff,35.0,0.0,0.0
832c93fffffffff,33.0,0.0,3.0
832ca8fffffffff,2.0,0.0,0.0
832ccbfffffffff,2.0,0.0,0.0
832ce4fffffffff,2.0,0.0,0.0
832cf0fffffffff,32.0,0.0,0.0
832cf3fffffffff,70.0,0.0,0.0
832d14fffffffff,2.0,0.0,0.0
832db0fffffffff,1.0,0.0,1.0
832db1fffffffff,1.0,0.0,1.0
832e74fffffffff,4.0,0.0,0.0
83309bfffffffff,5.0,0.0,2.0
8330c0fffffffff,1.0,0.0,0.0
8330e0fffffffff,7.0,0.0,0.0
8330e3fffffffff,1.0,0.0,0.0
83318dfffffffff,6.0,0.0,0.0
833464fffffffff,1.0,0.0,0.0
83351bfffffffff,13.0,0.0,0.0
8335a8fffffffff,2.0,0.0,0.0
8335a9fffffffff,2.0,0.0,0.0
833901fffffffff,6.0,0.0,0.0
833905fffffffff,3.0,0.0,0.0
833906fffffffff,6.0,0.0,0.0
833910fffffffff,15.0,0.0,0.0
833911fffffffff,58.0,0.0,0.0
833915fffffffff,2.0,0.0,0.0
833919fffffffff,32.0,0.0,0.0
83391cfffffffff,2.0,0.0,0.0
83391efffffffff,1.0,0.0,0.0
833921fffffffff,4.0,0.0,0.0
833922fffffffff,9.0,0.0,0.0
833923fffffffff,17.0,0.0,0.0
833925fffffffff,4.0,0.0,0.0
833928fffffffff,6.0,0.0,0.0
833929fffffffff,4.0,0.0,0.0
83392afffffffff,7.0,0.0,0.0
83392efffffffff,1.0,0.0,0.0
833931fffffffff,5.0,0.0,0.0
833933fffffffff,53.0,0.0,0.0
833971fffffffff,7.0,0.0,0.0
833973fffffffff,6.0,0.0,0.0
833974fffffffff,6.0,0.0,0.0
833975fffffffff,2.0,0.0,0.0
833c0afffffffff,10.0,0.0,0.0
833c58fffffffff,6.0,0.0,0.0
833c5cfffffffff,5.0,0.0,0.0
833ce5fffffffff,2.0,0.0,0.0
833d04fffffffff,7.0,0.0,0.0
833d10fffffffff,2.0,0.0,0.0
833d36fffffffff,2.0,0.0,0.0
833da4fffffffff,2.0,0.0,0.0
833da5fffffffff,17.0,0.0,0.0
833da6fffffffff,18.0,0.0,2.0
833e58fffffffff,1.0,0.0,0.0
833e65fffffffff,2.0,0.0,0.0
833e6cfffffffff,5.0,0.0,3.0
833f4dfffffffff,1.0,0.0,0.0
834269fffffffff,4.0,0.0,0.0
8342ddfffffffff,3.0,0.0,0.0
834363fffffffff,3.0,0.0,0.0
8343acfffffffff,3.0,0.0,0.0
834816fffffffff,16.0,0.0,0.0
83485cfffffffff,2.0,0.0,0.0
83485dfffffffff,7.0,0.0,0.0
83486afffffffff,2.0,0.0,0.0
834982fffffffff,7.0,0.0,0.0
834995fffffffff,3.0,0.0,0.0
834a26fffffffff,1.0,0.0,0.0
834b56fffffffff,1.0,0.0,0.0
