cell_id,Asthenes dorbignyi,Asthenes dorbignyi huancavelicae,Asthenes dorbignyi arequipae,Asthenes dorbignyi usheri,Asthenes dorbignyi dorbignyi/consobrina
838b20fffffffff,47.0,0.0,0.0,0.0,7.0
838b21fffffffff,79.0,0.0,0.0,0.0,17.0
838b24fffffffff,12.0,0.0,0.0,0.0,4.0
838b25fffffffff,109.0,0.0,0.0,0.0,14.0
838b2cfffffffff,248.0,0.0,0.0,0.0,25.0
838b2dfffffffff,2.0,0.0,0.0,0.0,0.0
838b60fffffffff,2.0,0.0,0.0,0.0,0.0
838b61fffffffff,3.0,0.0,0.0,0.0,0.0
838b64fffffffff,4.0,0.0,0.0,0.0,0.0
838b65fffffffff,1.0,0.0,0.0,1.0,0.0
838b66fffffffff,3.0,0.0,0.0,0.0,0.0
838e68fffffffff,2.0,0.0,0.0,0.0,0.0
838e69fffffffff,5.0,0.0,0.0,0.0,0.0
838e6afffffffff,9.0,0.0,0.0,0.0,0.0
838e6cfffffffff,8.0,3.0,0.0,1.0,0.0
838e6dfffffffff,104.0,0.0,0.0,63.0,0.0
838e6efffffffff,4.0,0.0,0.0,0.0,0.0
838f58fffffffff,51.0,0.0,0.0,0.0,0.0
838f59fffffffff,1.0,0.0,0.0,0.0,0.0
83b209fffffffff,4.0,0.0,0.0,0.0,0.0
83b229fffffffff,6.0,0.0,0.0,0.0,0.0
83b22dfffffffff,15.0,0.0,0.0,0.0,0.0
83b252fffffffff,2.0,0.0,0.0,0.0,0.0
83b270fffffffff,3.0,0.0,0.0,0.0,0.0
83b272fffffffff,9.0,0.0,0.0,0.0,0.0
83b274fffffffff,4.0,0.0,0.0,0.0,0.0
83b2eefffffffff,3.0,0.0,0.0,0.0,0.0
83b300fffffffff,3.0,0.0,0.0,0.0,0.0
83b301fffffffff,54.0,0.0,4.0,0.0,0.0
83b304fffffffff,258.0,0.0,142.0,0.0,0.0
83b305fffffffff,864.0,0.0,210.0,0.0,0.0
83b308fffffffff,3.0,0.0,0.0,0.0,0.0
83b309fffffffff,1.0,0.0,0.0,0.0,0.0
83b30cfffffffff,7.0,0.0,0.0,0.0,0.0
83b30dfffffffff,4.0,0.0,0.0,0.0,2.0
83b30efffffffff,3.0,0.0,0.0,0.0,0.0
83b320fffffffff,6.0,0.0,0.0,0.0,3.0
83b321fffffffff,212.0,0.0,3.0,0.0,6.0
83b322fffffffff,3.0,0.0,0.0,0.0,0.0
83b323fffffffff,30.0,0.0,0.0,0.0,0.0
83b326fffffffff,5.0,0.0,0.0,0.0,0.0
83b32afffffffff,7.0,0.0,0.0,0.0,0.0
83b32bfffffffff,1.0,0.0,0.0,0.0,0.0
83b32cfffffffff,43.0,0.0,0.0,0.0,2.0
83b32dfffffffff,30.0,0.0,0.0,0.0,1.0
83b330fffffffff,11.0,0.0,3.0,0.0,0.0
83b331fffffffff,16.0,0.0,1.0,0.0,0.0
83b334fffffffff,61.0,0.0,11.0,0.0,0.0
83b335fffffffff,265.0,0.0,50.0,0.0,0.0
83b336fffffffff,2.0,0.0,0.0,0.0,0.0
83b342fffffffff,9.0,0.0,0.0,0.0,0.0
83b346fffffffff,67.0,0.0,0.0,0.0,0.0
83b351fffffffff,156.0,0.0,0.0,0.0,0.0
83b353fffffffff,8.0,0.0,0.0,0.0,0.0
83b354fffffffff,65.0,0.0,0.0,0.0,0.0
83b355fffffffff,334.0,0.0,0.0,0.0,0.0
83b35afffffffff,108.0,0.0,0.0,0.0,0.0
83b35efffffffff,184.0,0.0,0.0,0.0,11.0
83b370fffffffff,1.0,0.0,0.0,0.0,0.0
83b371fffffffff,4.0,0.0,0.0,0.0,0.0
83b372fffffffff,16.0,0.0,0.0,0.0,0.0
83b373fffffffff,322.0,0.0,0.0,0.0,1.0
83b374fffffffff,5.0,0.0,0.0,0.0,0.0
