cell_id,Automolus cervinigularis,Automolus cervinigularis cervinigularis,Automolus cervinigularis hypophaeus
8445203ffffffff,22.0,0.0,0.0
8445207ffffffff,4.0,0.0,0.0
844520bffffffff,53.0,0.0,0.0
844520dffffffff,33.0,0.0,0.0
8445211ffffffff,4.0,0.0,0.0
8445215ffffffff,5.0,0.0,0.0
8445217ffffffff,39.0,0.0,0.0
844521dffffffff,56.0,0.0,0.0
8445221ffffffff,20.0,0.0,0.0
8445225ffffffff,160.0,0.0,0.0
844522dffffffff,5.0,0.0,0.0
8445233ffffffff,351.0,0.0,0.0
844523bffffffff,18.0,0.0,0.0
8445257ffffffff,16.0,0.0,0.0
8445263ffffffff,119.0,0.0,0.0
8445289ffffffff,30.0,0.0,0.0
844528dffffffff,3.0,0.0,0.0
84452a9ffffffff,5.0,0.0,0.0
84452c3ffffffff,7.0,0.0,0.0
84452c7ffffffff,4.0,0.0,0.0
84452c9ffffffff,3.0,0.0,0.0
84452d9ffffffff,82.0,0.0,0.0
84452dbffffffff,4.0,0.0,0.0
84452e1ffffffff,583.0,0.0,0.0
84452e3ffffffff,30.0,0.0,0.0
84452e5ffffffff,221.0,0.0,0.0
84452e7ffffffff,3.0,0.0,0.0
84452e9ffffffff,129.0,0.0,0.0
84452ebffffffff,16.0,0.0,0.0
84452edffffffff,134.0,0.0,0.0
8445305ffffffff,4.0,0.0,0.0
8445309ffffffff,1.0,0.0,0.0
8445319ffffffff,4.0,0.0,0.0
844532bffffffff,16.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0
8445351ffffffff,62.0,0.0,0.0
8445363ffffffff,37.0,0.0,0.0
8445365ffffffff,32.0,0.0,0.0
8445367ffffffff,3.0,0.0,0.0
8445649ffffffff,2.0,0.0,0.0
8449969ffffffff,16.0,5.0,0.0
8466b49ffffffff,1658.0,0.0,0.0
8466b4bffffffff,34.0,0.0,0.0
8466b4dffffffff,432.0,0.0,0.0
8466b59ffffffff,5.0,0.0,3.0
8466b5bffffffff,15.0,0.0,3.0
846792dffffffff,6.0,0.0,0.0
8467961ffffffff,69.0,0.0,0.0
84679a5ffffffff,47.0,0.0,0.0
84679a7ffffffff,147.0,0.0,0.0
84679b5ffffffff,2.0,0.0,0.0
84679b7ffffffff,13.0,0.0,0.0
846d21bffffffff,73.0,28.0,0.0
846d223ffffffff,17.0,4.0,0.0
846d22bffffffff,1.0,0.0,0.0
846d23dffffffff,141.0,53.0,0.0
846d2c1ffffffff,25.0,20.0,0.0
846d2c3ffffffff,19.0,2.0,0.0
846d2c9ffffffff,86.0,21.0,0.0
846d2cbffffffff,5.0,2.0,0.0
846d2d1ffffffff,75.0,0.0,0.0
846d2d7ffffffff,3.0,0.0,0.0
846d2dbffffffff,4.0,0.0,0.0
846d2ddffffffff,18.0,0.0,0.0
846d303ffffffff,6.0,0.0,0.0
846d305ffffffff,14.0,8.0,0.0
846d30dffffffff,84.0,22.0,0.0
846d319ffffffff,42.0,21.0,0.0
846d31bffffffff,5.0,0.0,0.0
846d34bffffffff,44.0,14.0,0.0
846d35dffffffff,246.0,32.0,0.0
846d361ffffffff,2.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0
846d369ffffffff,2.0,0.0,0.0
846d36dffffffff,2.0,0.0,0.0
846d651ffffffff,491.0,0.0,0.0
846d653ffffffff,31.0,0.0,0.0
846d655ffffffff,7.0,0.0,0.0
846d659ffffffff,3.0,0.0,0.0
846d65bffffffff,15.0,0.0,0.0
846d681ffffffff,23.0,0.0,0.0
846d689ffffffff,13.0,0.0,0.0
846d68bffffffff,245.0,0.0,0.0
846d68dffffffff,13.0,0.0,0.0
846d691ffffffff,266.0,0.0,0.0
846d699ffffffff,26.0,0.0,0.0
846d69bffffffff,663.0,0.0,0.0
846d69dffffffff,1776.0,0.0,0.0
846d6d3ffffffff,7.0,0.0,0.0
846d6d5ffffffff,1.0,0.0,0.0
