cell_id,Basileuterus rufifrons,Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons salvini
8445233ffffffff,7.0,0.0,0.0
8445251ffffffff,1.0,0.0,0.0
8445253ffffffff,5.0,0.0,4.0
8445257ffffffff,1.0,0.0,0.0
844525bffffffff,26.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0
84452e1ffffffff,1939.0,0.0,76.0
84452e5ffffffff,6.0,0.0,0.0
84452e9ffffffff,25.0,0.0,0.0
84452edffffffff,191.0,0.0,6.0
8445649ffffffff,23.0,0.0,3.0
8448027ffffffff,2.0,0.0,0.0
844802bffffffff,3.0,0.0,0.0
8448035ffffffff,2.0,0.0,0.0
8448097ffffffff,5.0,0.0,0.0
84480a1ffffffff,2.0,0.0,0.0
84480adffffffff,295.0,0.0,0.0
8448101ffffffff,2.0,0.0,0.0
8448147ffffffff,3.0,0.0,0.0
8448153ffffffff,1.0,0.0,0.0
844815bffffffff,6.0,0.0,0.0
8448165ffffffff,1.0,0.0,0.0
844818bffffffff,4.0,0.0,0.0
8448193ffffffff,2.0,0.0,0.0
8448199ffffffff,8.0,0.0,0.0
84481d1ffffffff,1.0,0.0,0.0
84481d5ffffffff,2.0,0.0,0.0
84481d7ffffffff,32.0,0.0,0.0
84481dbffffffff,3.0,0.0,0.0
8448321ffffffff,4.0,0.0,0.0
8448323ffffffff,7.0,0.0,0.0
8448331ffffffff,5.0,0.0,0.0
8448333ffffffff,3.0,0.0,0.0
8448337ffffffff,340.0,8.0,0.0
8448361ffffffff,685.0,70.0,0.0
8448365ffffffff,72.0,4.0,0.0
8448367ffffffff,60.0,2.0,0.0
8448369ffffffff,4.0,0.0,0.0
844836dffffffff,220.0,0.0,0.0
8448849ffffffff,10.0,0.0,0.0
844884bffffffff,7.0,3.0,0.0
844884dffffffff,10.0,0.0,0.0
8448a21ffffffff,1493.0,44.0,0.0
8448a23ffffffff,3.0,0.0,0.0
8448a27ffffffff,19.0,6.0,0.0
8448a29ffffffff,62.0,2.0,0.0
8448a2bffffffff,49.0,0.0,0.0
8448a2dffffffff,116.0,8.0,0.0
8448a67ffffffff,17.0,1.0,0.0
8448a6dffffffff,4.0,0.0,0.0
8448b59ffffffff,2.0,0.0,0.0
8448b5bffffffff,54.0,2.0,0.0
8448e01ffffffff,4.0,0.0,0.0
8448e07ffffffff,3.0,0.0,0.0
8448e09ffffffff,1.0,0.0,0.0
8448e0dffffffff,2.0,0.0,0.0
8448e11ffffffff,4.0,0.0,0.0
8448e19ffffffff,9.0,0.0,0.0
8448e1bffffffff,1.0,0.0,0.0
8448e41ffffffff,2.0,0.0,0.0
8448e43ffffffff,2.0,0.0,0.0
8448e45ffffffff,4.0,0.0,0.0
8448e49ffffffff,45.0,0.0,0.0
8448e4bffffffff,4.0,0.0,0.0
8448e4dffffffff,82.0,0.0,0.0
8448e53ffffffff,5.0,0.0,0.0
8448e57ffffffff,5.0,0.0,0.0
8449801ffffffff,171.0,4.0,0.0
8449809ffffffff,62.0,0.0,0.0
844980bffffffff,38.0,0.0,0.0
844980dffffffff,33.0,0.0,0.0
8449821ffffffff,2.0,0.0,0.0
8449823ffffffff,2.0,0.0,0.0
8449827ffffffff,7.0,0.0,0.0
8449829ffffffff,13.0,0.0,0.0
844982bffffffff,15.0,0.0,0.0
844982dffffffff,1.0,0.0,0.0
8449831ffffffff,14.0,0.0,0.0
8449833ffffffff,10.0,0.0,0.0
8449835ffffffff,20.0,0.0,0.0
8449839ffffffff,7.0,0.0,0.0
844983bffffffff,44.0,0.0,0.0
844983dffffffff,30.0,0.0,0.0
8449843ffffffff,5.0,0.0,0.0
8449851ffffffff,3.0,0.0,0.0
8449853ffffffff,3.0,0.0,0.0
8449855ffffffff,27.0,3.0,0.0
8449857ffffffff,8.0,0.0,0.0
844985bffffffff,2.0,0.0,0.0
8449861ffffffff,92.0,13.0,0.0
8449863ffffffff,10.0,0.0,0.0
8449865ffffffff,75.0,7.0,0.0
8449869ffffffff,5.0,3.0,0.0
844986bffffffff,1.0,0.0,0.0
844986dffffffff,51.0,20.0,0.0
8449885ffffffff,1.0,0.0,0.0
8449889ffffffff,5.0,0.0,0.0
