cell_id,Branta hutchinsii,Branta hutchinsii leucopareia,Branta hutchinsii hutchinsii,Branta hutchinsii minima,Branta hutchinsii taverneri
820247fffffffff,44.0,0.0,0.0,0.0,0.0
82024ffffffffff,32.0,0.0,0.0,0.0,0.0
82025ffffffffff,7.0,0.0,0.0,0.0,0.0
8202c7fffffffff,1.0,0.0,0.0,0.0,0.0
8202cffffffffff,364.0,0.0,0.0,0.0,0.0
8202d7fffffffff,2.0,0.0,0.0,0.0,0.0
8202effffffffff,4.0,0.0,0.0,0.0,0.0
820c07fffffffff,4.0,0.0,0.0,0.0,0.0
820c17fffffffff,2122.0,0.0,0.0,0.0,594.0
820c1ffffffffff,95.0,0.0,0.0,0.0,4.0
820c27fffffffff,4.0,0.0,0.0,0.0,0.0
820c37fffffffff,103.0,0.0,0.0,0.0,33.0
820c47fffffffff,233.0,11.0,0.0,51.0,17.0
820c57fffffffff,531.0,0.0,0.0,33.0,14.0
820c67fffffffff,1.0,0.0,0.0,0.0,0.0
820c6ffffffffff,25.0,0.0,0.0,7.0,2.0
820c77fffffffff,566.0,0.0,0.0,4.0,0.0
820c8ffffffffff,15.0,10.0,0.0,0.0,0.0
820ca7fffffffff,32.0,0.0,0.0,0.0,0.0
820caffffffffff,23.0,0.0,0.0,0.0,0.0
820cc7fffffffff,6.0,0.0,0.0,0.0,0.0
820cdffffffffff,249.0,0.0,0.0,0.0,218.0
820ceffffffffff,68.0,0.0,0.0,2.0,0.0
820cf7fffffffff,9.0,0.0,0.0,0.0,0.0
820d07fffffffff,85.0,0.0,0.0,0.0,32.0
820d0ffffffffff,337.0,0.0,0.0,0.0,40.0
820d1ffffffffff,2.0,0.0,0.0,0.0,0.0
820d4ffffffffff,1.0,0.0,0.0,1.0,0.0
820d5ffffffffff,36.0,0.0,0.0,0.0,0.0
820d67fffffffff,7.0,0.0,0.0,0.0,0.0
820d77fffffffff,387.0,0.0,0.0,0.0,173.0
820e37fffffffff,107.0,0.0,0.0,0.0,0.0
820e87fffffffff,126.0,0.0,0.0,0.0,0.0
820ec7fffffffff,2.0,0.0,0.0,0.0,0.0
820edffffffffff,2.0,0.0,0.0,0.0,0.0
820f0ffffffffff,6.0,0.0,0.0,0.0,0.0
820f17fffffffff,16.0,0.0,0.0,0.0,0.0
820f8ffffffffff,2.0,0.0,0.0,0.0,0.0
820f9ffffffffff,125.0,0.0,0.0,0.0,0.0
820fb7fffffffff,36.0,0.0,0.0,0.0,0.0
82121ffffffffff,10.0,0.0,0.0,0.0,0.0
82124ffffffffff,16.0,0.0,0.0,0.0,0.0
821257fffffffff,38.0,0.0,3.0,0.0,0.0
82125ffffffffff,614.0,0.0,0.0,0.0,0.0
82126ffffffffff,2.0,0.0,0.0,0.0,0.0
821287fffffffff,18.0,0.0,0.0,0.0,0.0
821297fffffffff,94.0,0.0,0.0,24.0,0.0
82129ffffffffff,32.0,0.0,0.0,2.0,0.0
8212affffffffff,22.0,0.0,0.0,0.0,0.0
8212b7fffffffff,85.0,0.0,0.0,2.0,0.0
8212c7fffffffff,4.0,0.0,0.0,0.0,0.0
8212cffffffffff,321.0,0.0,12.0,0.0,0.0
8212d7fffffffff,306.0,0.0,0.0,0.0,0.0
8212dffffffffff,173.0,0.0,0.0,0.0,8.0
8212e7fffffffff,69.0,0.0,2.0,0.0,0.0
8212effffffffff,301.0,0.0,6.0,0.0,0.0
8212f7fffffffff,27.0,0.0,0.0,0.0,0.0
82132ffffffffff,2.0,0.0,0.0,0.0,0.0
821357fffffffff,9.0,0.0,0.0,0.0,0.0
821397fffffffff,20.0,0.0,0.0,0.0,0.0
82139ffffffffff,73.0,0.0,0.0,0.0,0.0
821657fffffffff,291.0,228.0,0.0,0.0,0.0
82165ffffffffff,204.0,175.0,0.0,0.0,0.0
821d27fffffffff,16.0,0.0,0.0,0.0,0.0
8222d7fffffffff,5.0,0.0,0.0,0.0,0.0
8222dffffffffff,526.0,341.0,0.0,35.0,0.0
