cell_id,Buteo rufinus,Buteo rufinus rufinus,Buteo rufinus cirtensis
821097fffffffff,3.0,0.0,0.0
82109ffffffffff,2.0,0.0,0.0
821597fffffffff,3.0,0.0,0.0
8215b7fffffffff,2.0,0.0,0.0
821e0ffffffffff,5.0,0.0,0.0
821e1ffffffffff,14.0,0.0,0.0
821e47fffffffff,6.0,0.0,0.0
821e4ffffffffff,20.0,0.0,0.0
821e57fffffffff,7.0,0.0,0.0
821e5ffffffffff,73.0,6.0,0.0
821e6ffffffffff,7.0,0.0,0.0
821ec7fffffffff,422.0,40.0,0.0
821ecffffffffff,495.0,31.0,0.0
821ed7fffffffff,38.0,0.0,0.0
821edffffffffff,383.0,24.0,0.0
821ee7fffffffff,5.0,0.0,0.0
821eeffffffffff,437.0,60.0,0.0
821ef7fffffffff,26.0,11.0,0.0
82200ffffffffff,52.0,19.0,0.0
822017fffffffff,86.0,20.0,0.0
82201ffffffffff,218.0,38.0,0.0
822037fffffffff,11.0,0.0,0.0
82204ffffffffff,2.0,0.0,0.0
82205ffffffffff,39.0,4.0,0.0
822087fffffffff,19.0,0.0,0.0
82208ffffffffff,3.0,0.0,0.0
82209ffffffffff,3.0,0.0,0.0
8220a7fffffffff,32.0,5.0,0.0
8220affffffffff,17.0,0.0,0.0
8220b7fffffffff,44.0,0.0,0.0
8220cffffffffff,21.0,0.0,0.0
8220d7fffffffff,3.0,0.0,0.0
8220e7fffffffff,243.0,65.0,0.0
8220effffffffff,3.0,0.0,0.0
8220f7fffffffff,22.0,0.0,0.0
822127fffffffff,1.0,0.0,0.0
822157fffffffff,35.0,8.0,0.0
822187fffffffff,1.0,0.0,0.0
82218ffffffffff,17.0,4.0,0.0
82219ffffffffff,30.0,7.0,0.0
8221a7fffffffff,2.0,0.0,0.0
822407fffffffff,26.0,0.0,0.0
82240ffffffffff,12.0,0.0,0.0
82241ffffffffff,3.0,0.0,0.0
82242ffffffffff,20.0,0.0,0.0
822437fffffffff,7.0,0.0,0.0
822447fffffffff,1.0,0.0,0.0
822457fffffffff,38.0,0.0,0.0
822477fffffffff,2.0,0.0,0.0
8224e7fffffffff,2.0,0.0,0.0
822517fffffffff,23.0,0.0,0.0
82251ffffffffff,3.0,0.0,0.0
8225a7fffffffff,23.0,0.0,0.0
8225affffffffff,5.0,0.0,0.0
8225b7fffffffff,35.0,11.0,0.0
822c07fffffffff,1009.0,162.0,0.0
822c0ffffffffff,368.0,0.0,0.0
822c17fffffffff,114.0,0.0,0.0
822c1ffffffffff,148.0,0.0,0.0
822c27fffffffff,242.0,16.0,0.0
822c2ffffffffff,413.0,0.0,0.0
822c37fffffffff,88.0,6.0,0.0
822c47fffffffff,1.0,0.0,0.0
822c67fffffffff,3.0,0.0,0.0
822c6ffffffffff,2.0,0.0,0.0
822c77fffffffff,32.0,0.0,0.0
822c87fffffffff,21.0,0.0,0.0
822c8ffffffffff,90.0,0.0,0.0
822c97fffffffff,676.0,17.0,0.0
822c9ffffffffff,27.0,0.0,0.0
822caffffffffff,131.0,0.0,0.0
822cc7fffffffff,433.0,0.0,0.0
822ccffffffffff,59.0,0.0,0.0
822cd7fffffffff,212.0,0.0,0.0
822cdffffffffff,58.0,0.0,0.0
822ce7fffffffff,43.0,0.0,0.0
822cf7fffffffff,743.0,0.0,0.0
822d07fffffffff,281.0,5.0,0.0
822d17fffffffff,760.0,106.0,0.0
822d1ffffffffff,91.0,8.0,0.0
822d27fffffffff,9.0,0.0,0.0
822d2ffffffffff,1.0,0.0,0.0
822d37fffffffff,1180.0,44.0,0.0
822d57fffffffff,5.0,0.0,0.0
822d5ffffffffff,38.0,0.0,0.0
822d67fffffffff,8.0,0.0,0.0
822d77fffffffff,7.0,0.0,0.0
822d87fffffffff,23.0,0.0,0.0
822d97fffffffff,6.0,0.0,0.0
822da7fffffffff,276.0,3.0,0.0
822daffffffffff,426.0,43.0,0.0
822db7fffffffff,2720.0,362.0,0.0
823807fffffffff,1.0,0.0,0.0
823817fffffffff,45.0,0.0,15.0
823837fffffffff,240.0,0.0,110.0
823847fffffffff,8.0,0.0,4.0
82384ffffffffff,4.0,0.0,2.0
82385ffffffffff,6.0,0.0,3.0
823867fffffffff,71.0,0.0,48.0
82386ffffffffff,54.0,0.0,21.0
823877fffffffff,33.0,0.0,31.0
8238a7fffffffff,4.0,0.0,1.0
8238dffffffffff,1.0,0.0,1.0
82391ffffffffff,151.0,0.0,18.0
823987fffffffff,202.0,0.0,88.0
82398ffffffffff,547.0,0.0,177.0
823997fffffffff,134.0,0.0,50.0
82399ffffffffff,29.0,0.0,15.0
8239affffffffff,129.0,0.0,72.0
823c07fffffffff,133.0,0.0,0.0
823c0ffffffffff,6.0,2.0,0.0
