cell_id,Butorides striata,Butorides striata striata,Butorides striata sundevalli,Butorides striata [atricapilla Group]
82240ffffffffff,2.0,0.0,0.0,0.0
822c97fffffffff,15.0,0.0,0.0,0.0
822db7fffffffff,16.0,0.0,0.0,2.0
822e6ffffffffff,6.0,0.0,0.0,0.0
823037fffffffff,5.0,0.0,0.0,0.0
82309ffffffffff,6.0,0.0,0.0,0.0
8230c7fffffffff,4.0,0.0,0.0,4.0
8230d7fffffffff,2.0,0.0,0.0,0.0
8230e7fffffffff,4.0,0.0,0.0,4.0
823c07fffffffff,1.0,0.0,0.0,0.0
823c17fffffffff,4.0,0.0,0.0,4.0
823c1ffffffffff,5.0,0.0,0.0,0.0
823c37fffffffff,9.0,0.0,0.0,0.0
823c57fffffffff,6.0,0.0,0.0,0.0
823c5ffffffffff,5.0,0.0,0.0,0.0
823c87fffffffff,1.0,0.0,0.0,0.0
823c8ffffffffff,41.0,0.0,0.0,0.0
823caffffffffff,22.0,0.0,0.0,0.0
823cb7fffffffff,2.0,0.0,0.0,0.0
823cc7fffffffff,3.0,0.0,0.0,0.0
823ce7fffffffff,13.0,0.0,0.0,0.0
823ceffffffffff,2.0,0.0,0.0,2.0
823cf7fffffffff,49.0,0.0,0.0,0.0
823d17fffffffff,7.0,0.0,0.0,0.0
823d1ffffffffff,2.0,0.0,0.0,0.0
823d37fffffffff,10.0,0.0,0.0,0.0
823d87fffffffff,3.0,0.0,0.0,3.0
823d8ffffffffff,15.0,0.0,0.0,0.0
823d97fffffffff,2.0,0.0,0.0,0.0
823d9ffffffffff,10.0,0.0,0.0,0.0
823da7fffffffff,22.0,0.0,0.0,0.0
823daffffffffff,39.0,0.0,0.0,5.0
823e6ffffffffff,6.0,0.0,0.0,4.0
823f77fffffffff,11.0,0.0,0.0,3.0
824007fffffffff,2.0,0.0,0.0,0.0
82411ffffffffff,11.0,0.0,0.0,4.0
82416ffffffffff,1.0,0.0,0.0,0.0
824197fffffffff,4.0,0.0,0.0,0.0
8241a7fffffffff,5.0,0.0,0.0,0.0
8241b7fffffffff,14.0,0.0,0.0,0.0
8242c7fffffffff,21.0,0.0,0.0,1.0
8242cffffffffff,18.0,0.0,0.0,0.0
8242dffffffffff,5.0,0.0,0.0,0.0
