cell_id,Cacicus cela,Cacicus cela flavicrissus/vitellinus,Cacicus cela cela
834412fffffffff,1.0,0.0,0.0
835f58fffffffff,4.0,0.0,4.0
835f5bfffffffff,7.0,0.0,7.0
83660bfffffffff,1.0,0.0,0.0
836610fffffffff,6.0,0.0,0.0
836611fffffffff,13.0,0.0,0.0
836613fffffffff,11.0,0.0,0.0
836616fffffffff,4.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0
83661cfffffffff,37.0,0.0,0.0
83661efffffffff,10.0,0.0,0.0
836620fffffffff,2.0,0.0,0.0
836621fffffffff,4.0,0.0,0.0
83665afffffffff,4.0,0.0,0.0
8366a0fffffffff,6.0,0.0,0.0
8366a5fffffffff,1.0,0.0,0.0
8366d1fffffffff,2.0,0.0,2.0
8366d3fffffffff,4.0,2.0,0.0
8366dcfffffffff,1.0,0.0,0.0
8366defffffffff,8.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0
836759fffffffff,3.0,0.0,3.0
83675cfffffffff,4.0,0.0,0.0
838044fffffffff,2.0,0.0,0.0
83812dfffffffff,1.0,0.0,1.0
838162fffffffff,2.0,0.0,0.0
838180fffffffff,3.0,0.0,0.0
838185fffffffff,4.0,0.0,0.0
838a00fffffffff,6.0,0.0,0.0
838a05fffffffff,1.0,0.0,1.0
838a21fffffffff,1.0,0.0,1.0
838a23fffffffff,1.0,0.0,0.0
838a45fffffffff,11.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0
838af6fffffffff,2.0,0.0,0.0
838b5cfffffffff,11.0,0.0,11.0
838b61fffffffff,17.0,0.0,17.0
838b63fffffffff,19.0,0.0,19.0
838f08fffffffff,2.0,1.0,0.0
838f0dfffffffff,119.0,18.0,0.0
838f29fffffffff,43.0,0.0,0.0
838f2bfffffffff,19.0,3.0,0.0
838f2dfffffffff,1.0,1.0,0.0
838f40fffffffff,5.0,0.0,5.0
838f46fffffffff,1.0,0.0,1.0
838f61fffffffff,14.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0
838f6efffffffff,4.0,0.0,0.0
838f76fffffffff,8.0,0.0,0.0
83a810fffffffff,2.0,0.0,0.0
83a8c2fffffffff,2.0,0.0,0.0
