cell_id,Calidris alpina,Calidris alpina pacifica/arcticola,Calidris alpina hudsonia,Calidris alpina arctica,Calidris alpina schinzii,Calidris alpina alpina/centralis,Calidris alpina [sakhalina Group]
820127fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,608.0,0.0,0.0,0.0,0.0,0.0,0.0
820157fffffffff,110.0,0.0,0.0,0.0,0.0,0.0,0.0
82015ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8201b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8202cffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82041ffffffffff,172.0,0.0,0.0,0.0,0.0,0.0,0.0
8204cffffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8204effffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82058ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
820707fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820747fffffffff,547.0,0.0,0.0,0.0,4.0,0.0,0.0
82074ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
820757fffffffff,175.0,0.0,0.0,0.0,1.0,0.0,0.0
82075ffffffffff,1305.0,0.0,0.0,0.0,34.0,0.0,0.0
820767fffffffff,175.0,0.0,0.0,0.0,1.0,0.0,0.0
820777fffffffff,857.0,0.0,0.0,0.0,7.0,0.0,0.0
820807fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,51.0,0.0,0.0,0.0,0.0,0.0,0.0
820837fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,116.0,0.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,85.0,0.0,0.0,0.0,1.0,4.0,0.0
820897fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,452.0,0.0,0.0,0.0,0.0,8.0,0.0
8208b7fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,71.0,0.0,0.0,0.0,2.0,2.0,0.0
8208dffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8208e7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820937fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82094ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82095ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,104.0,0.0,0.0,0.0,0.0,0.0,0.0
82098ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
