cell_id,Camaroptera chloronota,Camaroptera chloronota [chloronota Group],Camaroptera chloronota toroensis/kamitugaensis
825887fffffffff,4.0,0.0,0.0
825897fffffffff,4.0,0.0,0.0
8258d7fffffffff,25.0,0.0,0.0
8258dffffffffff,15.0,0.0,0.0
826ac7fffffffff,114.0,0.0,0.0
826acffffffffff,81.0,0.0,1.0
826adffffffffff,283.0,0.0,0.0
826aeffffffffff,104.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0
82750ffffffffff,153.0,13.0,0.0
82751ffffffffff,1.0,0.0,0.0
82752ffffffffff,192.0,30.0,0.0
827587fffffffff,6.0,0.0,0.0
8275a7fffffffff,6.0,0.0,0.0
8275affffffffff,1.0,0.0,0.0
8275b7fffffffff,7.0,0.0,0.0
827a4ffffffffff,342.0,0.0,0.0
828287fffffffff,15.0,0.0,0.0
82828ffffffffff,78.0,0.0,0.0
828297fffffffff,2.0,0.0,0.0
8282a7fffffffff,12.0,0.0,0.0
8282affffffffff,29.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0
8282d7fffffffff,80.0,0.0,0.0
82839ffffffffff,2.0,0.0,0.0
