cell_id,Campethera bennettii,Campethera bennettii bennettii,Campethera bennettii capricorni
836ad8fffffffff,3.0,0.0,0.0
836addfffffffff,3.0,0.0,0.0
838312fffffffff,2.0,0.0,0.0
838320fffffffff,9.0,0.0,0.0
8383a8fffffffff,3.0,0.0,0.0
839600fffffffff,7.0,1.0,0.0
839601fffffffff,9.0,1.0,0.0
839608fffffffff,1.0,0.0,0.0
83960bfffffffff,1.0,0.0,0.0
839610fffffffff,1.0,0.0,0.0
839614fffffffff,10.0,0.0,0.0
839620fffffffff,15.0,0.0,0.0
839621fffffffff,4.0,0.0,0.0
839622fffffffff,1.0,0.0,0.0
839623fffffffff,13.0,0.0,0.0
839626fffffffff,6.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0
839629fffffffff,1.0,0.0,0.0
83962cfffffffff,11.0,4.0,0.0
83962dfffffffff,9.0,4.0,0.0
83962efffffffff,2.0,0.0,0.0
839633fffffffff,19.0,8.0,0.0
839666fffffffff,4.0,0.0,0.0
839672fffffffff,2.0,0.0,0.0
83968cfffffffff,4.0,0.0,0.0
8396a5fffffffff,8.0,0.0,0.0
8396aafffffffff,1.0,0.0,0.0
8396e4fffffffff,2.0,0.0,0.0
839701fffffffff,7.0,0.0,0.0
839705fffffffff,1.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0
839711fffffffff,1.0,0.0,0.0
839719fffffffff,3.0,0.0,0.0
839728fffffffff,19.0,3.0,0.0
839729fffffffff,9.0,1.0,0.0
83972afffffffff,2.0,0.0,0.0
83972cfffffffff,54.0,21.0,0.0
83972efffffffff,35.0,14.0,0.0
839741fffffffff,47.0,0.0,1.0
839743fffffffff,139.0,0.0,8.0
83974afffffffff,44.0,0.0,3.0
83974efffffffff,33.0,0.0,5.0
839750fffffffff,4.0,0.0,0.0
839751fffffffff,30.0,0.0,1.0
839753fffffffff,1.0,1.0,0.0
839754fffffffff,8.0,0.0,0.0
839755fffffffff,4.0,0.0,0.0
839756fffffffff,1.0,0.0,0.0
839758fffffffff,5.0,0.0,0.0
83975cfffffffff,49.0,0.0,4.0
83975dfffffffff,27.0,0.0,2.0
83975efffffffff,15.0,0.0,2.0
839768fffffffff,1.0,0.0,0.0
839772fffffffff,1.0,0.0,0.0
839774fffffffff,1.0,0.0,0.0
839775fffffffff,1.0,0.0,0.0
8397a8fffffffff,3.0,0.0,0.0
83ac8afffffffff,12.0,0.0,0.0
83ac8efffffffff,3.0,0.0,0.0
83ac96fffffffff,2.0,0.0,0.0
83aca0fffffffff,1.0,0.0,0.0
83aca5fffffffff,2.0,0.0,0.0
83aca6fffffffff,3.0,0.0,0.0
83acb1fffffffff,1.0,0.0,0.0
83bcd0fffffffff,36.0,3.0,0.0
83bcd2fffffffff,105.0,11.0,0.0
83bcd3fffffffff,11.0,0.0,0.0
83bcd4fffffffff,7.0,0.0,0.0
83bcd6fffffffff,35.0,18.0,0.0
83bcd8fffffffff,11.0,1.0,0.0
83bcdcfffffffff,22.0,2.0,0.0
83bcdefffffffff,10.0,1.0,0.0
83bcf2fffffffff,12.0,6.0,0.0
83bcf6fffffffff,2.0,0.0,0.0
