cell_id,Campylopterus largipennis,Campylopterus largipennis largipennis,Campylopterus largipennis obscurus
8366d1fffffffff,10.0,0.0,0.0
8366dafffffffff,15.0,0.0,14.0
8366defffffffff,7.0,0.0,1.0
8366eafffffffff,5.0,0.0,0.0
838061fffffffff,3.0,0.0,3.0
838a05fffffffff,3.0,0.0,3.0
838a24fffffffff,3.0,0.0,3.0
838a31fffffffff,2.0,0.0,2.0
838b5cfffffffff,2.0,0.0,2.0
838b61fffffffff,6.0,2.0,4.0
838b63fffffffff,2.0,0.0,0.0
838f40fffffffff,2.0,0.0,2.0
838f46fffffffff,5.0,0.0,2.0
838f73fffffffff,1.0,0.0,1.0
