cell_id,Canachites canadensis,Canachites canadensis [canadensis Group],Canachites canadensis franklinii/isleibi,Canachites canadensis [canadensis Group] x franklinii/isleibi
840c04bffffffff,2.0,0.0,0.0,0.0
840c063ffffffff,1.0,0.0,0.0,0.0
840c0b1ffffffff,4.0,0.0,0.0,0.0
840c147ffffffff,2.0,0.0,0.0,0.0
840c15dffffffff,2.0,0.0,0.0,0.0
840c213ffffffff,8.0,0.0,0.0,0.0
840c231ffffffff,8.0,0.0,0.0,0.0
840c251ffffffff,4.0,0.0,0.0,0.0
840c2a9ffffffff,7.0,0.0,0.0,0.0
840c2cdffffffff,1.0,0.0,0.0,0.0
840c2dbffffffff,1.0,0.0,0.0,0.0
840c349ffffffff,8.0,0.0,0.0,0.0
840c421ffffffff,2.0,0.0,0.0,0.0
840c425ffffffff,2.0,0.0,0.0,0.0
840c42dffffffff,41.0,0.0,0.0,0.0
840c455ffffffff,5.0,0.0,0.0,0.0
840c461ffffffff,9.0,0.0,0.0,0.0
840c465ffffffff,48.0,0.0,0.0,0.0
840c467ffffffff,25.0,0.0,0.0,0.0
840c46dffffffff,6.0,0.0,0.0,0.0
840c503ffffffff,5.0,0.0,0.0,0.0
840c50bffffffff,2.0,0.0,0.0,0.0
840c511ffffffff,19.0,0.0,0.0,0.0
840c515ffffffff,2.0,0.0,0.0,0.0
840c51dffffffff,64.0,0.0,0.0,0.0
840c543ffffffff,1.0,0.0,0.0,0.0
840c54bffffffff,9.0,1.0,0.0,0.0
840c551ffffffff,41.0,0.0,0.0,0.0
840c555ffffffff,17.0,0.0,0.0,0.0
840c55bffffffff,50.0,0.0,0.0,0.0
840c55dffffffff,13.0,0.0,0.0,0.0
840c567ffffffff,9.0,0.0,0.0,0.0
840c609ffffffff,7.0,0.0,0.0,0.0
840c60bffffffff,5.0,0.0,0.0,0.0
840c60dffffffff,8.0,0.0,0.0,0.0
840c617ffffffff,4.0,0.0,0.0,0.0
840c621ffffffff,17.0,0.0,0.0,0.0
840c623ffffffff,1.0,0.0,0.0,0.0
840c625ffffffff,4.0,0.0,0.0,0.0
840c629ffffffff,2.0,0.0,0.0,0.0
840c639ffffffff,2.0,0.0,0.0,0.0
840c63dffffffff,4.0,0.0,0.0,0.0
840c641ffffffff,4.0,0.0,0.0,0.0
840c645ffffffff,25.0,0.0,0.0,0.0
840c64dffffffff,2.0,0.0,0.0,0.0
840c655ffffffff,2.0,0.0,0.0,0.0
840c659ffffffff,4.0,0.0,0.0,0.0
840c65bffffffff,2.0,0.0,0.0,0.0
840c65dffffffff,1.0,0.0,0.0,0.0
840c663ffffffff,2.0,0.0,0.0,0.0
840c665ffffffff,7.0,0.0,0.0,0.0
840c701ffffffff,2.0,0.0,0.0,0.0
840c705ffffffff,37.0,4.0,0.0,0.0
840c707ffffffff,13.0,4.0,0.0,0.0
840c70dffffffff,39.0,0.0,0.0,0.0
840c711ffffffff,4.0,0.0,0.0,0.0
840c715ffffffff,6.0,0.0,0.0,0.0
840c71bffffffff,2.0,0.0,0.0,0.0
840c731ffffffff,14.0,0.0,0.0,0.0
840c733ffffffff,291.0,35.0,0.0,0.0
840c735ffffffff,7.0,0.0,0.0,0.0
840c739ffffffff,10.0,0.0,0.0,0.0
840c73bffffffff,42.0,0.0,0.0,0.0
840c73dffffffff,47.0,12.0,0.0,0.0
840c741ffffffff,44.0,5.0,0.0,0.0
840c745ffffffff,15.0,0.0,0.0,0.0
840c747ffffffff,14.0,0.0,0.0,0.0
840c749ffffffff,5.0,0.0,0.0,0.0
840c74bffffffff,7.0,0.0,0.0,0.0
840c74dffffffff,155.0,0.0,0.0,0.0
840c75dffffffff,9.0,0.0,0.0,0.0
840c761ffffffff,1.0,0.0,0.0,0.0
840c769ffffffff,14.0,0.0,0.0,0.0
840cec5ffffffff,4.0,0.0,0.0,0.0
840cee9ffffffff,7.0,0.0,0.0,0.0
840ceebffffffff,1.0,0.0,0.0,0.0
840d405ffffffff,5.0,0.0,0.0,0.0
840d483ffffffff,3.0,0.0,0.0,0.0
840d487ffffffff,5.0,0.0,0.0,0.0
840d48bffffffff,4.0,0.0,0.0,0.0
840d49dffffffff,4.0,0.0,0.0,0.0
840d4a7ffffffff,3.0,0.0,0.0,0.0
840d4c1ffffffff,7.0,0.0,0.0,0.0
840d4d5ffffffff,3.0,0.0,0.0,0.0
840d51bffffffff,2.0,0.0,0.0,0.0
840d523ffffffff,5.0,0.0,0.0,0.0
840d529ffffffff,3.0,0.0,0.0,0.0
840d52bffffffff,3.0,0.0,0.0,0.0
840d583ffffffff,2.0,0.0,0.0,0.0
840d585ffffffff,13.0,0.0,0.0,0.0
840d58dffffffff,8.0,0.0,0.0,0.0
840d595ffffffff,12.0,0.0,0.0,0.0
840d597ffffffff,2.0,0.0,0.0,0.0
840d5a7ffffffff,2.0,0.0,0.0,0.0
840d5a9ffffffff,17.0,0.0,0.0,0.0
840d5abffffffff,1.0,0.0,0.0,0.0
840d5adffffffff,8.0,0.0,0.0,0.0
840d5b9ffffffff,16.0,0.0,0.0,0.0
840d5bbffffffff,1.0,0.0,0.0,0.0
840d5c1ffffffff,2.0,0.0,0.0,0.0
840d5c7ffffffff,4.0,0.0,0.0,0.0
840d5e3ffffffff,5.0,0.0,0.0,0.0
840d5e7ffffffff,18.0,3.0,0.0,0.0
840d5ebffffffff,2.0,0.0,0.0,0.0
840d619ffffffff,1.0,0.0,0.0,0.0
840d61bffffffff,1.0,0.0,0.0,0.0
840d6c5ffffffff,1.0,0.0,0.0,0.0
840d6e7ffffffff,2.0,0.0,0.0,0.0
840e0bbffffffff,1.0,0.0,0.0,0.0
840e413ffffffff,2.0,0.0,0.0,0.0
840e449ffffffff,2.0,0.0,0.0,0.0
840e453ffffffff,4.0,0.0,0.0,0.0
840e45bffffffff,3.0,0.0,0.0,0.0
840e481ffffffff,7.0,0.0,0.0,0.0
840e483ffffffff,4.0,0.0,0.0,0.0
840e487ffffffff,1.0,0.0,0.0,0.0
840e48dffffffff,4.0,0.0,0.0,0.0
840e491ffffffff,3.0,0.0,0.0,0.0
840e495ffffffff,1.0,0.0,0.0,0.0
840e497ffffffff,5.0,0.0,0.0,0.0
840e499ffffffff,2.0,0.0,0.0,0.0
840e49bffffffff,28.0,0.0,0.0,0.0
840e4a1ffffffff,8.0,0.0,0.0,0.0
840e4a3ffffffff,6.0,0.0,0.0,0.0
840e4a5ffffffff,8.0,0.0,0.0,0.0
840e4a7ffffffff,5.0,0.0,0.0,0.0
840e4a9ffffffff,12.0,0.0,0.0,0.0
840e4abffffffff,1.0,0.0,0.0,0.0
840e4b3ffffffff,103.0,0.0,0.0,0.0
840e4c1ffffffff,2.0,0.0,0.0,0.0
840e4c5ffffffff,8.0,0.0,0.0,0.0
840e4cdffffffff,8.0,0.0,0.0,0.0
840e4d1ffffffff,3.0,0.0,0.0,0.0
840e4d3ffffffff,7.0,0.0,0.0,0.0
840e4dbffffffff,25.0,0.0,0.0,0.0
840e4e7ffffffff,2.0,0.0,0.0,0.0
840e515ffffffff,2.0,0.0,0.0,0.0
840e51dffffffff,2.0,0.0,0.0,0.0
840e523ffffffff,4.0,0.0,0.0,0.0
840e531ffffffff,4.0,0.0,0.0,0.0
840e535ffffffff,2.0,0.0,0.0,0.0
840e539ffffffff,2.0,0.0,0.0,0.0
840e53dffffffff,3.0,0.0,0.0,0.0
840e583ffffffff,2.0,0.0,0.0,0.0
840e59bffffffff,8.0,0.0,0.0,0.0
840e5a3ffffffff,2.0,0.0,0.0,0.0
840e5adffffffff,4.0,0.0,0.0,0.0
840e5b1ffffffff,10.0,0.0,0.0,0.0
840e5b3ffffffff,33.0,0.0,0.0,0.0
840e5b5ffffffff,6.0,0.0,0.0,0.0
840e5b7ffffffff,5.0,0.0,0.0,0.0
840e5b9ffffffff,2.0,0.0,0.0,0.0
840e613ffffffff,2.0,0.0,0.0,0.0
840e623ffffffff,10.0,0.0,0.0,0.0
840e63dffffffff,5.0,0.0,0.0,0.0
840e69bffffffff,1.0,0.0,0.0,0.0
840e6a5ffffffff,1.0,0.0,0.0,0.0
840e6adffffffff,1.0,0.0,0.0,0.0
840e6b1ffffffff,2.0,0.0,0.0,0.0
840e6e5ffffffff,2.0,0.0,0.0,0.0
840e6e9ffffffff,2.0,0.0,0.0,0.0
840e805ffffffff,140.0,0.0,0.0,0.0
840e807ffffffff,12.0,0.0,0.0,0.0
840e92dffffffff,2.0,0.0,0.0,0.0
840e945ffffffff,1.0,0.0,0.0,0.0
840e963ffffffff,2.0,0.0,0.0,0.0
840e9a7ffffffff,1.0,0.0,0.0,0.0
840ec09ffffffff,1.0,0.0,0.0,0.0
840ec1bffffffff,3.0,0.0,0.0,0.0
840ec23ffffffff,4.0,0.0,0.0,0.0
840ec29ffffffff,4.0,0.0,0.0,0.0
840ec81ffffffff,7.0,0.0,0.0,0.0
840ec85ffffffff,4.0,2.0,0.0,0.0
840ec87ffffffff,2.0,0.0,0.0,0.0
840ec8dffffffff,1.0,0.0,0.0,0.0
840ec91ffffffff,20.0,3.0,0.0,0.0
840ec93ffffffff,2.0,0.0,0.0,0.0
840ec95ffffffff,2.0,2.0,0.0,0.0
840ec97ffffffff,10.0,0.0,0.0,0.0
840ec99ffffffff,3.0,3.0,0.0,0.0
840ec9bffffffff,2.0,0.0,0.0,0.0
840ec9dffffffff,3.0,2.0,0.0,0.0
840ecabffffffff,1.0,0.0,0.0,0.0
840ecadffffffff,2.0,0.0,0.0,0.0
840ecb9ffffffff,5.0,0.0,0.0,0.0
840ecc1ffffffff,5.0,0.0,0.0,0.0
840ecc9ffffffff,35.0,0.0,0.0,0.0
840ecd1ffffffff,9.0,2.0,0.0,0.0
840ecd7ffffffff,22.0,4.0,0.0,0.0
840ed19ffffffff,2.0,0.0,0.0,0.0
840ed4dffffffff,2.0,0.0,0.0,0.0
840ed81ffffffff,2.0,0.0,0.0,0.0
840ed95ffffffff,2.0,0.0,0.0,0.0
840ed9bffffffff,1.0,0.0,0.0,0.0
840edabffffffff,2.0,0.0,0.0,0.0
840edb9ffffffff,3.0,0.0,0.0,0.0
