cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
835888fffffffff,2.0,2.0,0.0
835890fffffffff,4.0,4.0,0.0
835894fffffffff,3.0,1.0,0.0
835896fffffffff,47.0,47.0,0.0
8358c3fffffffff,2.0,2.0,0.0
8358c8fffffffff,2.0,2.0,0.0
8358d3fffffffff,29.0,29.0,0.0
836a10fffffffff,2.0,2.0,0.0
836a5afffffffff,3.0,3.0,0.0
836ac0fffffffff,2.0,2.0,0.0
836ac1fffffffff,25.0,22.0,0.0
836ac3fffffffff,35.0,34.0,0.0
836ac8fffffffff,3.0,3.0,0.0
836accfffffffff,16.0,16.0,0.0
836acdfffffffff,2.0,2.0,0.0
836acefffffffff,157.0,150.0,0.0
836adcfffffffff,10.0,10.0,0.0
836addfffffffff,8.0,8.0,0.0
836ae1fffffffff,2.0,2.0,0.0
836aeafffffffff,8.0,8.0,0.0
836aebfffffffff,2.0,2.0,0.0
836aeefffffffff,7.0,7.0,0.0
83750dfffffffff,34.0,32.0,0.0
837529fffffffff,17.0,16.0,0.0
83752dfffffffff,2.0,2.0,0.0
83752efffffffff,2.0,2.0,0.0
837a66fffffffff,6.0,0.0,0.0
837a6dfffffffff,2.0,0.0,0.0
837b4afffffffff,2.0,0.0,0.0
837b4cfffffffff,3.0,0.0,0.0
837b59fffffffff,45.0,0.0,0.0
837b6bfffffffff,1.0,0.0,0.0
8382a5fffffffff,2.0,2.0,0.0
8382d3fffffffff,5.0,5.0,0.0
838312fffffffff,5.0,2.0,0.0
838326fffffffff,9.0,0.0,0.0
838333fffffffff,5.0,0.0,0.0
8383a8fffffffff,3.0,0.0,0.0
839600fffffffff,11.0,0.0,0.0
839601fffffffff,3.0,0.0,0.0
839602fffffffff,4.0,0.0,0.0
839603fffffffff,2.0,0.0,0.0
839604fffffffff,2.0,0.0,0.0
839605fffffffff,1.0,0.0,0.0
839608fffffffff,2.0,0.0,0.0
839609fffffffff,9.0,0.0,0.0
839614fffffffff,8.0,0.0,0.0
839615fffffffff,8.0,0.0,0.0
839620fffffffff,8.0,0.0,0.0
839621fffffffff,13.0,0.0,0.0
839622fffffffff,3.0,0.0,0.0
839623fffffffff,40.0,0.0,0.0
839625fffffffff,1.0,0.0,0.0
839626fffffffff,5.0,0.0,0.0
839628fffffffff,22.0,0.0,0.0
83962bfffffffff,21.0,0.0,0.0
83962cfffffffff,31.0,0.0,0.0
83962dfffffffff,6.0,0.0,0.0
83962efffffffff,17.0,0.0,0.0
839633fffffffff,13.0,0.0,0.0
839636fffffffff,5.0,0.0,0.0
839640fffffffff,1.0,0.0,0.0
839644fffffffff,1.0,0.0,0.0
839670fffffffff,2.0,0.0,0.0
839675fffffffff,7.0,0.0,0.0
839688fffffffff,1.0,0.0,0.0
