cell_id,Cardellina pusilla,Cardellina pusilla pileolata,Cardellina pusilla pusilla,Cardellina pusilla chryseola
840c033ffffffff,2.0,0.0,0.0,0.0
840c03bffffffff,15.0,0.0,0.0,0.0
840c04bffffffff,2.0,0.0,0.0,0.0
840c063ffffffff,2.0,0.0,0.0,0.0
840c067ffffffff,2.0,0.0,0.0,0.0
840c0b1ffffffff,49.0,0.0,0.0,0.0
840c0b3ffffffff,10.0,0.0,0.0,0.0
840c0b7ffffffff,2.0,0.0,0.0,0.0
840c141ffffffff,622.0,0.0,0.0,0.0
840c143ffffffff,854.0,0.0,0.0,0.0
840c145ffffffff,188.0,0.0,0.0,0.0
840c147ffffffff,1259.0,0.0,0.0,0.0
840c149ffffffff,139.0,0.0,0.0,0.0
840c14bffffffff,281.0,0.0,0.0,0.0
840c14dffffffff,55.0,0.0,0.0,0.0
840c15dffffffff,245.0,0.0,0.0,0.0
840c1b1ffffffff,30.0,0.0,0.0,0.0
840c1b5ffffffff,3.0,0.0,0.0,0.0
840c1e1ffffffff,248.0,0.0,0.0,0.0
840c213ffffffff,14.0,0.0,0.0,0.0
840c217ffffffff,20.0,0.0,0.0,0.0
840c297ffffffff,13.0,0.0,0.0,0.0
840c2cdffffffff,6.0,0.0,0.0,0.0
840c2d9ffffffff,2.0,0.0,0.0,0.0
840c309ffffffff,6.0,0.0,0.0,0.0
840c323ffffffff,1.0,0.0,0.0,0.0
840c335ffffffff,149.0,0.0,0.0,0.0
840c341ffffffff,3.0,0.0,0.0,0.0
840c343ffffffff,2.0,0.0,0.0,0.0
840c349ffffffff,11.0,0.0,0.0,0.0
840c34bffffffff,2.0,0.0,0.0,0.0
840c359ffffffff,1.0,0.0,0.0,0.0
840c415ffffffff,142.0,0.0,0.0,0.0
840c425ffffffff,24.0,0.0,0.0,0.0
840c427ffffffff,4.0,0.0,0.0,0.0
840c42dffffffff,518.0,0.0,0.0,0.0
840c441ffffffff,45.0,0.0,0.0,0.0
840c443ffffffff,2.0,0.0,0.0,0.0
840c44bffffffff,23.0,6.0,0.0,0.0
840c451ffffffff,10.0,0.0,0.0,0.0
840c455ffffffff,22.0,0.0,0.0,0.0
840c45dffffffff,2.0,0.0,0.0,0.0
840c461ffffffff,67.0,0.0,0.0,0.0
840c465ffffffff,379.0,1.0,0.0,0.0
840c467ffffffff,42.0,0.0,0.0,0.0
840c46dffffffff,120.0,0.0,0.0,0.0
840c501ffffffff,2.0,0.0,0.0,0.0
840c503ffffffff,48.0,0.0,0.0,0.0
840c50bffffffff,8.0,0.0,0.0,0.0
840c511ffffffff,3.0,0.0,0.0,0.0
840c515ffffffff,8.0,0.0,0.0,0.0
840c51dffffffff,238.0,0.0,0.0,0.0
840c521ffffffff,2.0,0.0,0.0,0.0
840c523ffffffff,3.0,0.0,0.0,0.0
840c52dffffffff,2.0,0.0,0.0,0.0
840c54bffffffff,53.0,2.0,0.0,0.0
840c551ffffffff,29.0,0.0,0.0,0.0
840c555ffffffff,27.0,0.0,0.0,0.0
840c55bffffffff,106.0,0.0,0.0,0.0
