cell_id,Cardellina rubra,Cardellina rubra melanauris,Cardellina rubra rubra/rowleyi
844814bffffffff,2.0,2.0,0.0
8448337ffffffff,10.0,8.0,0.0
8448e85ffffffff,9.0,0.0,2.0
8449807ffffffff,3.0,0.0,0.0
8449829ffffffff,13.0,0.0,0.0
844982bffffffff,2.0,0.0,2.0
8449839ffffffff,1.0,0.0,0.0
8449865ffffffff,3.0,0.0,3.0
8449901ffffffff,2.0,0.0,0.0
844990bffffffff,12.0,0.0,0.0
8449943ffffffff,2.0,0.0,0.0
8449945ffffffff,2.0,0.0,0.0
8449947ffffffff,4.0,0.0,0.0
844994bffffffff,5.0,0.0,0.0
8449957ffffffff,2.0,0.0,2.0
8449959ffffffff,2.0,0.0,2.0
844995dffffffff,41.0,0.0,0.0
8449963ffffffff,4.0,0.0,2.0
844996bffffffff,5.0,0.0,0.0
8449a85ffffffff,2.0,0.0,2.0
8449b19ffffffff,4.0,0.0,4.0
846d305ffffffff,1.0,0.0,1.0
846d32bffffffff,15.0,0.0,10.0
846d36dffffffff,2.0,0.0,0.0
