cell_id,Catharus aurantiirostris,Catharus aurantiirostris [melpomene Group],Catharus aurantiirostris [griseiceps Group],Catharus aurantiirostris [aurantiirostris Group]
84278b1ffffffff,5.0,0.0,0.0,0.0
84278b7ffffffff,6.0,0.0,0.0,0.0
8445201ffffffff,1.0,0.0,0.0,0.0
8445209ffffffff,1.0,0.0,0.0,0.0
8445255ffffffff,2.0,2.0,0.0,0.0
8448337ffffffff,4.0,0.0,0.0,0.0
8448363ffffffff,1.0,1.0,0.0,0.0
8448a29ffffffff,5.0,0.0,0.0,0.0
8448cadffffffff,4.0,0.0,0.0,0.0
8449809ffffffff,3.0,0.0,0.0,0.0
8449827ffffffff,3.0,0.0,0.0,0.0
8449865ffffffff,6.0,0.0,0.0,0.0
844988dffffffff,2.0,0.0,0.0,0.0
8449959ffffffff,18.0,3.0,0.0,0.0
844995bffffffff,12.0,9.0,0.0,0.0
844995dffffffff,2.0,2.0,0.0,0.0
8449961ffffffff,1.0,1.0,0.0,0.0
8449963ffffffff,13.0,7.0,0.0,0.0
844996bffffffff,3.0,0.0,0.0,0.0
8449981ffffffff,1.0,1.0,0.0,0.0
8449a23ffffffff,2.0,0.0,0.0,0.0
8449a27ffffffff,6.0,0.0,0.0,0.0
8449a3dffffffff,2.0,0.0,0.0,0.0
8449a83ffffffff,1.0,1.0,0.0,0.0
8449a85ffffffff,4.0,4.0,0.0,0.0
8449a89ffffffff,2.0,2.0,0.0,0.0
8449aa3ffffffff,2.0,0.0,0.0,0.0
8449b37ffffffff,16.0,6.0,0.0,0.0
845f583ffffffff,5.0,0.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0,0.0
8466b41ffffffff,11.0,0.0,9.0,0.0
8466b43ffffffff,2.0,0.0,2.0,0.0
8466b4dffffffff,28.0,1.0,0.0,0.0
8466b51ffffffff,1.0,0.0,1.0,0.0
8466b55ffffffff,4.0,0.0,2.0,0.0
8466b5bffffffff,2.0,0.0,0.0,2.0
8466c29ffffffff,1.0,0.0,0.0,0.0
8466f1dffffffff,5.0,0.0,0.0,0.0
846743bffffffff,1.0,0.0,0.0,1.0
84674e5ffffffff,3.0,0.0,0.0,0.0
84674e9ffffffff,2.0,0.0,0.0,0.0
84674edffffffff,1.0,0.0,0.0,1.0
8467519ffffffff,1.0,0.0,0.0,0.0
84675adffffffff,9.0,0.0,0.0,0.0
84675ddffffffff,2.0,0.0,0.0,0.0
84675e7ffffffff,3.0,0.0,0.0,0.0
8467961ffffffff,1.0,0.0,0.0,0.0
846d05bffffffff,1.0,1.0,0.0,0.0
846d239ffffffff,3.0,1.0,0.0,0.0
846d23bffffffff,2.0,0.0,0.0,0.0
846d283ffffffff,1.0,0.0,0.0,0.0
846d2adffffffff,2.0,0.0,0.0,0.0
846d2b9ffffffff,8.0,2.0,0.0,0.0
846d2d3ffffffff,5.0,5.0,0.0,0.0
846d2d7ffffffff,26.0,25.0,0.0,0.0
846d305ffffffff,7.0,7.0,0.0,0.0
846d32bffffffff,1.0,0.0,0.0,0.0
846d363ffffffff,4.0,0.0,0.0,0.0
846d36dffffffff,3.0,3.0,0.0,0.0
846d617ffffffff,2.0,0.0,0.0,0.0
846d645ffffffff,1.0,0.0,0.0,0.0
846d657ffffffff,2.0,0.0,0.0,2.0
846d681ffffffff,3.0,0.0,0.0,0.0
846d68bffffffff,7.0,0.0,0.0,0.0
846d691ffffffff,9.0,0.0,0.0,0.0
846d695ffffffff,11.0,10.0,0.0,0.0
846d69bffffffff,13.0,0.0,0.0,0.0
846d69dffffffff,97.0,91.0,0.0,2.0
846d741ffffffff,2.0,0.0,0.0,0.0
