cell_id,Catharus guttatus,Catharus guttatus [guttatus Group],Catharus guttatus [auduboni Group],Catharus guttatus faxoni/crymophilus
8407433ffffffff,4.0,0.0,0.0,0.0
840c143ffffffff,3.0,0.0,0.0,0.0
840c415ffffffff,22.0,0.0,0.0,0.0
840c425ffffffff,2.0,0.0,0.0,0.0
840c42dffffffff,17.0,1.0,0.0,0.0
840c461ffffffff,2.0,0.0,0.0,0.0
840c465ffffffff,9.0,2.0,0.0,0.0
840c46dffffffff,7.0,7.0,0.0,0.0
840c51dffffffff,4.0,0.0,0.0,0.0
840c54bffffffff,2.0,0.0,0.0,0.0
840c5a1ffffffff,1.0,0.0,0.0,0.0
840c5adffffffff,4.0,0.0,0.0,0.0
840c617ffffffff,2.0,0.0,0.0,0.0
840c645ffffffff,13.0,0.0,0.0,0.0
840c70dffffffff,2.0,0.0,0.0,0.0
840c71bffffffff,3.0,0.0,0.0,0.0
840c733ffffffff,9.0,0.0,0.0,0.0
840c735ffffffff,6.0,0.0,0.0,0.0
840c73bffffffff,2.0,2.0,0.0,0.0
840c747ffffffff,2.0,2.0,0.0,0.0
840c74dffffffff,2.0,0.0,0.0,0.0
840ca43ffffffff,9.0,0.0,0.0,0.0
840cc49ffffffff,3.0,0.0,0.0,0.0
840ce3dffffffff,4.0,0.0,0.0,0.0
840cec5ffffffff,5.0,0.0,0.0,0.0
840d039ffffffff,9.0,0.0,0.0,0.0
840d595ffffffff,3.0,0.0,0.0,0.0
840d5a9ffffffff,1.0,0.0,0.0,0.0
840d5adffffffff,1.0,0.0,0.0,0.0
840e0bbffffffff,1.0,0.0,0.0,0.0
840e45bffffffff,2.0,0.0,0.0,0.0
840e483ffffffff,1.0,0.0,0.0,0.0
840e485ffffffff,1.0,0.0,0.0,0.0
840e487ffffffff,4.0,0.0,0.0,0.0
840e49bffffffff,2.0,0.0,0.0,0.0
840e4abffffffff,1.0,0.0,0.0,0.0
840e4b9ffffffff,1.0,0.0,0.0,0.0
840e523ffffffff,4.0,0.0,0.0,0.0
840e531ffffffff,2.0,0.0,0.0,0.0
840e53dffffffff,2.0,0.0,0.0,0.0
840e6e7ffffffff,4.0,0.0,0.0,0.0
840e945ffffffff,2.0,0.0,0.0,0.0
840ec51ffffffff,35.0,0.0,0.0,0.0
840ec81ffffffff,2.0,0.0,0.0,0.0
840ecc9ffffffff,1.0,0.0,0.0,0.0
840eeabffffffff,34.0,0.0,0.0,0.0
840eed5ffffffff,2.0,0.0,0.0,0.0
840fa19ffffffff,1.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0
8412339ffffffff,2.0,0.0,0.0,0.0
841246bffffffff,2.0,0.0,0.0,0.0
