cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
8407433ffffffff,3.0,0.0,0.0
84075d1ffffffff,6.0,0.0,0.0
84075d9ffffffff,1.0,0.0,0.0
8409a47ffffffff,4.0,0.0,0.0
8409a6bffffffff,2.0,0.0,0.0
840c03bffffffff,2.0,0.0,0.0
840c143ffffffff,3.0,0.0,0.0
840c2a9ffffffff,6.0,0.0,2.0
840c415ffffffff,28.0,0.0,4.0
840c42dffffffff,1.0,0.0,0.0
840c465ffffffff,2.0,0.0,0.0
840c46dffffffff,5.0,0.0,5.0
840c501ffffffff,1.0,0.0,0.0
840c51dffffffff,2.0,0.0,0.0
840c551ffffffff,3.0,0.0,0.0
840c55dffffffff,7.0,0.0,0.0
840c645ffffffff,10.0,0.0,0.0
840c705ffffffff,3.0,0.0,0.0
840c733ffffffff,5.0,0.0,0.0
840c73bffffffff,7.0,0.0,2.0
840c741ffffffff,2.0,0.0,0.0
840c75dffffffff,2.0,0.0,0.0
840ca43ffffffff,18.0,0.0,0.0
840ce3dffffffff,3.0,0.0,0.0
840d405ffffffff,4.0,0.0,0.0
840d40dffffffff,4.0,0.0,0.0
840d425ffffffff,4.0,0.0,0.0
840d495ffffffff,3.0,0.0,0.0
840d499ffffffff,2.0,0.0,0.0
840d49bffffffff,2.0,0.0,0.0
840d4a9ffffffff,2.0,0.0,0.0
840d527ffffffff,4.0,0.0,0.0
840d537ffffffff,1.0,0.0,0.0
840d56bffffffff,5.0,0.0,0.0
840d595ffffffff,2.0,0.0,0.0
840d5a9ffffffff,10.0,0.0,0.0
840d5adffffffff,1.0,0.0,0.0
840d5b9ffffffff,4.0,0.0,0.0
840d5ebffffffff,1.0,0.0,0.0
840e45bffffffff,4.0,0.0,0.0
840e485ffffffff,1.0,0.0,0.0
840e487ffffffff,3.0,0.0,0.0
840e491ffffffff,2.0,0.0,0.0
840e4abffffffff,1.0,0.0,0.0
840e4b9ffffffff,1.0,0.0,0.0
840e4d1ffffffff,2.0,0.0,0.0
840e4d5ffffffff,2.0,0.0,0.0
840e4dbffffffff,2.0,0.0,0.0
840e6e7ffffffff,3.0,0.0,0.0
840e8d3ffffffff,1.0,0.0,0.0
840ec51ffffffff,2.0,0.0,0.0
840ecc1ffffffff,4.0,0.0,0.0
840ecc9ffffffff,10.0,0.0,0.0
840ed85ffffffff,4.0,0.0,0.0
840eeabffffffff,13.0,0.0,0.0
84121e3ffffffff,2.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0
841232bffffffff,5.0,0.0,0.0
841233dffffffff,11.0,0.0,0.0
84124b7ffffffff,3.0,0.0,0.0
8412591ffffffff,3.0,0.0,0.0
84125d3ffffffff,1.0,0.0,0.0
84125dbffffffff,5.0,0.0,0.0
84128bdffffffff,105.0,0.0,0.0
841298dffffffff,2.0,0.0,0.0
8412b01ffffffff,2.0,0.0,0.0
8412b0bffffffff,2.0,0.0,0.0
8412b4bffffffff,1.0,0.0,0.0
8412c11ffffffff,35.0,0.0,0.0
8412c17ffffffff,2.0,0.0,0.0
8412c8bffffffff,2.0,0.0,0.0
8412c97ffffffff,2.0,0.0,2.0
8412ca3ffffffff,5.0,0.0,2.0
8412cabffffffff,1.0,0.0,1.0
8412cadffffffff,2.0,0.0,0.0
8412cb5ffffffff,2.0,0.0,2.0
8412cbdffffffff,7.0,0.0,2.0
8412ccdffffffff,16.0,0.0,0.0
8412cd9ffffffff,5.0,0.0,0.0
8412ce3ffffffff,1.0,0.0,0.0
8412d11ffffffff,3.0,0.0,0.0
8412d81ffffffff,2.0,0.0,0.0
8412d85ffffffff,14.0,0.0,14.0
8412d87ffffffff,29.0,0.0,29.0
8412d89ffffffff,2.0,0.0,0.0
8412d8dffffffff,2.0,0.0,0.0
8412d9dffffffff,4.0,0.0,0.0
8412db9ffffffff,3.0,0.0,3.0
8412dd7ffffffff,2.0,0.0,1.0
8412ddbffffffff,2.0,0.0,0.0
8412de3ffffffff,4.0,0.0,4.0
8412de5ffffffff,1.0,0.0,1.0
8412e53ffffffff,5.0,0.0,0.0
8412e87ffffffff,2.0,0.0,0.0
8412eb3ffffffff,3.0,0.0,0.0
8412f6dffffffff,7.0,0.0,0.0
8413493ffffffff,2.0,0.0,0.0
8413807ffffffff,2.0,0.0,0.0
8413829ffffffff,1.0,0.0,0.0
841383dffffffff,68.0,0.0,0.0
8413861ffffffff,7.0,0.0,0.0
8413867ffffffff,6.0,0.0,0.0
84138c7ffffffff,17.0,0.0,0.0
84138d5ffffffff,4.0,0.0,0.0
8413a35ffffffff,4.0,0.0,0.0
8413a95ffffffff,1.0,0.0,0.0
8413b53ffffffff,2.0,0.0,0.0
841653bffffffff,2.0,0.0,0.0
84180c9ffffffff,1.0,0.0,0.0
