cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
8414859ffffffff,1.0,1.0,0.0
8414921ffffffff,2.0,2.0,0.0
841496bffffffff,2.0,2.0,0.0
8414995ffffffff,2.0,2.0,0.0
84149adffffffff,7.0,7.0,0.0
84149e7ffffffff,1.0,1.0,0.0
8414ae5ffffffff,10.0,10.0,0.0
8414aedffffffff,2.0,2.0,0.0
8414b27ffffffff,2.0,2.0,0.0
8414d65ffffffff,4.0,4.0,0.0
84244b1ffffffff,2.0,2.0,0.0
84244b7ffffffff,3.0,3.0,0.0
84248b1ffffffff,2.0,2.0,0.0
84248e7ffffffff,3.0,3.0,0.0
8424e95ffffffff,3.0,3.0,0.0
842e0d7ffffffff,7.0,7.0,0.0
842e46dffffffff,4.0,4.0,0.0
842e60bffffffff,4.0,4.0,0.0
842e611ffffffff,34.0,34.0,0.0
842e615ffffffff,25.0,25.0,0.0
842e619ffffffff,35.0,35.0,0.0
842e61bffffffff,2.0,2.0,0.0
842e61dffffffff,2.0,2.0,0.0
842e631ffffffff,6.0,6.0,0.0
842e635ffffffff,2.0,2.0,0.0
842e639ffffffff,5.0,5.0,0.0
842e681ffffffff,3.0,3.0,0.0
842e687ffffffff,2.0,2.0,0.0
842e689ffffffff,51.0,51.0,0.0
842e699ffffffff,22.0,22.0,0.0
842e69bffffffff,4.0,4.0,0.0
842e6b5ffffffff,12.0,12.0,0.0
842e6b9ffffffff,2.0,2.0,0.0
842e6cdffffffff,2.0,2.0,0.0
842e6d5ffffffff,4.0,4.0,0.0
842e6ddffffffff,9.0,9.0,0.0
842e6e1ffffffff,2.0,2.0,0.0
842e6e5ffffffff,2.0,2.0,0.0
842e6edffffffff,1.0,1.0,0.0
842ec03ffffffff,1.0,1.0,0.0
842ec2dffffffff,2.0,2.0,0.0
842ec3dffffffff,1.0,1.0,0.0
842ec8bffffffff,2.0,2.0,0.0
842ec95ffffffff,2.0,2.0,0.0
842eca7ffffffff,2.0,2.0,0.0
842ecb9ffffffff,22.0,22.0,0.0
842ecbbffffffff,1.0,1.0,0.0
842ed95ffffffff,2.0,2.0,0.0
842eda5ffffffff,2.0,2.0,0.0
842edbbffffffff,2.0,2.0,0.0
842f587ffffffff,4.0,4.0,0.0
842f5abffffffff,1.0,1.0,0.0
842f5adffffffff,3.0,3.0,0.0
842f5b9ffffffff,9.0,9.0,0.0
842f5bbffffffff,2.0,2.0,0.0
842f5bdffffffff,9.0,9.0,0.0
842f6e7ffffffff,1.0,1.0,0.0
843000dffffffff,4.0,4.0,0.0
843010bffffffff,4.0,4.0,0.0
8430115ffffffff,4.0,4.0,0.0
8430123ffffffff,2.0,2.0,0.0
843015bffffffff,32.0,32.0,0.0
