cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
830001fffffffff,4.0,0.0,0.0
830025fffffffff,1.0,0.0,0.0
830028fffffffff,32.0,1.0,0.0
830029fffffffff,15.0,1.0,0.0
83002bfffffffff,9.0,0.0,0.0
83002cfffffffff,17.0,0.0,0.0
83002dfffffffff,34.0,2.0,0.0
83002efffffffff,4.0,0.0,0.0
830070fffffffff,6.0,0.0,0.0
830072fffffffff,2.0,0.0,0.0
830074fffffffff,2.0,0.0,0.0
830075fffffffff,4.0,0.0,0.0
830076fffffffff,12.0,0.0,0.0
83010dfffffffff,3.0,0.0,0.0
830120fffffffff,5.0,0.0,0.0
830121fffffffff,2.0,0.0,0.0
830122fffffffff,17.0,0.0,0.0
830123fffffffff,13.0,0.0,0.0
830124fffffffff,6.0,0.0,0.0
830125fffffffff,2.0,0.0,0.0
830126fffffffff,4.0,0.0,0.0
830130fffffffff,305.0,5.0,11.0
830131fffffffff,155.0,0.0,4.0
830135fffffffff,282.0,2.0,20.0
830136fffffffff,1.0,0.0,0.0
830150fffffffff,40.0,0.0,0.0
830151fffffffff,77.0,5.0,0.0
830152fffffffff,20.0,1.0,0.0
830153fffffffff,235.0,47.0,0.0
830154fffffffff,5.0,0.0,0.0
830155fffffffff,1.0,0.0,0.0
830156fffffffff,1.0,0.0,0.0
830158fffffffff,9.0,9.0,0.0
83015afffffffff,167.0,41.0,0.0
83015cfffffffff,1.0,1.0,0.0
83015efffffffff,298.0,192.0,0.0
8301b3fffffffff,2.0,0.0,0.0
830240fffffffff,19.0,0.0,0.0
830241fffffffff,7.0,0.0,0.0
830242fffffffff,7.0,0.0,0.0
830243fffffffff,5.0,0.0,0.0
830244fffffffff,5.0,0.0,0.0
830246fffffffff,2.0,0.0,0.0
83024cfffffffff,41.0,0.0,0.0
83024dfffffffff,2.0,0.0,0.0
83024efffffffff,2.0,0.0,0.0
830250fffffffff,19.0,0.0,0.0
830251fffffffff,14.0,0.0,0.0
830252fffffffff,1.0,0.0,0.0
830255fffffffff,4.0,0.0,0.0
83025afffffffff,2.0,0.0,0.0
83025cfffffffff,2.0,0.0,0.0
830264fffffffff,3.0,0.0,0.0
830265fffffffff,5.0,0.0,0.0
83026bfffffffff,3.0,0.0,0.0
830271fffffffff,4.0,0.0,0.0
830601fffffffff,2.0,0.0,0.0
830622fffffffff,1.0,0.0,0.0
830626fffffffff,3.0,0.0,0.0
83062efffffffff,1.0,0.0,0.0
830631fffffffff,1.0,0.0,0.0
830635fffffffff,1.0,0.0,0.0
830689fffffffff,16.0,0.0,0.0
830695fffffffff,2.0,0.0,0.0
830696fffffffff,3.0,0.0,0.0
8306c9fffffffff,5.0,0.0,0.0
8306d0fffffffff,2.0,0.0,0.0
8306d1fffffffff,9.0,0.0,0.0
8306d4fffffffff,2.0,0.0,0.0
8306d6fffffffff,2.0,0.0,0.0
8306dcfffffffff,3.0,0.0,0.0
8306ddfffffffff,3.0,0.0,0.0
8306edfffffffff,3.0,0.0,0.0
8306f2fffffffff,1.0,0.0,0.0
830704fffffffff,11.0,4.0,0.0
830705fffffffff,3.0,0.0,0.0
830706fffffffff,1.0,0.0,0.0
830741fffffffff,44.0,0.0,1.0
830742fffffffff,17.0,0.0,0.0
830743fffffffff,30.0,0.0,2.0
830745fffffffff,6.0,0.0,2.0
830746fffffffff,387.0,2.0,74.0
83074efffffffff,190.0,0.0,28.0
830751fffffffff,87.0,0.0,10.0
830753fffffffff,37.0,0.0,0.0
830755fffffffff,167.0,0.0,38.0
830758fffffffff,257.0,0.0,23.0
83075cfffffffff,214.0,0.0,19.0
83075dfffffffff,452.0,2.0,32.0
83075efffffffff,426.0,0.0,55.0
830762fffffffff,138.0,0.0,24.0
830763fffffffff,22.0,0.0,0.0
830770fffffffff,56.0,0.0,37.0
830771fffffffff,63.0,0.0,31.0
830773fffffffff,231.0,0.0,67.0
830775fffffffff,42.0,0.0,5.0
8307acfffffffff,1.0,0.0,0.0
830800fffffffff,3.0,0.0,0.0
830802fffffffff,2.0,0.0,0.0
830803fffffffff,1.0,0.0,0.0
830805fffffffff,8.0,0.0,0.0
830806fffffffff,44.0,0.0,0.0
830815fffffffff,37.0,0.0,1.0
830828fffffffff,7.0,0.0,0.0
830829fffffffff,9.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0
83082bfffffffff,2.0,0.0,0.0
83082dfffffffff,5.0,0.0,0.0
830832fffffffff,2.0,0.0,0.0
830833fffffffff,1.0,0.0,0.0
830836fffffffff,26.0,0.0,0.0
830880fffffffff,8.0,0.0,0.0
830883fffffffff,47.0,0.0,0.0
830885fffffffff,14.0,0.0,0.0
830888fffffffff,10.0,0.0,0.0
83088dfffffffff,2.0,0.0,0.0
83088efffffffff,26.0,0.0,14.0
830890fffffffff,9.0,0.0,0.0
830893fffffffff,1.0,0.0,0.0
830895fffffffff,26.0,0.0,9.0
830896fffffffff,3.0,0.0,0.0
830898fffffffff,16.0,0.0,0.0
830899fffffffff,3.0,0.0,0.0
83089afffffffff,2.0,0.0,0.0
83089bfffffffff,14.0,0.0,2.0
83089cfffffffff,3.0,0.0,0.0
83089dfffffffff,23.0,0.0,0.0
83089efffffffff,25.0,0.0,0.0
8308b3fffffffff,4.0,0.0,0.0
8308c6fffffffff,2.0,0.0,0.0
