cell_id,Cercotrichas galactotes,Cercotrichas galactotes [galactotes Group],Cercotrichas galactotes minor/hamertoni
821877fffffffff,4.0,0.0,0.0
821947fffffffff,37.0,2.0,0.0
82196ffffffffff,2.0,2.0,0.0
821edffffffffff,4.0,1.0,0.0
822037fffffffff,3.0,3.0,0.0
8220b7fffffffff,2.0,0.0,0.0
8220e7fffffffff,2.0,2.0,0.0
82219ffffffffff,6.0,6.0,0.0
8225b7fffffffff,6.0,6.0,0.0
822c0ffffffffff,13.0,13.0,0.0
822c17fffffffff,1.0,1.0,0.0
822c2ffffffffff,1.0,1.0,0.0
822c77fffffffff,1.0,0.0,0.0
822c97fffffffff,15.0,13.0,0.0
822c9ffffffffff,2.0,0.0,0.0
822da7fffffffff,1.0,1.0,0.0
822db7fffffffff,17.0,3.0,0.0
82346ffffffffff,1.0,1.0,0.0
823827fffffffff,7.0,7.0,0.0
82384ffffffffff,1.0,0.0,0.0
823867fffffffff,1.0,1.0,0.0
823877fffffffff,4.0,4.0,0.0
823907fffffffff,124.0,124.0,0.0
823917fffffffff,14.0,8.0,0.0
82391ffffffffff,40.0,8.0,0.0
823957fffffffff,2.0,0.0,0.0
823d37fffffffff,5.0,2.0,0.0
823db7fffffffff,8.0,5.0,0.0
823e5ffffffffff,2.0,0.0,0.0
823e67fffffffff,1.0,0.0,0.0
823e6ffffffffff,4.0,0.0,0.0
823e77fffffffff,4.0,0.0,0.0
823f37fffffffff,5.0,4.0,0.0
823f47fffffffff,1.0,1.0,0.0
824257fffffffff,31.0,31.0,0.0
82425ffffffffff,4.0,0.0,0.0
8242c7fffffffff,45.0,38.0,0.0
8242cffffffffff,16.0,0.0,0.0
8242e7fffffffff,3.0,3.0,0.0
8243a7fffffffff,3.0,3.0,0.0
82526ffffffffff,2.0,0.0,0.0
82536ffffffffff,2.0,2.0,0.0
82592ffffffffff,1.0,1.0,0.0
825977fffffffff,6.0,6.0,0.0
82599ffffffffff,1.0,0.0,1.0
826337fffffffff,1.0,0.0,0.0
827a47fffffffff,1.0,1.0,0.0
827a57fffffffff,2.0,0.0,0.0
827a67fffffffff,5.0,2.0,0.0
829697fffffffff,1.0,1.0,0.0
82ad37fffffffff,11.0,8.0,0.0
