cell_id,Ceyx melanurus,Ceyx melanurus melanurus,Ceyx melanurus samarensis,Ceyx melanurus mindanensis
836841fffffffff,1.0,0.0,0.0,0.0
836842fffffffff,10.0,0.0,0.0,6.0
836843fffffffff,2.0,0.0,0.0,0.0
83684efffffffff,31.0,0.0,0.0,4.0
836856fffffffff,6.0,0.0,0.0,1.0
836858fffffffff,1.0,0.0,0.0,0.0
83685cfffffffff,8.0,0.0,0.0,3.0
83685dfffffffff,5.0,0.0,0.0,3.0
83685efffffffff,2.0,0.0,0.0,0.0
836863fffffffff,1.0,0.0,1.0,0.0
836943fffffffff,2.0,0.0,0.0,0.0
836948fffffffff,2.0,1.0,0.0,0.0
83694afffffffff,2.0,0.0,0.0,0.0
83694bfffffffff,1.0,0.0,0.0,0.0
83694cfffffffff,12.0,1.0,0.0,0.0
83694efffffffff,17.0,0.0,0.0,0.0
836968fffffffff,1.0,0.0,0.0,0.0
83696afffffffff,1.0,0.0,0.0,0.0
83696bfffffffff,2.0,0.0,0.0,0.0
83696dfffffffff,1.0,0.0,0.0,0.0
