cell_id,Chaetura brachyura,Chaetura brachyura [brachyura Group],Chaetura brachyura ocypetes
825e47fffffffff,15.0,2.0,0.0
825e77fffffffff,5.0,0.0,0.0
825f5ffffffffff,13.0,4.0,0.0
826617fffffffff,23.0,0.0,0.0
82661ffffffffff,53.0,1.0,0.0
826627fffffffff,1.0,0.0,0.0
82662ffffffffff,9.0,0.0,0.0
8266a7fffffffff,19.0,2.0,0.0
8266b7fffffffff,7.0,0.0,0.0
8266d7fffffffff,16.0,0.0,0.0
8266dffffffffff,15.0,1.0,0.0
8266f7fffffffff,8.0,0.0,0.0
826747fffffffff,1.0,1.0,0.0
82674ffffffffff,9.0,0.0,0.0
82675ffffffffff,19.0,0.0,0.0
828147fffffffff,2.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0
828b27fffffffff,1.0,1.0,0.0
828b47fffffffff,1.0,1.0,0.0
828b67fffffffff,12.0,12.0,0.0
828f0ffffffffff,1.0,0.0,0.0
828f2ffffffffff,10.0,0.0,2.0
828f57fffffffff,11.0,0.0,7.0
82a8effffffffff,1.0,0.0,0.0
