cell_id,Chaetura brachyura,Chaetura brachyura [brachyura Group],Chaetura brachyura ocypetes
835e46fffffffff,47.0,0.0,0.0
835e71fffffffff,79.0,0.0,0.0
835f02fffffffff,3.0,0.0,0.0
835f03fffffffff,27.0,0.0,0.0
835f08fffffffff,63.0,0.0,0.0
835f09fffffffff,117.0,0.0,0.0
835f0bfffffffff,10.0,0.0,0.0
835f0dfffffffff,6.0,0.0,0.0
835f0efffffffff,9.0,0.0,0.0
835f10fffffffff,8.0,0.0,0.0
835f11fffffffff,6.0,0.0,0.0
835f12fffffffff,61.0,0.0,0.0
835f13fffffffff,56.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f1cfffffffff,144.0,0.0,0.0
835f1dfffffffff,6.0,0.0,0.0
835f1efffffffff,14.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0
835f29fffffffff,103.0,0.0,0.0
835f2bfffffffff,324.0,0.0,0.0
835f2dfffffffff,37.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,32.0,1.0,0.0
835f41fffffffff,10.0,0.0,0.0
835f42fffffffff,20.0,0.0,0.0
835f43fffffffff,1.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,14.0,0.0,0.0
835f48fffffffff,14.0,0.0,0.0
835f49fffffffff,8.0,0.0,0.0
835f4afffffffff,24.0,0.0,0.0
835f4bfffffffff,21.0,0.0,0.0
835f4efffffffff,1.0,0.0,0.0
835f50fffffffff,10.0,0.0,0.0
835f54fffffffff,13.0,0.0,0.0
835f58fffffffff,752.0,0.0,0.0
835f59fffffffff,32.0,0.0,0.0
835f5bfffffffff,823.0,0.0,0.0
835f5dfffffffff,19.0,0.0,0.0
835f68fffffffff,31.0,0.0,0.0
835f71fffffffff,17.0,0.0,0.0
835f75fffffffff,2.0,0.0,0.0
835f76fffffffff,2.0,0.0,0.0
836602fffffffff,23.0,0.0,0.0
836603fffffffff,4.0,0.0,0.0
836604fffffffff,11.0,0.0,0.0
836606fffffffff,12.0,0.0,0.0
836608fffffffff,85.0,0.0,0.0
836609fffffffff,6.0,0.0,0.0
83660afffffffff,168.0,6.0,0.0
83660bfffffffff,15.0,0.0,0.0
83660cfffffffff,9.0,0.0,0.0
83660dfffffffff,24.0,0.0,0.0
83660efffffffff,17.0,0.0,0.0
836610fffffffff,434.0,22.0,0.0
836611fffffffff,24.0,0.0,0.0
836612fffffffff,13.0,1.0,0.0
836613fffffffff,331.0,25.0,0.0
836616fffffffff,143.0,4.0,0.0
836618fffffffff,2.0,0.0,0.0
836619fffffffff,206.0,0.0,0.0
83661bfffffffff,49.0,0.0,0.0
83661cfffffffff,22.0,0.0,0.0
83661dfffffffff,4.0,0.0,0.0
83661efffffffff,16.0,0.0,0.0
836620fffffffff,49.0,0.0,0.0
836621fffffffff,32.0,0.0,0.0
836622fffffffff,73.0,0.0,0.0
836623fffffffff,1.0,0.0,0.0
836625fffffffff,5.0,0.0,0.0
836628fffffffff,2.0,0.0,0.0
836629fffffffff,12.0,0.0,0.0
83662bfffffffff,12.0,0.0,0.0
83662cfffffffff,9.0,4.0,0.0
83662efffffffff,9.0,0.0,0.0
836631fffffffff,10.0,0.0,0.0
836641fffffffff,451.0,5.0,0.0
836644fffffffff,6.0,0.0,0.0
836645fffffffff,6.0,0.0,0.0
836648fffffffff,5.0,0.0,0.0
83664efffffffff,3.0,0.0,0.0
836650fffffffff,6.0,0.0,0.0
836652fffffffff,155.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836654fffffffff,39.0,0.0,0.0
836656fffffffff,83.0,0.0,0.0
83665afffffffff,516.0,33.0,0.0
83665bfffffffff,176.0,6.0,0.0
83665efffffffff,3.0,0.0,0.0
836663fffffffff,13.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
83666cfffffffff,1.0,0.0,0.0
83666efffffffff,5.0,0.0,0.0
836672fffffffff,48.0,0.0,0.0
836673fffffffff,12.0,0.0,0.0
836675fffffffff,2.0,0.0,0.0
836676fffffffff,1.0,0.0,0.0
8366a5fffffffff,5371.0,387.0,0.0
8366c0fffffffff,139.0,0.0,0.0
8366c1fffffffff,7.0,0.0,0.0
8366c2fffffffff,876.0,18.0,0.0
8366c3fffffffff,31.0,0.0,0.0
8366c4fffffffff,6.0,0.0,0.0
8366c5fffffffff,94.0,0.0,0.0
8366c6fffffffff,19.0,0.0,0.0
8366c9fffffffff,13.0,0.0,0.0
8366cdfffffffff,3.0,0.0,0.0
8366cefffffffff,150.0,10.0,0.0
8366d0fffffffff,3.0,0.0,0.0
