cell_id,Chaetura cinereiventris,Chaetura cinereiventris phaeopygos,Chaetura cinereiventris occidentalis,Chaetura cinereiventris [sclateri Group],Chaetura cinereiventris cinereiventris
835e66fffffffff,7.0,0.0,0.0,0.0,0.0
835e71fffffffff,12.0,0.0,0.0,0.0,0.0
835f42fffffffff,11.0,0.0,0.0,0.0,0.0
835f58fffffffff,20.0,0.0,0.0,5.0,0.0
835f5bfffffffff,23.0,0.0,0.0,9.0,0.0
835f71fffffffff,1.0,0.0,0.0,1.0,0.0
836621fffffffff,8.0,0.0,0.0,0.0,0.0
836629fffffffff,5.0,0.0,0.0,0.0,0.0
83665afffffffff,3.0,0.0,0.0,0.0,0.0
8366a0fffffffff,14.0,0.0,0.0,0.0,0.0
8366a6fffffffff,5.0,0.0,0.0,0.0,0.0
8366b4fffffffff,100.0,0.0,0.0,0.0,0.0
8366b5fffffffff,7.0,0.0,0.0,0.0,0.0
8366defffffffff,5.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0,0.0
836741fffffffff,4.0,0.0,0.0,0.0,0.0
836742fffffffff,35.0,0.0,0.0,0.0,0.0
83674efffffffff,3.0,0.0,0.0,1.0,0.0
836758fffffffff,2.0,0.0,0.0,0.0,0.0
83675afffffffff,3.0,0.0,0.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0,0.0,0.0
836793fffffffff,2.0,0.0,0.0,0.0,0.0
83679afffffffff,26.0,4.0,0.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0,0.0,0.0
836d69fffffffff,4.0,2.0,0.0,0.0,0.0
836d6dfffffffff,5.0,0.0,0.0,0.0,0.0
838134fffffffff,9.0,0.0,0.0,0.0,0.0
838142fffffffff,3.0,0.0,0.0,0.0,0.0
838143fffffffff,3.0,0.0,0.0,0.0,0.0
838f0dfffffffff,17.0,0.0,5.0,0.0,0.0
838f28fffffffff,4.0,0.0,4.0,0.0,0.0
838f72fffffffff,3.0,0.0,0.0,0.0,0.0
83a813fffffffff,2.0,0.0,0.0,0.0,0.0
83a814fffffffff,2.0,0.0,0.0,0.0,0.0
83a81bfffffffff,1.0,0.0,0.0,0.0,0.0
83a835fffffffff,1.0,0.0,0.0,0.0,0.0
83a883fffffffff,4.0,0.0,0.0,0.0,0.0
83a891fffffffff,3.0,0.0,0.0,0.0,2.0
83a8a3fffffffff,9.0,0.0,0.0,0.0,0.0
83a8acfffffffff,3.0,0.0,0.0,0.0,0.0
83a941fffffffff,2.0,0.0,0.0,0.0,0.0
83a94efffffffff,4.0,0.0,0.0,0.0,0.0
83a950fffffffff,2.0,0.0,0.0,0.0,0.0
83a953fffffffff,25.0,0.0,0.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0,0.0,0.0
