cell_id,Chionomesa lactea,Chionomesa lactea lactea/zimmeri,Chionomesa lactea bartletti
835f40fffffffff,2.0,0.0,0.0
835f68fffffffff,7.0,0.0,0.0
838100fffffffff,2.0,0.0,0.0
838102fffffffff,8.0,1.0,0.0
838104fffffffff,3.0,0.0,0.0
838106fffffffff,12.0,1.0,0.0
838110fffffffff,2.0,0.0,0.0
838113fffffffff,2.0,0.0,0.0
838116fffffffff,2.0,0.0,0.0
838121fffffffff,4.0,0.0,0.0
838124fffffffff,10.0,1.0,0.0
838130fffffffff,39.0,0.0,0.0
838131fffffffff,2.0,0.0,0.0
838132fffffffff,3.0,0.0,0.0
838133fffffffff,244.0,13.0,0.0
838134fffffffff,1.0,0.0,0.0
838b0cfffffffff,10.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b40fffffffff,37.0,0.0,0.0
838b42fffffffff,7.0,0.0,0.0
838b44fffffffff,206.0,0.0,6.0
838b46fffffffff,8.0,0.0,0.0
838b4efffffffff,8.0,0.0,3.0
838b51fffffffff,44.0,0.0,23.0
838b52fffffffff,3.0,0.0,0.0
838b56fffffffff,23.0,0.0,0.0
838b5cfffffffff,54.0,0.0,30.0
838b61fffffffff,1287.0,0.0,29.0
838b62fffffffff,13.0,0.0,0.0
838b63fffffffff,162.0,0.0,4.0
838b69fffffffff,2.0,0.0,0.0
838b6cfffffffff,13.0,0.0,0.0
838b6efffffffff,17.0,0.0,0.0
838b71fffffffff,244.0,0.0,4.0
838b74fffffffff,13.0,0.0,0.0
838b75fffffffff,4.0,0.0,0.0
838b76fffffffff,4.0,0.0,0.0
838e64fffffffff,184.0,0.0,0.0
838e65fffffffff,37.0,0.0,0.0
838e6cfffffffff,5.0,0.0,0.0
838f40fffffffff,295.0,0.0,0.0
838f42fffffffff,1.0,0.0,0.0
838f43fffffffff,9.0,0.0,0.0
838f46fffffffff,983.0,0.0,20.0
838f48fffffffff,47.0,0.0,0.0
838f4afffffffff,68.0,0.0,0.0
838f4bfffffffff,14.0,0.0,0.0
838f4cfffffffff,24.0,0.0,0.0
838f4efffffffff,5.0,0.0,0.0
838f5dfffffffff,21.0,0.0,0.0
838f6bfffffffff,3.0,0.0,0.0
838f73fffffffff,16.0,0.0,0.0
83a596fffffffff,6.0,0.0,0.0
83a800fffffffff,2.0,0.0,0.0
83a801fffffffff,25.0,0.0,0.0
83a802fffffffff,15.0,0.0,0.0
83a803fffffffff,4.0,0.0,0.0
83a804fffffffff,2.0,0.0,0.0
83a805fffffffff,2.0,0.0,0.0
83a806fffffffff,121.0,7.0,0.0
83a810fffffffff,802.0,4.0,0.0
83a811fffffffff,145.0,10.0,0.0
83a812fffffffff,495.0,7.0,0.0
83a813fffffffff,381.0,23.0,0.0
83a814fffffffff,6.0,0.0,0.0
83a815fffffffff,158.0,7.0,0.0
83a816fffffffff,2.0,1.0,0.0
83a818fffffffff,38.0,0.0,0.0
83a819fffffffff,22.0,0.0,0.0
83a81afffffffff,57.0,0.0,0.0
83a81bfffffffff,22.0,0.0,0.0
83a81cfffffffff,462.0,0.0,0.0
83a81dfffffffff,12.0,0.0,0.0
83a81efffffffff,1912.0,0.0,0.0
83a828fffffffff,4.0,0.0,0.0
83a82afffffffff,4.0,0.0,0.0
83a82bfffffffff,3.0,0.0,0.0
83a82efffffffff,2.0,0.0,0.0
83a833fffffffff,1.0,0.0,0.0
83a880fffffffff,83.0,0.0,0.0
83a881fffffffff,381.0,0.0,0.0
83a882fffffffff,19.0,0.0,0.0
83a883fffffffff,32.0,2.0,0.0
83a884fffffffff,148.0,0.0,0.0
83a885fffffffff,22.0,0.0,0.0
83a886fffffffff,57.0,0.0,0.0
83a888fffffffff,2.0,0.0,0.0
83a88afffffffff,2.0,0.0,0.0
83a88bfffffffff,6.0,0.0,0.0
83a88cfffffffff,35.0,0.0,0.0
83a88dfffffffff,6.0,0.0,0.0
83a88efffffffff,60.0,3.0,0.0
83a891fffffffff,72.0,10.0,0.0
83a895fffffffff,2.0,0.0,0.0
83a89bfffffffff,8.0,0.0,0.0
83a89cfffffffff,2.0,0.0,0.0
83a8a0fffffffff,5.0,0.0,0.0
83a8a1fffffffff,203.0,0.0,0.0
83a8a2fffffffff,53.0,2.0,0.0
83a8a3fffffffff,86.0,0.0,0.0
83a8a5fffffffff,12.0,0.0,0.0
83a8a8fffffffff,22.0,0.0,0.0
83a8a9fffffffff,71.0,5.0,0.0
83a8aafffffffff,29.0,0.0,0.0
83a8abfffffffff,6.0,0.0,0.0
83a8acfffffffff,78.0,2.0,0.0
83a8adfffffffff,49.0,0.0,0.0
83a8aefffffffff,112.0,0.0,0.0
83a8d4fffffffff,2.0,0.0,0.0
83a8e6fffffffff,4.0,0.0,0.0
83a8f0fffffffff,1.0,0.0,0.0
83a8f4fffffffff,49.0,0.0,0.0
83a8f5fffffffff,4.0,0.0,0.0
83a8f6fffffffff,5.0,0.0,0.0
83a952fffffffff,2.0,0.0,0.0
83a953fffffffff,2.0,0.0,0.0
83b325fffffffff,11.0,0.0,0.0
