cell_id,Chloephaga picta,Chloephaga picta (White-breasted),Chloephaga picta (Bar-breasted)
83b2c1fffffffff,9.0,0.0,0.0
83b2c5fffffffff,165.0,0.0,0.0
83b2c8fffffffff,91.0,0.0,0.0
83b2cafffffffff,188.0,0.0,0.0
83b2cbfffffffff,4.0,0.0,0.0
83b2ccfffffffff,9.0,0.0,0.0
83b2cdfffffffff,1.0,0.0,0.0
83b2cefffffffff,49.0,0.0,0.0
83b2ddfffffffff,81.0,0.0,0.0
83b2eafffffffff,3.0,0.0,0.0
83b2ebfffffffff,1.0,0.0,0.0
83b2eefffffffff,2.0,0.0,0.0
83c221fffffffff,58.0,0.0,0.0
83c22efffffffff,85.0,0.0,0.0
83c301fffffffff,2.0,0.0,0.0
83c305fffffffff,12.0,0.0,0.0
83c308fffffffff,3.0,0.0,0.0
83c309fffffffff,2.0,0.0,0.0
83c30cfffffffff,2.0,0.0,0.0
83c30dfffffffff,25.0,0.0,0.0
83c320fffffffff,56.0,0.0,0.0
83c321fffffffff,6.0,0.0,0.0
83c324fffffffff,54.0,0.0,0.0
83c325fffffffff,28.0,0.0,0.0
83c326fffffffff,4.0,0.0,0.0
83c329fffffffff,37.0,0.0,0.0
83c32afffffffff,13.0,0.0,0.0
83c32bfffffffff,4.0,0.0,0.0
83c32dfffffffff,11.0,0.0,0.0
83c32efffffffff,33.0,0.0,0.0
83c342fffffffff,3.0,0.0,0.0
83c344fffffffff,1.0,0.0,0.0
83c350fffffffff,7.0,0.0,0.0
83c351fffffffff,5.0,0.0,0.0
83c352fffffffff,10.0,0.0,0.0
83c353fffffffff,2.0,0.0,0.0
83c354fffffffff,1.0,0.0,0.0
83c355fffffffff,3.0,0.0,0.0
83c356fffffffff,11.0,0.0,0.0
83c360fffffffff,5.0,0.0,0.0
83c364fffffffff,2.0,0.0,0.0
83c365fffffffff,2.0,0.0,0.0
83c370fffffffff,1.0,0.0,0.0
83c372fffffffff,2.0,0.0,0.0
83c373fffffffff,2.0,0.0,0.0
83c374fffffffff,2.0,0.0,0.0
83c375fffffffff,26.0,0.0,0.0
83c376fffffffff,10.0,0.0,0.0
83ce80fffffffff,614.0,4.0,0.0
83ce81fffffffff,7.0,0.0,0.0
83ce82fffffffff,14.0,0.0,0.0
83ce83fffffffff,456.0,0.0,0.0
83ce84fffffffff,60.0,0.0,0.0
83ce85fffffffff,17.0,0.0,0.0
83ce86fffffffff,14.0,2.0,0.0
83ce91fffffffff,12.0,0.0,0.0
83ce92fffffffff,8.0,0.0,0.0
83ce93fffffffff,79.0,0.0,0.0
83ce95fffffffff,18.0,0.0,0.0
83ce96fffffffff,8.0,2.0,0.0
83ce98fffffffff,479.0,0.0,0.0
83ce99fffffffff,38.0,0.0,0.0
83ce9afffffffff,1.0,0.0,0.0
83ce9bfffffffff,175.0,0.0,0.0
