cell_id,Chlorospingus canigularis,Chlorospingus canigularis olivaceiceps,Chlorospingus canigularis [canigularis Group]
836608fffffffff,2.0,0.0,0.0
83660bfffffffff,4.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366b4fffffffff,4.0,4.0,0.0
8366b5fffffffff,3.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366d3fffffffff,173.0,0.0,12.0
8366defffffffff,4.0,0.0,0.0
8366e0fffffffff,1.0,0.0,0.0
8366e6fffffffff,1.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,2.0,0.0,2.0
838b75fffffffff,2.0,0.0,0.0
838f46fffffffff,4.0,0.0,4.0
838f4afffffffff,2.0,0.0,0.0
838f5dfffffffff,2.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
