cell_id,Chondrohierax uncinatus,Chondrohierax uncinatus uncinatus,Chondrohierax uncinatus mirus
8445053ffffffff,2.0,0.0,0.0
8445057ffffffff,2.0,0.0,0.0
844505bffffffff,1.0,0.0,0.0
84450d3ffffffff,3.0,0.0,0.0
8445207ffffffff,12.0,0.0,0.0
844520dffffffff,1.0,0.0,0.0
8445215ffffffff,399.0,0.0,0.0
844521dffffffff,5.0,0.0,0.0
8445233ffffffff,1.0,0.0,0.0
8445243ffffffff,2.0,0.0,0.0
8445247ffffffff,17.0,0.0,0.0
844524bffffffff,2.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
844525bffffffff,3.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0
8445287ffffffff,3.0,0.0,0.0
84452a5ffffffff,7.0,0.0,0.0
84452a9ffffffff,9.0,0.0,0.0
84452adffffffff,3.0,0.0,0.0
84452e1ffffffff,59.0,0.0,0.0
84452e3ffffffff,11.0,0.0,0.0
84452e5ffffffff,4.0,0.0,0.0
84452e7ffffffff,4.0,0.0,0.0
84452e9ffffffff,4.0,0.0,0.0
84452edffffffff,5.0,0.0,0.0
8445353ffffffff,2.0,0.0,0.0
8448361ffffffff,1.0,1.0,0.0
8448363ffffffff,2.0,0.0,0.0
8448369ffffffff,1.0,0.0,0.0
8448825ffffffff,10.0,0.0,0.0
8448869ffffffff,1.0,0.0,0.0
8448b13ffffffff,93.0,7.0,0.0
8448b15ffffffff,885.0,19.0,0.0
8448b2bffffffff,8.0,0.0,0.0
8448b35ffffffff,1.0,0.0,0.0
8448b39ffffffff,273.0,6.0,0.0
8448b3dffffffff,2.0,0.0,0.0
8449823ffffffff,2.0,0.0,0.0
844982bffffffff,2.0,0.0,0.0
8449867ffffffff,3.0,0.0,0.0
844994bffffffff,2.0,0.0,0.0
8449959ffffffff,2.0,0.0,0.0
844995bffffffff,3.0,0.0,0.0
8449963ffffffff,8.0,0.0,0.0
8449965ffffffff,15.0,0.0,0.0
8449967ffffffff,6.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0
8449a93ffffffff,2.0,2.0,0.0
8449b31ffffffff,1.0,0.0,0.0
8449b33ffffffff,9.0,0.0,0.0
8449b67ffffffff,2.0,0.0,0.0
845e667ffffffff,13.0,0.0,10.0
845e719ffffffff,4.0,0.0,0.0
845f42bffffffff,5.0,0.0,0.0
845f437ffffffff,1.0,0.0,0.0
845f581ffffffff,1.0,0.0,0.0
845f595ffffffff,1.0,0.0,0.0
845f5b5ffffffff,2.0,0.0,0.0
8466107ffffffff,35.0,0.0,0.0
8466139ffffffff,56.0,3.0,0.0
8466167ffffffff,3.0,0.0,0.0
8466195ffffffff,2.0,0.0,0.0
84661b1ffffffff,2.0,0.0,0.0
84661bdffffffff,1.0,0.0,0.0
84661d1ffffffff,1.0,1.0,0.0
8466201ffffffff,3.0,0.0,0.0
84665bdffffffff,2.0,0.0,0.0
8466a1dffffffff,4.0,0.0,0.0
8466a39ffffffff,4.0,0.0,0.0
8466a51ffffffff,35.0,1.0,0.0
8466a5bffffffff,4.0,0.0,0.0
8466aedffffffff,1.0,0.0,0.0
8466b41ffffffff,6.0,0.0,0.0
8466b45ffffffff,4.0,0.0,0.0
8466b49ffffffff,1.0,0.0,0.0
8466b4dffffffff,73.0,0.0,0.0
8466b59ffffffff,1.0,0.0,0.0
8466c21ffffffff,10.0,0.0,0.0
8466c2dffffffff,24.0,0.0,0.0
8466d05ffffffff,4.0,0.0,0.0
8466d0bffffffff,10.0,0.0,0.0
8466d0dffffffff,4.0,0.0,0.0
8466d1bffffffff,3.0,0.0,0.0
8466d31ffffffff,1.0,0.0,0.0
8466d35ffffffff,16.0,6.0,0.0
8466de5ffffffff,2.0,0.0,0.0
8466e69ffffffff,1.0,0.0,0.0
8466e6dffffffff,1.0,0.0,0.0
8466f1dffffffff,38.0,2.0,0.0
84674cdffffffff,7.0,0.0,0.0
84675a5ffffffff,1.0,0.0,0.0
84675adffffffff,2.0,0.0,0.0
84675c1ffffffff,2.0,0.0,0.0
84675cbffffffff,1.0,0.0,0.0
84679a5ffffffff,6.0,0.0,0.0
84679b7ffffffff,3.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0
846d239ffffffff,9.0,0.0,0.0
846d23bffffffff,1.0,0.0,0.0
846d283ffffffff,6.0,0.0,0.0
846d287ffffffff,2.0,0.0,0.0
846d28dffffffff,4.0,0.0,0.0
846d295ffffffff,7.0,0.0,0.0
846d2abffffffff,5.0,0.0,0.0
846d2b9ffffffff,3.0,0.0,0.0
846d2d3ffffffff,4.0,0.0,0.0
846d2d7ffffffff,7.0,0.0,0.0
846d32bffffffff,2.0,0.0,0.0
846d34dffffffff,2.0,0.0,0.0
846d35dffffffff,3.0,0.0,0.0
846d641ffffffff,3.0,0.0,0.0
846d645ffffffff,7.0,0.0,0.0
846d66dffffffff,2.0,0.0,0.0
846d691ffffffff,3.0,0.0,0.0
846d699ffffffff,3.0,0.0,0.0
846d69dffffffff,5.0,2.0,0.0
846d6bbffffffff,9.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
8481339ffffffff,2.0,0.0,0.0
8481363ffffffff,3.0,0.0,0.0
848a059ffffffff,1.0,1.0,0.0
848a069ffffffff,2.0,0.0,0.0
848af63ffffffff,3.0,0.0,0.0
848b0c9ffffffff,2.0,0.0,0.0
848f099ffffffff,5.0,0.0,0.0
848f0d3ffffffff,8.0,0.0,0.0
848f2a9ffffffff,2.0,0.0,0.0
848f401ffffffff,3.0,3.0,0.0
848f50dffffffff,1.0,1.0,0.0
848f721ffffffff,3.0,0.0,0.0
848f735ffffffff,2.0,2.0,0.0
84a8a91ffffffff,1.0,1.0,0.0
84a9465ffffffff,9.0,0.0,0.0
84a94c1ffffffff,3.0,0.0,0.0
84a94e7ffffffff,3.0,0.0,0.0
84a9539ffffffff,4.0,0.0,0.0
84a953bffffffff,4.0,0.0,0.0
84a9613ffffffff,4.0,0.0,0.0
84b2747ffffffff,4.0,0.0,0.0
84b2749ffffffff,2.0,0.0,0.0
84b2757ffffffff,2.0,0.0,0.0
84b276bffffffff,2.0,0.0,0.0
84b3421ffffffff,7.0,0.0,0.0
84b3423ffffffff,5.0,0.0,0.0
84b3425ffffffff,52.0,0.0,0.0
84b3427ffffffff,2.0,0.0,0.0
84b3511ffffffff,1.0,0.0,0.0
84b3513ffffffff,1.0,0.0,0.0
84b3589ffffffff,2.0,0.0,0.0
84b35c9ffffffff,30.0,0.0,0.0
