cell_id,Chrysococcyx cupreus,Chrysococcyx cupreus cupreus,Chrysococcyx cupreus intermedius,Chrysococcyx cupreus insularum
8354f4fffffffff,2.0,0.0,0.0,0.0
836a5afffffffff,5.0,0.0,0.0,0.0
836ac9fffffffff,4.0,0.0,0.0,0.0
837a45fffffffff,2.0,0.0,0.0,0.0
837a48fffffffff,5.0,3.0,0.0,0.0
837a4cfffffffff,10.0,2.0,0.0,0.0
837a4dfffffffff,3.0,0.0,0.0,0.0
837a60fffffffff,9.0,0.0,0.0,0.0
837a61fffffffff,1.0,0.0,0.0,0.0
837a63fffffffff,2.0,0.0,0.0,0.0
837a65fffffffff,11.0,0.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0,0.0
837accfffffffff,4.0,0.0,0.0,0.0
8382e3fffffffff,5.0,0.0,0.0,1.0
839600fffffffff,2.0,2.0,0.0,0.0
839633fffffffff,1.0,0.0,0.0,0.0
83972dfffffffff,11.0,2.0,0.0,0.0
83974afffffffff,4.0,0.0,0.0,0.0
839751fffffffff,5.0,0.0,0.0,0.0
